regionID1	regionID2	DiffScore
49	11	-15.2341644954373
40	24	-13.5376277414327
39	24	-13.2264999592748
44	22	-12.9254321245253
39	17	-12.7120288570958
43	22	-11.9256437967744
37	17	-11.8047268438763
49	22	-11.6990305472176
49	13	-11.6059291856203
37	18	-11.4649002342288
40	17	-11.2148006544988
24	7	-10.9022778714953
24	6	-10.8786757104447
9	2	-10.5216119523549
43	11	-10.5117642832884
43	40	-10.3982797378282
6	2	-10.2447174651363
49	18	-10.1675168686315
41	23	-9.94499662955312
49	6	-9.89481895817677
49	16	-9.58889826953608
41	17	-9.58096607859296
48	22	-9.56194864115302
43	5	-9.54672796951761
41	14	-9.45928789015003
37	11	-9.44673209475404
17	2	-9.41189742528525
49	10	-9.30236058619272
18	2	-9.28234856582914
16	5	-9.27278947178403
41	22	-9.20638833540924
41	24	-9.20013389513515
40	11	-9.14530370122886
40	23	-9.05378740916692
39	11	-9.04000984126654
49	5	-8.85774024049678
36	22	-8.77863327079372
49	7	-8.51136209818205
16	2	-8.36563236700673
41	16	-8.20720648916331
24	3	-8.16660582453833
49	8	-8.15046436557293
40	22	-8.13746816448731
46	22	-8.09433807724302
16	1	-8.08102828038004
10	2	-8.02683762383681
40	14	-7.92764899902949
43	39	-7.84457991921966
48	11	-7.7598820330961
50	11	-7.74560906613389
37	15	-7.74034804795929
14	9	-7.70130694915843
48	13	-7.67375261188445
17	5	-7.65221420668421
43	18	-7.63918616651648
24	4	-7.6151815614347
17	1	-7.5928653297684
11	2	-7.59089327004896
19	1	-7.52896314970532
42	22	-7.51562789923942
49	15	-7.48577357613969
43	37	-7.31852255710596
41	11	-7.31154857964367
40	16	-7.25516848160354
48	16	-7.24272520294871
43	13	-7.22450731680505
39	14	-7.15146920727008
4	1	-7.13274988901158
50	13	-7.11982521136951
39	23	-7.10122076091523
37	24	-7.04664486273007
36	11	-7.04002900674485
49	21	-7.01176719821638
40	18	-6.97023899955438
18	5	-6.96965275234969
41	18	-6.9327298446738
41	15	-6.93102084052136
24	2	-6.87291261987174
14	2	-6.8510336950242
33	2	-6.84222586928202
40	9	-6.812404361839
48	18	-6.75254459227063
41	9	-6.70535854906396
19	2	-6.69687237519865
37	20	-6.6882195279753
44	5	-6.65327856764362
7	2	-6.64962983524484
24	5	-6.64310598827968
48	21	-6.63829672425951
43	6	-6.62876781510947
46	21	-6.59375423982831
42	18	-6.56526627795903
3	1	-6.53897344906033
48	17	-6.5259508188388
22	3	-6.48150669349403
42	11	-6.47619289568855
49	14	-6.44221607287304
