regionID1	regionID2	DiffScore
49	16	-16.7294890053279
43	40	-15.3871264631102
49	18	-14.5000212274339
41	16	-14.2707850185799
48	22	-13.4212884725557
48	16	-13.24509651
11	2	-13.000696608408
48	21	-12.2113568201261
49	11	-11.8188672372238
49	4	-11.6274011671428
40	18	-11.4736817359147
46	22	-11.4027838169485
50	16	-11.2658556710749
6	2	-11.1574429292449
36	16	-10.9529314860777
41	19	-10.5897535082914
16	5	-10.4598144597873
50	10	-10.38641940909
46	21	-10.3174710980964
40	20	-10.1625208551739
46	39	-10.1003099251882
40	16	-10.033398592632
36	18	-9.92078554143033
46	14	-9.71887966360348
49	10	-9.63231793124418
41	18	-9.56091694266103
49	15	-9.49435338496863
44	14	-9.23924484133326
47	16	-9.07993419489156
50	18	-8.9049454697827
50	21	-8.89468613644169
40	19	-8.86479849290157
48	19	-8.81184850766271
36	17	-8.77369697746263
49	22	-8.76715942654929
48	18	-8.68916442620188
44	22	-8.66326399788073
40	11	-8.64757049672072
16	4	-8.6414797306997
27	2	-8.580011980448
49	21	-8.49072408838241
43	39	-8.46841117179772
46	16	-8.4484367770117
40	17	-8.42133841416893
36	11	-8.39488824436952
23	4	-8.35130021888998
48	14	-8.20564860354861
19	2	-8.13103566668184
49	13	-8.06136535008781
36	14	-7.98318456197072
48	11	-7.97903369479998
29	4	-7.97873015793364
48	20	-7.91262262601509
46	17	-7.89526181390405
49	14	-7.8655928742231
41	23	-7.84866076687786
40	15	-7.84470753195187
8	4	-7.82048186303178
24	4	-7.80973454277691
39	11	-7.75805034334917
43	41	-7.72998799155081
41	15	-7.71243116823475
46	19	-7.60870763035102
47	20	-7.59517903853796
31	2	-7.57354547605118
39	16	-7.57081768886074
46	20	-7.51906583796977
16	2	-7.46099132038576
41	11	-7.33960042183333
46	10	-7.16002450827226
50	13	-7.15569295029909
50	15	-7.1356768134249
50	19	-7.09030025055869
41	20	-6.94896111055732
14	5	-6.94600834160267
40	21	-6.94003681687889
43	22	-6.90546261522746
46	11	-6.90281958269386
13	2	-6.88530645369593
48	15	-6.85870656589977
40	30	-6.82223710382736
45	16	-6.81953748346772
20	2	-6.74861367411393
18	5	-6.73719297604868
48	10	-6.73066009640199
36	4	-6.72623865204136
37	21	-6.6997367230372
24	11	-6.69565787135626
41	14	-6.66163082684854
46	40	-6.65461053951431
40	9	-6.62353649287705
32	2	-6.59086772847219
40	23	-6.55669879717691
14	9	-6.54508419831789
43	11	-6.5198707296502
41	10	-6.50166831823501
10	2	-6.49560528449196
48	13	-6.49025134253981
50	20	-6.48631503419962
45	40	-6.39492158518056
4	1	-6.38197087748853
50	17	-6.3515397312653
44	41	-6.22659362077165
49	19	-6.17086428012763
37	18	-6.13675109607972
50	14	-6.11015332164126
49	5	-6.10798169787316
43	21	-6.1038038820393
7	2	-6.10162374769341
41	31	-6.08938724763076
49	17	-6.06266709197295
44	5	-5.96647463984564
37	20	-5.95143065619289
44	16	-5.95070548822236
47	19	-5.93837678588307
11	1	-5.93689776738311
37	31	-5.92656883510502
44	40	-5.924718280732
40	31	-5.91924549672369
17	5	-5.91756692471798
41	17	-5.88825718986445
24	2	-5.88701191864815
50	40	-5.87933455399018
49	28	-5.86832539093613
37	14	-5.86504226607099
48	4	-5.84529911322612
46	12	-5.82407461483965
48	34	-5.81953105118213
44	21	-5.81437127098273
40	14	-5.79023900351999
22	11	-5.77943012354679
16	1	-5.74623683438743
37	17	-5.72529194232033
43	5	-5.72223088765737
17	4	-5.71193102831917
23	2	-5.70049620229736
46	18	-5.68074807099098
50	11	-5.6092515216384
43	10	-5.5828563722954
22	4	-5.58200672996972
39	31	-5.57172750816465
6	3	-5.55758161338597
32	11	-5.54429409451989
39	17	-5.53916771944238
49	3	-5.52432906156395
49	20	-5.51863720470924
35	16	-5.44871871501602
40	22	-5.44730339782839
42	21	-5.44721042141135
46	7	-5.4385772201685
41	21	-5.43359908889795
42	18	-5.41478949783317
16	9	-5.40279081524115
44	15	-5.38218509573217
9	4	-5.37632361065842
37	11	-5.36387369299929
18	2	-5.36042072565284
48	43	-5.33102688575992
39	21	-5.30752438039957
22	2	-5.306268622475
45	2	-5.3054444622413
47	14	-5.30327434013359
42	16	-5.26148713074346
36	19	-5.2437969317829
29	15	-5.19374129614454
50	9	-5.1750959566488
40	27	-5.13928468579829
46	30	-5.09494643609434
39	10	-5.09077543712148
7	4	-5.03879260385424
30	2	-5.02455284291248
46	37	-5.01159168115859
14	4	-5.0101364578201
9	2	-5.00957177743321
34	18	-4.99550730620043
48	17	-4.9690795106286
17	2	-4.95946940388405
11	4	-4.95658228849622
50	34	-4.92397111163321
41	9	-4.90939830343914
32	20	-4.90248898663061
16	7	-4.90025085059197
37	15	-4.89687108478165
37	16	-4.89270471687194
46	43	-4.87093951037586
47	21	-4.81314266812928
34	17	-4.80961215024922
12	2	-4.79320728392074
39	4	-4.77920579382261
36	24	-4.76602721301235
42	14	-4.76405558475453
46	15	-4.74366529582571
46	41	-4.73278783529446
41	4	-4.73116929785035
16	6	-4.72005988688357
49	8	-4.70351571852457
45	41	-4.6874468449531
14	7	-4.68634603427329
39	14	-4.66599042579187
24	9	-4.65799510380167
41	30	-4.62534223854029
47	18	-4.61828968445575
37	28	-4.59382096342056
47	15	-4.59050570264777
37	8	-4.5637885832834
33	2	-4.54584964158093
46	33	-4.54567336678306
21	11	-4.54108837061423
50	8	-4.51219917786495
39	9	-4.46200276078703
29	2	-4.45399461232609
19	1	-4.45020430692343
39	20	-4.44615991938603
43	28	-4.43680878674712
39	18	-4.42206149241604
49	2	-4.39283125986268
16	11	-4.39215971793082
46	13	-4.37259445470066
48	8	-4.37242072663487
30	16	-4.37016540532925
41	22	-4.35849114752927
44	39	-4.34865198526446
42	11	-4.33651476471564
50	27	-4.324161034184
24	6	-4.32227130427869
49	40	-4.31813191260373
24	3	-4.30537730500058
30	15	-4.28494209850495
44	10	-4.27982486922006
24	16	-4.27371605806262
41	27	-4.26430475075279
36	22	-4.25726362676847
47	11	-4.25224788642528
48	33	-4.24599964007042
43	2	-4.15211437331302
50	7	-4.14543664271867
14	2	-4.14128009931899
50	22	-4.1280766730827
17	1	-4.11024889371307
32	16	-4.10832421859968
42	4	-4.1001359044325
37	32	-4.0739190055015
41	13	-4.05205921656012
39	15	-4.0485587999074
43	18	-4.02147761871662
40	33	-4.01622401075553
45	39	-3.98334978336935
41	28	-3.97840073434956
44	19	-3.97261701381253
42	8	-3.97137455624378
22	1	-3.97022160657231
30	21	-3.96473320392446
43	9	-3.96274776237165
39	19	-3.96038335743987
19	4	-3.95790855681777
47	10	-3.93216708432486
29	5	-3.92123066671556
41	33	-3.90942796098129
40	24	-3.86788279758657
34	11	-3.8455274632159
49	6	-3.83652133561177
50	28	-3.82947288081949
49	34	-3.82198118005366
11	7	-3.81244085853746
46	4	-3.80151429692607
3	1	-3.80022332441044
46	6	-3.78575356714426
46	2	-3.78097042895173
44	28	-3.77373830090456
23	11	-3.7695160071535
43	14	-3.75942042843671
41	24	-3.75823401991644
43	16	-3.74139584071271
22	3	-3.73900618262473
11	5	-3.73451725769111
10	1	-3.72065387179459
41	38	-3.7166626321544
49	12	-3.71599733495825
37	10	-3.6983922209882
37	4	-3.67658893977086
44	18	-3.66372178416958
48	23	-3.60688390837878
12	4	-3.59151052884723
23	6	-3.5785759071783
32	15	-3.57186023631875
39	27	-3.57009318022358
36	15	-3.56897172300825
50	33	-3.56882979699081
29	16	-3.55569609886043
37	2	-3.54097827756862
43	8	-3.54086860067605
47	22	-3.53606785878762
43	4	-3.51560674878932
37	24	-3.51397672280336
25	4	-3.51281011001328
13	1	-3.50855449275723
47	13	-3.4968424477274
32	10	-3.4353595335935
24	14	-3.41028793401953
24	17	-3.39890272687338
39	30	-3.38756987643462
40	4	-3.38617239275761
4	2	-3.38558204810799
49	7	-3.37991796066771
39	33	-3.37742699891094
11	3	-3.36809406517943
8	2	-3.35892537269266
40	10	-3.35410496371675
42	20	-3.3507778968038
39	13	-3.34974382421185
34	19	-3.33620715244244
48	2	-3.33421176513398
48	40	-3.3315093614627
34	2	-3.29453515450426
39	32	-3.28121818560793
48	3	-3.28034629459465
36	28	-3.25397305263907
7	3	-3.25163190616337
43	37	-3.2460788532082
37	9	-3.24183623917964
15	6	-3.2300251153046
48	27	-3.21541561658265
29	10	-3.21499106704752
48	9	-3.21479599488879
46	8	-3.20684088471071
44	11	-3.20647629089205
9	1	-3.19886844858256
11	6	-3.19644017010657
29	21	-3.1905625225996
40	28	-3.17717661874704
32	21	-3.17623352278031
45	38	-3.17166356077266
44	20	-3.15214114577859
35	13	-3.14248830739639
50	36	-3.12998842916703
18	4	-3.11551528006242
34	22	-3.10961182029126
50	12	-3.10595870732506
41	6	-3.1051079615072
46	27	-3.10343323632257
36	21	-3.09155096267084
44	17	-3.080831735236
16	3	-3.05627099294087
26	2	-3.04947167985288
36	30	-3.03813962807104
34	16	-3.03057854647143
44	4	-3.02967916759165
46	23	-3.02748957781901
39	2	-3.02188545505406
48	6	-3.01580125959464
15	11	-3.01357845475742
39	24	-3.00341955098173
36	20	-3.00022210496267
38	33	-2.99933390208791
2	1	-2.99582604678877
28	11	-2.98867355653558
40	29	-2.98667915815413
20	11	-2.97835511115227
27	21	-2.97142290053504
42	22	-2.96897693430103
36	5	-2.9667843639412
34	4	-2.96342315034288
34	14	-2.96109788765534
14	6	-2.95531112961367
42	19	-2.94157688699161
36	13	-2.93738925314071
43	20	-2.93706382932964
35	21	-2.93595706196777
50	41	-2.92967455628387
36	33	-2.92761989133294
32	7	-2.92507649966086
27	10	-2.92361997724162
24	18	-2.91107505879897
49	33	-2.90579122896788
15	2	-2.90292638693758
13	5	-2.89788201418811
36	10	-2.89758731846129
29	22	-2.87765837055382
48	7	-2.86318813385202
12	5	-2.85657563791883
21	14	-2.84576411154095
24	7	-2.82829231809229
19	11	-2.82748411994954
47	40	-2.80626358501688
33	14	-2.8035513848875
47	17	-2.8029113071267
24	22	-2.79972556547532
42	15	-2.79897670233838
48	12	-2.79183401218487
46	36	-2.78522822421663
32	19	-2.78145841719887
43	12	-2.77072046076903
27	16	-2.76147495488428
43	19	-2.75876555711146
33	16	-2.73279359122524
43	34	-2.7259979438278
39	28	-2.70921718525236
47	38	-2.70867352975236
35	22	-2.6936725670952
25	11	-2.69169548691141
46	9	-2.67265511094926
34	9	-2.66580696797179
14	11	-2.64939311185087
25	2	-2.63619033919135
44	34	-2.62337297817175
49	23	-2.61810362611105
50	23	-2.6082861288787
19	5	-2.60751195407262
37	22	-2.60394711848227
25	5	-2.58972471184428
27	4	-2.57568249809142
50	4	-2.57418067823811
39	23	-2.57141271158316
35	15	-2.57125020785436
46	5	-2.56674923299404
15	5	-2.5639927447221
27	11	-2.54525460551421
27	3	-2.54276348851587
48	5	-2.53810575027354
21	2	-2.5342208105329
23	5	-2.52343349956689
46	34	-2.51044672589682
43	15	-2.509939641449
47	9	-2.49977603004014
48	41	-2.48885132283131
47	2	-2.47036043776022
5	4	-2.46700515213723
36	34	-2.44834963474617
43	36	-2.42820308621602
41	7	-2.42389867145391
24	5	-2.41972003358494
36	23	-2.41554501762617
33	11	-2.41114499309387
39	34	-2.40396717477653
8	5	-2.3997817092323
47	34	-2.38278843556319
49	36	-2.38017429070998
34	10	-2.37403134216645
29	13	-2.37284901140959
45	10	-2.37243689052752
31	3	-2.37165244604645
50	30	-2.37001357212811
10	7	-2.36920493509519
18	1	-2.3663800156442
6	4	-2.35815859837857
36	9	-2.35809970942716
24	10	-2.35161039513164
27	5	-2.35070420539975
36	6	-2.34467281652209
28	15	-2.34286718967089
23	16	-2.33344166624641
29	3	-2.32690837704999
46	1	-2.3136485768879
45	17	-2.30692879034084
48	36	-2.303875907995
29	12	-2.30132825082798
23	7	-2.2952317266577
49	27	-2.2918652896144
16	8	-2.27565155406926
33	21	-2.26639897365374
23	3	-2.26218624360516
8	3	-2.25545151582918
48	37	-2.25258088463689
30	10	-2.25072137083323
46	25	-2.23753565339125
33	19	-2.22274126053973
41	34	-2.22272726939272
12	6	-2.22154086634151
26	1	-2.21790462693065
30	4	-2.20773529760068
34	24	-2.20366849384396
48	30	-2.20341530083787
50	43	-2.18668577615948
42	13	-2.17879147427848
43	13	-2.17622283941552
46	38	-2.16771852931114
40	38	-2.1465559372738
50	2	-2.14487280742195
30	11	-2.14181182749278
49	43	-2.13972063178381
50	31	-2.13752245297409
10	3	-2.13207944964918
45	14	-2.13194272526502
28	19	-2.13065392135558
