regionID1	regionID2	DiffScore
43	11	-14.465178694764
11	2	-11.5024721491797
49	11	-9.95512727491695
41	15	-9.57330765850907
6	2	-9.57022392454474
49	7	-9.06026874747898
49	18	-9.03313761788569
50	18	-8.75335727097103
46	39	-8.57002839043346
48	22	-8.46329154735053
50	7	-8.45385278922528
41	23	-8.41045237856585
43	40	-8.25398658494632
46	21	-7.95135912833169
36	11	-7.93728773635823
37	18	-7.85553076138351
37	2	-7.8257478354326
13	2	-7.79936794697191
50	11	-7.75703924537336
49	5	-7.69307746006757
46	14	-7.5723912381022
46	7	-7.54988561950235
49	4	-7.45318825494729
50	9	-7.43143171765826
49	15	-7.31069557344135
4	1	-7.30230255926681
43	10	-7.25323084864086
40	24	-7.09925749977959
49	13	-7.09010987879053
50	10	-7.0036382208583
43	5	-6.93910872905312
37	17	-6.89478155947628
44	11	-6.89031114291193
17	2	-6.85553599483185
49	10	-6.8078031667874
50	15	-6.70409697130563
46	12	-6.66684879010641
50	17	-6.66358856794605
40	20	-6.61885921505439
36	17	-6.61113196500132
50	21	-6.53166095264257
41	16	-6.45609057512347
50	6	-6.44807556509608
40	23	-6.41382479022996
43	2	-6.37249000613368
50	2	-6.36629590060494
40	18	-6.31850113119181
50	12	-6.29240810010902
46	11	-6.2559473826144
10	2	-6.24822682771436
36	18	-6.24584974118224
43	12	-6.17486295920086
49	17	-6.16991802332978
39	17	-6.08938121823995
31	2	-6.06897464081459
40	11	-6.06231136625329
41	19	-6.05444057689023
31	3	-5.99041115989895
49	21	-5.93602285909485
23	4	-5.90720013454594
50	23	-5.87317246235759
3	1	-5.83709298615688
46	10	-5.83554375829658
49	6	-5.78592075137528
49	16	-5.77695621852243
20	2	-5.75222007592593
41	20	-5.71679044101099
6	1	-5.70565043458104
48	15	-5.67923209438121
24	4	-5.63943769209335
48	7	-5.52496696704271
42	11	-5.50194511638728
47	2	-5.49764532725679
50	8	-5.49760910443417
24	11	-5.46922063599673
50	13	-5.44722723586095
46	17	-5.4203992205803
49	12	-5.3874716056631
11	3	-5.38434756863406
43	21	-5.37715730087143
40	17	-5.32743170828625
39	11	-5.26922783167946
46	23	-5.25486694708928
41	11	-5.23568301939431
14	2	-5.20636201859295
40	16	-5.20459155675757
18	2	-5.19195403287408
23	2	-5.18750114711137
37	11	-5.18567535504145
16	5	-5.1790944082278
41	22	-5.16948855348597
41	18	-5.16108825521381
11	7	-5.11304352389581
40	9	-5.07769481160242
37	14	-5.06280782939197
46	22	-5.00552141003085
49	9	-4.99517051704273
