regionID1	regionID2	DiffScore
41	16	-17.9476009652112
11	2	-14.6057059364776
40	17	-14.352802292964
49	16	-14.3065624996014
49	11	-14.1403634981096
41	20	-14.1174316047304
37	17	-13.895260961362
49	22	-13.7797825986303
41	23	-13.7348016728817
46	22	-13.6555715546008
41	17	-13.6134396844381
43	11	-13.5026154992413
40	16	-12.7835956125004
50	17	-12.4489277493347
48	11	-12.4073214656405
40	11	-12.1862387902965
48	22	-12.0081785161095
16	1	-11.9687971980379
48	16	-11.7118055306174
49	18	-11.6429604270727
39	24	-11.5171444096019
47	20	-11.4805466894042
39	17	-11.4000285862256
50	11	-11.3494142859331
40	24	-11.2722697418926
46	17	-11.2062104931888
16	3	-10.8052039563157
6	2	-10.7661127133109
49	17	-10.7578570641335
36	17	-10.7483834534474
16	4	-10.6940512179994
50	16	-10.6363233010272
50	21	-10.5695999509185
46	39	-10.5654699898307
4	1	-10.556642005678
43	40	-10.3899094485664
46	5	-10.3471562583394
41	24	-10.3451359228078
43	5	-10.2566621884969
49	13	-10.2288250264072
24	3	-10.2106731286447
48	19	-10.2014607472913
46	21	-10.1642394136277
16	2	-10.0355142789427
39	16	-9.99911852773158
46	19	-9.99444358093558
46	6	-9.89904215698098
47	11	-9.87867983168404
41	22	-9.80408701172437
49	21	-9.77696983512596
48	21	-9.65909097817958
37	16	-9.6087089125834
49	5	-9.59397174468934
46	20	-9.51315509180627
36	18	-9.50865436504262
7	3	-9.49763598245123
46	11	-9.45820613896993
41	14	-9.3895199024206
40	14	-9.38834292657668
50	19	-9.37523501197566
49	8	-9.31740132546178
50	40	-9.28155655357701
50	7	-9.20823703119213
40	18	-9.2031500559064
37	18	-9.19682250946467
12	4	-9.18616258985728
49	4	-9.14021563433489
41	11	-9.03457031197936
50	6	-8.9765959813895
50	8	-8.94506533721017
49	6	-8.92621349085467
50	22	-8.89222120434489
41	19	-8.88797026112952
46	23	-8.88242486979456
49	15	-8.82953769441454
42	11	-8.78487166101297
43	10	-8.70460187854072
50	23	-8.66217695846482
46	40	-8.65953184573763
40	20	-8.65758735873121
50	41	-8.65727243142345
42	22	-8.61917677765638
12	5	-8.61434684702256
17	1	-8.55772851721649
11	3	-8.5425093562519
47	22	-8.49545163318412
18	1	-8.46731718221517
48	18	-8.45562747157619
42	16	-8.42574495222472
41	18	-8.40543536040489
48	17	-8.38238702539089
46	10	-8.37619084437435
18	2	-8.33082909351358
50	18	-8.25327747756589
11	4	-8.23710383473753
46	7	-8.22537747967523
16	5	-8.18869998854538
41	21	-8.16256531172258
44	11	-8.1548809985893
43	22	-8.13475629994302
44	5	-8.13424113750243
24	2	-8.10945647639616
39	14	-8.09834612970407
41	15	-8.08792461414613
49	10	-8.08113266385516
49	7	-8.01471827826134
9	2	-7.99784303022374
13	2	-7.95438868757734
41	13	-7.86320922622546
48	8	-7.82499989769486
40	23	-7.80971330053094
39	11	-7.7437890736589
41	9	-7.73036975951623
48	13	-7.70596235245433
42	14	-7.70508832816483
43	17	-7.70089802950951
44	22	-7.66516978221488
10	2	-7.58268593965633
40	22	-7.5314799411601
28	11	-7.51388651488893
23	4	-7.45548425829695
46	18	-7.44189661676215
46	4	-7.3729341216541
42	17	-7.31827480476366
22	2	-7.29114902623905
36	16	-7.22086539235487
48	7	-7.19204534149433
27	2	-7.18414549372387
17	2	-7.18315508269255
3	1	-7.17751116661864
50	9	-7.00708781753201
49	9	-6.9703691030206
50	13	-6.95713862420929
47	21	-6.92149260603922
42	18	-6.90884598244379
20	2	-6.89377725240746
46	16	-6.88977262996042
39	13	-6.87731894082791
48	4	-6.85754125496166
39	31	-6.81949273233587
39	18	-6.81056603328093
24	4	-6.78469669611134
47	7	-6.73652106084368
42	20	-6.7311045913208
37	11	-6.7042069227241
50	2	-6.69785066670335
39	20	-6.646492849763
24	6	-6.64337043042056
44	17	-6.62484274515555
40	19	-6.59587547170219
46	24	-6.5837035968012
40	9	-6.57810770194774
46	8	-6.51523373874732
40	21	-6.50109623152255
6	3	-6.50105149544222
22	1	-6.4887946900751
39	9	-6.43909102449369
7	2	-6.41678054986987
46	14	-6.41098671659831
12	2	-6.37231323352387
48	6	-6.29951327500152
37	15	-6.29934663379672
34	18	-6.28216621951254
37	21	-6.27091801571126
48	40	-6.26574700286748
48	14	-6.25689548205407
47	17	-6.20406301437585
46	2	-6.18885947977969
40	15	-6.14140937101776
42	21	-6.09866508915599
42	9	-6.08346937505041
14	2	-6.07993329211776
32	20	-6.02112186355427
16	6	-6.0004886897625
43	18	-5.99245847995577
47	16	-5.99012124687892
48	20	-5.97022924976267
39	19	-5.96330459442221
44	41	-5.91134658984793
17	3	-5.89724327359694
30	16	-5.89157422930417
36	4	-5.89128345338812
11	1	-5.88822899316208
47	6	-5.88784421858036
14	5	-5.86707617744923
33	11	-5.84884048585117
46	37	-5.84143231568087
49	14	-5.81563148444096
43	21	-5.8152412252117
46	3	-5.76485223562453
37	9	-5.68950876979844
30	11	-5.62741176982667
19	1	-5.59706487305569
48	10	-5.5938117159376
47	23	-5.5866504582516
30	22	-5.57696671418076
50	5	-5.54307799959281
43	39	-5.50714211697764
37	14	-5.48247183228189
46	15	-5.47472583673283
8	2	-5.44784404905852
40	33	-5.41901858117029
39	33	-5.37227064766188
30	4	-5.36099789247827
45	40	-5.36084936441565
34	17	-5.36059960359314
10	1	-5.35898661651816
24	7	-5.35781556800982
31	2	-5.3245125148664
42	4	-5.31834702623379
44	40	-5.31413414318833
43	41	-5.30601561647626
39	21	-5.29987731993473
50	10	-5.27458329649857
50	39	-5.25901871764204
41	30	-5.25579832673214
44	21	-5.1793378947098
41	33	-5.14819096776167
48	9	-5.09921802592878
39	30	-5.08539390109577
47	19	-5.07648103099906
25	2	-5.07625915029411
43	16	-5.06921060778812
47	18	-5.06465548525717
49	19	-5.05998184263886
50	14	-5.03886906422731
44	4	-5.03284590267232
41	7	-4.97225497238027
44	16	-4.95014734133343
47	24	-4.92719996036761
37	24	-4.92530333275235
18	4	-4.91443844000766
44	15	-4.89293740593647
13	6	-4.8813955294824
14	1	-4.8767372772966
43	9	-4.86820374724421
46	43	-4.86443214017975
18	3	-4.86377398218665
41	31	-4.85846930837425
49	23	-4.85484524708477
44	39	-4.8470609745866
47	13	-4.84060441744144
32	11	-4.80486838929147
24	11	-4.78657170796403
39	23	-4.75683243453069
48	3	-4.75588994834265
46	13	-4.74621654419727
9	1	-4.73604450701654
42	13	-4.73577462377237
45	41	-4.73106917382937
24	10	-4.72459065138014
41	4	-4.72280860214193
42	8	-4.70695562116526
48	15	-4.69149149184508
23	2	-4.67404848572879
40	30	-4.65506727864219
50	15	-4.64919778154453
50	12	-4.63985411795335
48	33	-4.58911516691208
48	5	-4.57677041482399
39	15	-4.55670519794442
46	1	-4.55544248677549
27	3	-4.53340801519855
43	8	-4.53287390673491
16	7	-4.50739907956628
43	6	-4.49772696391247
36	14	-4.49764730127263
45	17	-4.4779233301872
30	17	-4.47040711419554
49	20	-4.47039660048893
17	4	-4.46677028935091
27	4	-4.46439598581849
29	4	-4.44521656907032
43	1	-4.44093258421781
24	12	-4.4283869396039
46	25	-4.41310964117245
5	2	-4.40994899692196
36	22	-4.40121321444806
42	33	-4.32522261209663
36	11	-4.30308786495627
50	20	-4.2559147978982
42	23	-4.24697177849865
41	10	-4.24042359312493
49	28	-4.23602440108813
43	15	-4.23258249829942
47	14	-4.20759550912507
31	16	-4.18602363654452
23	3	-4.17799061825821
41	27	-4.14439315809036
13	5	-4.10142757457107
30	5	-4.07768246634224
40	13	-4.07207892930388
32	16	-4.0694151022815
19	4	-4.03510511502362
41	6	-4.02588052146417
19	2	-4.02494143366274
43	4	-4.00969390831121
49	27	-4.00819675851374
37	20	-3.9983321402002
45	16	-3.99530067209175
47	5	-3.97892441905377
14	7	-3.96773444136418
41	28	-3.96695299181151
42	24	-3.96426442804417
47	4	-3.94313575722514
34	16	-3.93909700962741
46	9	-3.92134788689166
49	2	-3.9106514650191
37	13	-3.88578864766783
37	4	-3.85245969544274
45	39	-3.85244185124453
43	14	-3.84433134662212
15	7	-3.83232665806081
37	31	-3.82381436645993
48	23	-3.82054320411639
17	5	-3.78307753873122
28	2	-3.76828847115017
50	1	-3.76214335941652
33	2	-3.7324462531233
43	33	-3.69867619748695
36	24	-3.6966674705162
46	30	-3.65753712360578
12	3	-3.65529203823677
30	15	-3.63827690303967
50	32	-3.63617194524106
44	6	-3.63046296911944
10	4	-3.63045003281893
13	1	-3.62819197555509
36	13	-3.627866105826
43	12	-3.61845509559426
33	4	-3.60454147685528
47	8	-3.604451548836
43	27	-3.59805172313384
24	5	-3.58462207812203
43	19	-3.58413059595737
44	18	-3.57000861715363
48	36	-3.55868817077969
42	19	-3.53767686511871
37	10	-3.53234161953628
49	3	-3.528843848457
46	12	-3.49473353515618
41	38	-3.47582408422885
22	3	-3.46613292565973
41	34	-3.45148985345275
47	2	-3.43421160050558
