regionID1	regionID2	DiffScore
46	39	-13.3546835871534
43	40	-13.3533877357028
49	10	-12.4397417573624
43	11	-11.3491386900935
43	10	-11.3468507719802
39	17	-11.2701503056031
43	5	-10.4623568592207
49	11	-9.88088272366426
6	2	-9.58589416212596
49	13	-9.55518669728833
49	16	-9.5245575749123
43	17	-9.41939229282945
37	17	-9.21376027973823
49	5	-9.1684692266159
39	14	-9.05183216935206
40	17	-8.90104261411893
43	9	-8.70563890435961
39	11	-8.59907934794191
16	1	-8.1348538386443
11	2	-8.01773431039328
36	17	-8.00923925794746
44	22	-7.91469873269593
40	24	-7.76405220410537
49	17	-7.75959409613493
48	22	-7.74919329228898
11	4	-7.69895037124189
49	6	-7.63684484925701
49	7	-7.62514447552923
20	2	-7.44143444322678
48	21	-7.42890103656439
46	21	-7.42739765493675
17	1	-7.30961374405107
43	22	-7.25122667359325
40	11	-7.21627102198351
41	17	-7.2078372950039
13	2	-6.96584511401934
37	14	-6.96370059670218
43	8	-6.92699922111821
41	23	-6.91629240803413
48	10	-6.86618462302536
40	19	-6.86389230417122
43	21	-6.85112833579257
43	18	-6.7914873749118
46	6	-6.76648134684513
37	12	-6.73167283499859
39	24	-6.72669384327696
43	12	-6.7176565129
40	30	-6.68141665092117
43	7	-6.66923810800923
43	14	-6.66211457370126
37	34	-6.66071995952446
24	3	-6.64097782258068
11	3	-6.63828678595319
41	20	-6.61038678534211
49	8	-6.58971463826625
50	10	-6.50643134810694
48	17	-6.50424238296312
49	18	-6.48391800045416
48	11	-6.44813059849981
49	15	-6.3973085376028
28	11	-6.37767011501686
49	2	-6.20645320317274
41	19	-6.18770027079335
48	16	-6.18031367499813
39	19	-6.16645665603896
50	17	-6.16380082342957
46	10	-6.15578757430706
6	3	-6.15056751907069
40	9	-6.14428455310737
43	41	-6.11530100224129
40	14	-6.08938358020167
24	7	-6.07943725398085
19	1	-6.07697054850258
46	7	-5.97313511575422
17	2	-5.94460070251376
39	31	-5.91628323749462
48	19	-5.91507793348515
41	16	-5.83592385013791
41	9	-5.76090091573311
41	38	-5.74952266449574
24	6	-5.72536385282949
49	12	-5.70699501010958
36	11	-5.64295425470156
41	11	-5.62925340539216
50	11	-5.6074542155551
36	16	-5.60713412467834
22	12	-5.60101192806688
43	39	-5.59471253584575
17	3	-5.58767979178602
46	5	-5.58433546656137
33	17	-5.56323412742769
50	23	-5.48126494832663
48	7	-5.42379858782038
46	40	-5.41134179186779
39	10	-5.40650392269136
39	9	-5.36215681779307
40	20	-5.33265700125259
41	22	-5.30361115232694
39	18	-5.29176086464199
39	13	-5.28150067149948
41	14	-5.24038876008144
40	18	-5.22651127091075
24	4	-5.18207314329157
40	16	-5.15487965634314
39	16	-5.15018808690664
50	5	-5.14491484359471
43	2	-5.11965924342594
46	20	-5.09733966187019
35	17	-5.08353754714198
39	30	-5.07675463008903
9	2	-5.0583078739836
18	1	-5.05537262643272
36	13	-5.0545476734533
50	21	-5.0457117866213
50	12	-5.04493113142568
27	2	-5.02637146177715
30	14	-4.99842255012907
48	20	-4.98026127950405
25	11	-4.97372769724647
27	7	-4.9610993946042
40	21	-4.91551276801171
43	16	-4.89141565944904
34	17	-4.87441438617314
46	22	-4.87150600997766
49	21	-4.82655934919766
40	23	-4.8222050975394
49	4	-4.79463000853525
19	2	-4.74318297811213
49	22	-4.73502094640338
22	1	-4.71225620557342
16	2	-4.70925130662349
45	38	-4.70582615292156
49	14	-4.70537749040217
17	7	-4.68643689617828
44	40	-4.65129785254823
20	1	-4.57860435324971
30	11	-4.56901317987525
43	19	-4.5561380449691
43	15	-4.55518909856605
34	14	-4.53548216056755
32	17	-4.50519506463371
42	41	-4.4953404128451
49	19	-4.48300838875467
36	10	-4.47189026097054
37	18	-4.45427970249157
6	1	-4.45197624415997
48	18	-4.41829482437685
16	3	-4.41147160284221
11	1	-4.40440186664243
12	2	-4.38262018698148
50	16	-4.36797938101737
39	33	-4.36543309319214
39	15	-4.3634932209646
10	2	-4.32756396924603
17	5	-4.31396533577233
48	13	-4.30105047188961
39	34	-4.25230134508449
41	10	-4.20950222194412
45	17	-4.20756303033792
46	43	-4.20290055039403
11	7	-4.16887873706832
45	41	-4.15880217525682
4	1	-4.15502864144786
11	5	-4.1541511502586
23	2	-4.14176225558983
36	5	-4.12785416536127
29	17	-4.12098750894784
43	6	-4.10230648042898
47	16	-4.07931436415324
25	17	-4.073152713002
14	2	-4.07004001957724
50	7	-4.06290868205198
47	17	-4.03130366218542
36	14	-4.02547532092006
41	24	-4.01398472332591
49	3	-3.9841881654052
43	1	-3.98241292270386
41	15	-3.98235375915901
17	6	-3.97399734499339
36	18	-3.9557299277947
43	20	-3.93844456195864
48	6	-3.92514945770199
48	40	-3.90309251749246
45	40	-3.90088332188116
37	16	-3.89378472649563
35	16	-3.88798596600979
3	1	-3.87598734115941
43	13	-3.8664146037754
10	1	-3.8501656037495
43	24	-3.84396110692368
42	14	-3.83479926860861
22	3	-3.83308085724299
48	12	-3.82911922171734
36	22	-3.81948861263782
36	9	-3.80996935874374
16	11	-3.80249169582061
50	8	-3.7698057744442
48	8	-3.75189663859958
39	23	-3.75003490069873
24	12	-3.74827828215429
46	19	-3.73671566525079
35	24	-3.73305295400432
37	30	-3.72093864976127
7	3	-3.69944796148455
46	17	-3.69854845871417
49	23	-3.69538622703395
42	20	-3.687341006013
46	24	-3.65100757624646
47	20	-3.64848821394204
24	11	-3.64524846530486
42	38	-3.6165125674183
40	33	-3.5842710703663
22	11	-3.56624681533389
49	20	-3.55928054250492
23	3	-3.54961852364966
9	1	-3.54683216836244
37	20	-3.53513591382996
36	4	-3.52621519600228
50	18	-3.514104083231
47	21	-3.50559615158691
13	1	-3.49562462435267
24	5	-3.48735419287309
41	30	-3.48562146348529
44	5	-3.45218829794988
37	21	-3.44293093221972
50	13	-3.43620899691534
43	27	-3.43551395745681
17	12	-3.43465757022465
22	2	-3.42130580196371
49	9	-3.41660730902288
30	2	-3.40925312255156
28	5	-3.40792834069311
16	7	-3.39013824931527
46	41	-3.37284070166509
44	41	-3.36904030420444
34	2	-3.36293036649344
47	11	-3.35925407521477
41	13	-3.33647662227098
32	20	-3.33006275750552
42	17	-3.3179404952495
23	7	-3.31414768655329
48	14	-3.31413272116551
37	10	-3.30587376829623
37	24	-3.2929964557961
46	2	-3.29175892613072
44	39	-3.28910547373945
37	13	-3.2650833191318
44	15	-3.23273998061231
15	2	-3.18076739440933
11	6	-3.17021971451085
15	3	-3.15906157623751
24	10	-3.14940709166085
36	24	-3.14721152967705
48	5	-3.13709720361586
38	20	-3.11392915752927
14	4	-3.11334307009682
30	5	-3.11203555330518
48	27	-3.11202097609339
47	38	-3.08671801636492
29	5	-3.0835298052621
37	11	-3.05869088504041
39	38	-3.04699467008208
16	5	-3.04333427719569
40	22	-3.03902565112296
39	20	-3.03269633876521
50	6	-3.03081652799561
42	22	-3.02303247482039
40	15	-2.99874160058718
42	21	-2.9893766322317
27	3	-2.97431565397961
16	9	-2.97041664988206
29	15	-2.96272579790523
47	13	-2.96256563452795
44	16	-2.96044827698587
25	12	-2.95591038521817
30	22	-2.95575932425404
34	9	-2.94429687092611
42	13	-2.92439490115184
18	2	-2.91701032035453
24	2	-2.91659117324532
31	3	-2.90799998418567
32	16	-2.9021493045454
46	11	-2.89934399260015
46	8	-2.89889729225129
46	14	-2.89633305253626
35	5	-2.8937878078566
42	11	-2.8860250509382
50	15	-2.87944022022239
41	34	-2.86989467113237
32	15	-2.86089409661098
46	1	-2.86083531803809
48	15	-2.85734609411772
34	18	-2.85618047903668
40	12	-2.8519892594766
39	28	-2.8512236394992
45	2	-2.85025549831571
49	24	-2.84584095003407
17	4	-2.83930603294962
46	12	-2.83171591529481
27	5	-2.82582015519082
14	1	-2.81525221046186
41	31	-2.81294655524911
46	23	-2.80179556129887
42	23	-2.79609153578691
20	6	-2.78517373562045
50	9	-2.78026543859762
40	13	-2.77438095368837
28	9	-2.76862868298341
18	12	-2.75457453472875
10	3	-2.74585875812187
27	16	-2.74218351584605
37	31	-2.73985251683776
37	9	-2.72422070178129
39	21	-2.72027351268378
47	22	-2.71427719860339
18	3	-2.70291608662867
43	33	-2.67712004992048
41	33	-2.66842058302735
31	6	-2.66697329487754
33	14	-2.66666324947755
12	5	-2.62508653564706
28	7	-2.59982879355865
50	22	-2.59875384528398
27	11	-2.59443791038947
37	15	-2.59427361435354
38	35	-2.59312941721576
27	8	-2.58980919152369
42	16	-2.58959766319801
44	14	-2.57501234843132
37	28	-2.56289666292873
49	40	-2.56116618567515
15	1	-2.55382008212167
16	4	-2.54952296977015
28	14	-2.54102512814095
49	1	-2.5397757035386
20	3	-2.53574301200388
30	21	-2.53456660856602
41	18	-2.53409888824497
31	7	-2.50519348003811
43	30	-2.50441796519108
25	5	-2.49635915064848
41	28	-2.49250524815764
34	24	-2.4914093634217
9	4	-2.48125149704239
43	38	-2.46667323556581
45	16	-2.45638178930881
40	31	-2.45336194736344
29	22	-2.43451287385775
30	15	-2.4327761493576
28	17	-2.43231399465596
46	3	-2.41315098703328
48	9	-2.39113099658453
39	12	-2.3791665489001
29	16	-2.37593323412272
30	12	-2.35594142634766
24	17	-2.34603444166236
13	6	-2.34108367868059
39	22	-2.33359400362933
37	22	-2.33150232424932
50	19	-2.33000162379527
48	39	-2.32864116437939
19	3	-2.31118351425785
33	21	-2.30874162180938
32	11	-2.30678777117631
25	4	-2.26414859416061
18	5	-2.26344175825614
34	11	-2.25823991229272
46	13	-2.25380984367949
36	20	-2.24771152292024
33	11	-2.24229744590061
40	34	-2.24182764015436
47	19	-2.24015654555864
30	17	-2.23479077533235
49	28	-2.23453006101653
43	37	-2.2266573265126
44	11	-2.21732066548678
48	41	-2.2129697309403
43	4	-2.20472303311016
12	9	-2.20455783568608
28	16	-2.20076090987629
46	38	-2.1938351122154
45	39	-2.18669598038572
16	6	-2.17199237370651
42	40	-2.16803915205341
9	3	-2.16032031456011
7	2	-2.15955389735311
7	1	-2.15902189642775
42	19	-2.15330408733193
29	4	-2.14352170551026
40	28	-2.14295846186366
32	7	-2.1404315216968
33	22	-2.13845426174028
44	21	-2.13589142496683
43	34	-2.12769049657856
14	9	-2.11830444440027
33	19	-2.11279279464246
16	12	-2.10770154423405
45	15	-2.10765042563872
42	34	-2.10630817875626
47	7	-2.09593188408843
47	23	-2.0929766324543
50	14	-2.08593277446556
46	25	-2.07853244841808
36	7	-2.07769618840365
45	21	-2.07114542239018
35	21	-2.05054681319002
50	24	-2.05052654166941
32	18	-2.049828292547
46	18	-2.04428598875541
30	10	-2.03365516542219
34	12	-2.03069322677573
41	21	-2.02728978551929
42	30	-2.01322928991974
43	28	-1.99823458844915
22	7	-1.99401427086094
23	4	-1.99354990133042
29	9	-1.98922271379868
12	3	-1.98736261936932
46	9	-1.98141430595286
50	41	-1.97173754580815
35	6	-1.96969639399195
30	4	-1.96098130624259
38	19	-1.96002591609902
44	10	-1.95993164477874
29	7	-1.95873563296355
17	8	-1.95803749846795
43	25	-1.9422062503804
44	17	-1.94019626333455
38	33	-1.93614654886474
50	36	-1.92461796740028
49	34	-1.92367954256227
42	18	-1.92260392803977
43	23	-1.91896134265551
28	12	-1.90642203451742
36	33	-1.9064072609052
48	24	-1.90407200142515
33	3	-1.90251600666838
42	9	-1.89834354287529
39	1	-1.89630902941704
14	11	-1.89567102316162
28	2	-1.89346682389665
35	14	-1.89311041056046
50	34	-1.88940155650005
33	1	-1.88419510066418
31	17	-1.87984373386355
19	12	-1.87710452125471
42	10	-1.87469348393784
12	4	-1.87209278208077
48	28	-1.86915906787921
49	39	-1.84861501559947
36	23	-1.847488862863
47	10	-1.84579854888052
49	41	-1.84069257202654
24	9	-1.84068008248888
33	5	-1.83926293184177
48	23	-1.83850967539557
36	6	-1.83046038003622
4	2	-1.82842528023718
30	16	-1.82726472602689
19	5	-1.82410357741863
11	9	-1.82206844696178
14	5	-1.81799532346597
15	7	-1.8160884020342
41	12	-1.81074740707408
50	20	-1.8094107490783
47	5	-1.80833689530568
