regionID1	regionID2	DiffScore
50	17	-12.1233382207953
37	17	-10.6610487326509
49	17	-10.4862469368574
17	1	-10.2888847035115
50	18	-10.2860710288679
50	16	-10.2531633142511
24	4	-10.2513558301551
24	3	-10.1934073066202
49	11	-10.1398239317136
11	2	-10.0900291661018
39	17	-9.80471017106607
49	18	-9.7161696703129
23	4	-9.69131170172667
40	24	-9.42068037375416
49	8	-8.98599135663976
49	16	-8.91969328378757
46	21	-8.887302597648
6	2	-8.87409041987142
37	18	-8.60006936288325
50	8	-8.4452210155254
49	7	-8.22965257727858
40	17	-8.22101614273841
50	21	-8.09645692488835
50	7	-7.967557947907
49	22	-7.93608820263718
4	1	-7.90570236255569
44	17	-7.85797679032999
41	23	-7.80427600263542
17	3	-7.80406846345489
49	21	-7.71366073699875
49	13	-7.67865785751979
16	2	-7.65932092023643
11	4	-7.63385138680875
36	17	-7.55342483891728
50	11	-7.35732487793986
49	5	-7.29853059128443
14	2	-7.23561802118079
3	1	-7.14757824693484
44	22	-7.14733791494871
17	4	-7.04630119906404
49	10	-7.0202324855465
49	6	-6.97228228677973
46	17	-6.96908786890307
40	14	-6.91254598397154
18	2	-6.86766412996796
14	5	-6.8517661677812
27	2	-6.83963059981053
17	2	-6.81071441028814
40	20	-6.74357544649338
31	2	-6.7217910823525
23	2	-6.68288150369057
24	2	-6.68168743511526
18	3	-6.63164835681258
43	17	-6.62381337747284
19	1	-6.55132432064176
41	17	-6.54275218667959
16	1	-6.52967260331632
49	15	-6.34912885316435
19	2	-6.32995336424491
40	21	-6.25213631914763
50	19	-6.20880074330284
50	23	-6.17187867501284
41	14	-6.11058764328063
6	3	-6.09739087241142
50	36	-6.08344164011272
40	22	-6.06373104377856
46	19	-6.06216205652532
50	13	-6.05626286241668
40	11	-6.03363766186083
16	5	-5.96666879080732
37	20	-5.9257737298593
49	4	-5.86391619665972
18	1	-5.83604598951147
24	7	-5.78835771444935
16	3	-5.7735591787941
41	16	-5.71482034181528
50	6	-5.67035660874385
40	23	-5.60976603057463
49	14	-5.60608941130848
33	2	-5.57678290385654
36	22	-5.54891109520067
50	12	-5.5272838370092
12	4	-5.48090732017851
46	7	-5.48044404931275
43	40	-5.46649189051815
41	24	-5.41668215367913
40	18	-5.41024741170262
40	9	-5.40962504288996
25	4	-5.40491938568342
30	17	-5.39881614215674
50	10	-5.39529111708254
50	14	-5.38763853454636
13	2	-5.38308803430426
13	7	-5.33055809796655
9	4	-5.3017668183336
9	2	-5.26362960431296
27	11	-5.17672055089791
50	41	-5.16397011274616
48	40	-5.15532215801955
25	3	-5.12861384158062
43	11	-5.12142327167825
43	12	-5.12010465991815
49	12	-5.11078221891622
46	22	-5.096398191732
43	18	-5.05088315973473
40	15	-4.99258643959092
41	38	-4.94948398220043
39	14	-4.91666554704268
41	20	-4.90101858583904
14	7	-4.87089898809498
41	15	-4.80993703630312
27	3	-4.7783803730389
45	17	-4.77732320496402
43	2	-4.7663284305591
12	2	-4.76341072291483
16	4	-4.75884966187205
46	20	-4.70936326616347
40	16	-4.65995382548471
46	11	-4.57530903398434
48	16	-4.51964619060604
46	18	-4.49820864871219
44	40	-4.49055254126279
7	3	-4.48030902550854
19	4	-4.45436804831615
18	4	-4.43481106976192
41	19	-4.38340392273374
42	17	-4.38170959447726
41	21	-4.35565867012444
49	2	-4.33692526084974
43	22	-4.29673630594439
10	2	-4.28682854416366
22	2	-4.26817081310366
46	2	-4.26114677345227
48	22	-4.25950356043329
44	5	-4.22158648389109
23	3	-4.22067191986731
44	21	-4.18294330375111
40	19	-4.14954211173571
48	18	-4.1395674562885
36	18	-4.13761116732479
39	9	-4.13211989684149
48	7	-4.12314566542146
8	3	-4.1197066863891
6	1	-4.10100043398314
22	4	-4.09474825600548
50	15	-4.09053625929886
14	4	-4.08235102224774
44	18	-4.02382133942137
24	6	-4.01131901315167
44	16	-3.98369297014517
43	14	-3.95056349076618
48	21	-3.91695903834294
40	28	-3.89357436782657
31	3	-3.88889532075994
18	5	-3.88224453267514
13	6	-3.88207026514759
41	9	-3.87828685878799
41	22	-3.86793267456696
36	4	-3.85811263262084
45	41	-3.81520845959224
50	9	-3.81288065664228
8	2	-3.8107061335803
33	17	-3.80745702369107
39	24	-3.77926878796208
46	6	-3.77558197866172
49	19	-3.73142803880728
50	40	-3.71917830811745
16	9	-3.69279678760713
37	16	-3.68704292993697
48	19	-3.68428204501899
50	5	-3.67639241452427
27	4	-3.66794458690401
40	33	-3.64513961809857
49	23	-3.63935065857371
48	17	-3.62358249520886
39	18	-3.62271990006074
7	4	-3.60546093173614
39	11	-3.57675322169558
37	8	-3.57269020624752
41	13	-3.57180030704552
41	31	-3.55966207848081
22	1	-3.55769333355238
9	1	-3.51981521085857
36	34	-3.51008790396577
48	41	-3.50729815911199
17	5	-3.49510231407007
48	13	-3.49088569090139
11	3	-3.48917282636416
46	39	-3.48170728910586
46	23	-3.48158577348491
8	4	-3.46893121702623
20	2	-3.45806822447691
37	22	-3.44497088160129
14	9	-3.35769451577184
19	3	-3.3544199091818
46	16	-3.34490424152354
24	5	-3.33511353200484
43	25	-3.32627937532964
22	3	-3.30168200912728
46	40	-3.29955089418862
10	3	-3.29935620889015
46	10	-3.29472366582183
39	16	-3.28998603168437
45	40	-3.28066309966161
43	39	-3.27657486919752
50	30	-3.26903019274889
39	19	-3.26581850421058
43	15	-3.26381428273472
50	22	-3.25679756241337
41	18	-3.2420874639542
7	2	-3.22037391238336
50	2	-3.20216951529227
37	9	-3.18272520142414
25	11	-3.15853484737468
39	21	-3.15806316851072
36	16	-3.1484082160299
