regionID1	regionID2	DiffScore
40	17	-17.4503865221486
39	17	-16.7111014019811
49	13	-15.3401080468957
49	11	-14.6534968619267
46	17	-14.4660635995075
37	17	-14.235072849934
49	10	-14.1962587192733
36	17	-14.1351157659469
43	11	-14.0130933382657
48	17	-13.65838698162
48	22	-13.5743281387394
50	17	-13.1497365484019
36	18	-13.0518543683464
17	2	-12.9327642564095
46	21	-12.8565908839534
41	17	-12.6525623150037
11	2	-12.6054653858438
6	2	-12.4230897888435
49	5	-12.4221208181003
49	16	-12.20254939398
50	9	-11.960761906037
49	17	-11.8511030436759
49	15	-11.7384011217373
49	9	-11.6947437816064
50	16	-11.6057737994295
49	6	-11.3920602560205
49	2	-11.3689117056027
49	8	-11.1093585928944
13	2	-10.9760069944577
46	14	-10.9101511265056
10	2	-10.8070082990749
48	16	-10.7647086578795
49	18	-10.6925449798317
20	2	-10.6317197645324
19	2	-10.5703923019908
49	12	-10.5681988699756
39	13	-10.5492118339613
49	7	-10.4934800830373
40	16	-10.2054039508216
46	11	-10.202228722446
42	17	-10.1520999739587
16	5	-10.1368751914473
49	4	-10.0549007230173
50	10	-10.0000314877582
37	9	-9.85930385152757
46	22	-9.83382370443205
40	9	-9.83137037242013
36	9	-9.8052745287903
11	3	-9.74028887117182
41	16	-9.67739618614812
41	9	-9.63748904619342
50	21	-9.63252032425517
49	21	-9.47059441082085
50	13	-9.45504048518944
9	2	-9.36861217334395
49	22	-9.35030639728969
17	1	-9.27527447886016
23	2	-9.24264341573499
50	11	-9.16265924884316
40	11	-9.08972717987043
37	18	-9.08514020587392
44	22	-9.05471754243639
16	2	-9.03260368808574
40	18	-8.90447536448113
39	11	-8.90337633371456
36	16	-8.85323129918002
48	19	-8.8132192456892
48	13	-8.80999628281202
43	5	-8.72582886682925
50	7	-8.68317079076909
11	4	-8.6777391298328
39	21	-8.64169701612406
50	8	-8.60632429466084
48	11	-8.58065969968621
45	17	-8.57728640951047
48	9	-8.42640536534524
50	6	-8.41354859512191
50	2	-8.36533200590514
50	23	-8.21065310848151
46	9	-8.15802776354091
49	3	-8.14997098208046
43	22	-8.0802040218704
22	2	-8.04586374234658
17	5	-7.92123584571792
48	10	-7.90928617102308
43	21	-7.8979211502484
41	23	-7.88960050450667
18	2	-7.80140268844846
27	2	-7.76431630600367
46	18	-7.75799453817681
46	10	-7.70738668271728
47	20	-7.69837432188682
37	21	-7.67792526040831
14	5	-7.66437875708514
39	24	-7.65048518900035
40	13	-7.60567844151792
23	7	-7.5838201330193
48	8	-7.52202388808256
43	17	-7.51706100289485
18	5	-7.49461948133015
16	1	-7.46937149470068
17	4	-7.41024168797814
49	14	-7.40166721703624
48	14	-7.35371505457269
40	23	-7.34713498082176
48	21	-7.34439678639341
11	6	-7.3282199015033
48	15	-7.32324537977572
13	6	-7.2391272780331
46	19	-7.23479376309896
42	21	-7.22214891068471
33	2	-7.1887742308729
12	2	-7.1623424006936
49	23	-7.149618356326
37	15	-7.12219678168283
36	11	-7.11606123718051
50	12	-7.08504634616029
39	19	-7.07128677410952
40	22	-7.04209250244024
41	10	-6.93393083113103
13	5	-6.91064997072471
39	16	-6.88903418424921
46	12	-6.87680240890373
36	13	-6.86221848573065
41	15	-6.83320268502067
3	1	-6.79256456102456
40	21	-6.78979921188367
50	18	-6.77510414373993
41	22	-6.77422755197959
50	20	-6.76880934926899
39	20	-6.75436727803787
10	7	-6.75054417938811
39	31	-6.6926928991144
37	13	-6.68290774799616
42	9	-6.67197723562662
44	5	-6.66473094825942
46	5	-6.63889140042463
42	20	-6.63705188363576
44	17	-6.63681317161846
16	6	-6.63078983545196
47	11	-6.62995173832311
41	11	-6.61636389822924
15	2	-6.61275809865654
43	40	-6.60757058099368
50	19	-6.58707131948987
48	18	-6.57044871375167
44	11	-6.56331127034649
37	2	-6.55320059805705
17	7	-6.54819469799755
40	24	-6.52950184779339
36	7	-6.51723984997909
35	17	-6.5096544225417
15	7	-6.41601002806689
39	18	-6.40307156537333
43	7	-6.38369390812514
6	1	-6.36751986039341
43	9	-6.36444628578451
41	19	-6.33360677598453
36	10	-6.31991779293095
19	4	-6.30259831453379
23	6	-6.27639982664742
46	6	-6.27589008808586
40	19	-6.2463315614827
43	2	-6.21972892740207
17	3	-6.2072767615757
46	39	-6.19215993919866
50	41	-6.17429422121985
6	3	-6.16460876227592
47	16	-6.14648805935265
24	6	-6.14637758827518
36	15	-6.14606749122256
11	7	-6.08550437126829
41	18	-6.03613147472229
18	4	-6.02319320282188
42	11	-6.02195889959324
4	1	-6.01444466409785
50	40	-5.99125940745517
50	15	-5.98974420228271
49	28	-5.9571160037502
43	10	-5.95376551961905
40	14	-5.94374685601379
40	20	-5.93035161762597
41	20	-5.92929216448273
50	14	-5.91198855200075
46	25	-5.88407498054485
42	16	-5.8838742778544
36	4	-5.86158332654269
19	1	-5.85087789279427
40	15	-5.80296270206755
48	23	-5.76833803855351
39	9	-5.75814285423698
47	17	-5.75658691161954
47	21	-5.75126892480661
46	7	-5.73911129256308
11	5	-5.73866176207358
49	1	-5.73256143216746
15	5	-5.70347259998362
48	20	-5.69018926596516
39	10	-5.66644045710061
42	18	-5.66354321576656
16	4	-5.63176169418884
39	14	-5.6297226710766
41	24	-5.6023887898158
14	2	-5.57579474175854
44	14	-5.55305375648668
42	22	-5.55141239476197
37	14	-5.5498608229496
36	14	-5.53739510830673
41	13	-5.5315687086003
46	40	-5.52678898036467
22	1	-5.5260819425174
31	2	-5.4676332753614
24	7	-5.4499035698473
36	22	-5.44253594859568
9	1	-5.40582431123453
19	5	-5.40479439780513
44	40	-5.40370751384611
40	30	-5.31712456778545
16	3	-5.31494558571796
16	7	-5.28790799145894
50	22	-5.2876579201821
46	20	-5.26049050895327
37	12	-5.22585155098526
34	17	-5.21541091074213
10	6	-5.21149252217019
48	7	-5.20455571272123
49	19	-5.19912257633039
37	11	-5.18643783435147
39	15	-5.16995638201189
37	28	-5.14969045280037
4	2	-5.13816061520375
37	20	-5.10340094971091
49	20	-5.09063676122796
47	13	-5.0785779053353
43	16	-5.07757289724313
43	12	-5.05969834310837
17	6	-5.05599866580867
19	11	-5.04132235486514
28	11	-4.99117194297003
35	16	-4.93911580360562
22	4	-4.9089065832642
46	23	-4.90547440290128
24	2	-4.88948959395263
37	31	-4.8848462907446
42	13	-4.86827893337099
36	21	-4.85707937127069
44	21	-4.83503308409117
8	1	-4.83366359827091
15	6	-4.8176405584983
50	27	-4.8174671994956
44	15	-4.81291393843562
14	7	-4.80769227195339
50	5	-4.79835799424151
13	1	-4.72958318361803
50	39	-4.69194843754852
46	13	-4.68954885446735
21	2	-4.68199579001173
10	3	-4.60832752828337
46	16	-4.59802046262478
14	6	-4.59592834601157
43	6	-4.58626577231392
35	18	-4.58393655654591
28	2	-4.57847867967142
37	16	-4.53557306687228
37	8	-4.51907243062337
23	4	-4.48669213148596
24	4	-4.47766592462438
40	31	-4.47736794906844
12	4	-4.42889836038833
20	1	-4.39311962312771
43	14	-4.38364834821081
41	21	-4.38105631718579
48	6	-4.37361123131574
43	15	-4.34040469790855
12	3	-4.31106033959734
47	9	-4.30579560735993
36	19	-4.29768855234696
39	30	-4.29057822458119
37	22	-4.2844550699117
46	8	-4.27730952099257
30	11	-4.24650838938753
50	28	-4.23962055291408
44	6	-4.22528511110055
27	9	-4.21101999756203
43	8	-4.20883357476986
5	2	-4.20815005935947
30	15	-4.20693945607229
18	3	-4.20021599185981
37	24	-4.19964509571095
39	23	-4.18472528884883
13	7	-4.18446313531044
50	30	-4.17412586913115
47	22	-4.16618516671244
50	33	-4.10516665306689
35	21	-4.10146555262844
42	23	-4.0794279271827
18	7	-4.0754976930968
43	13	-4.0753534488011
14	9	-4.0666023595227
14	11	-4.06058278677009
45	16	-4.05932829672851
36	20	-4.04601391222144
36	28	-4.03586144283028
42	19	-4.03459453605081
33	17	-4.00381270769975
48	2	-4.001583786215
34	2	-3.99375285462138
45	41	-3.99266192587091
10	1	-3.98989944775807
18	1	-3.9730285086188
49	41	-3.96799575167465
43	18	-3.93961685739726
36	8	-3.91947279859241
40	10	-3.91293778323698
44	9	-3.90859842432957
46	4	-3.88199443679716
5	4	-3.86142964959974
48	3	-3.85743455206691
41	14	-3.85140570014425
42	14	-3.83346540487736
45	2	-3.80575388597528
39	2	-3.79978058964078
22	11	-3.79780331876972
27	3	-3.76547247471795
39	1	-3.7330801886671
2	1	-3.7313557928744
47	23	-3.73112284148939
32	18	-3.73042838960791
24	3	-3.71798943497881
44	39	-3.71495872876227
36	5	-3.70942310885463
46	43	-3.7057673008333
17	8	-3.6931292423654
24	11	-3.67927108757683
43	39	-3.66144251285195
47	2	-3.64943399101023
20	4	-3.63728989261205
50	3	-3.62988180353833
23	3	-3.62951835629016
7	3	-3.62666304568152
39	28	-3.62526985342546
50	36	-3.62216213512834
7	2	-3.61829739320806
7	1	-3.6163094629952
41	31	-3.61027666552333
44	20	-3.59900315019224
46	30	-3.58588356296406
11	1	-3.5835208931572
50	26	-3.58238188942721
44	10	-3.58007818381784
44	7	-3.56564267340558
47	10	-3.56165034022249
43	20	-3.55119313761827
48	4	-3.49176583227914
9	4	-3.47344160239691
44	18	-3.47143714427847
50	25	-3.4668594733988
19	6	-3.4561880368707
35	15	-3.45155249349396
15	4	-3.44515800460993
34	14	-3.44475556535509
46	24	-3.44087497257091
48	28	-3.43020392413818
41	38	-3.42933245414649
16	9	-3.42392121443937
46	33	-3.42368601162588
36	3	-3.42109416035392
36	6	-3.41904130056501
45	40	-3.40058697421064
8	2	-3.37382629583135
46	15	-3.36929140024548
45	6	-3.36418264432592
49	27	-3.35891312549862
50	32	-3.34825864784992
50	1	-3.3247082650848
23	8	-3.29892784378799
46	3	-3.28928317283777
22	9	-3.2892473994993
42	10	-3.28708681291978
19	3	-3.28551080030849
41	28	-3.28524457991598
36	24	-3.28160050235073
39	22	-3.25951886093463
8	4	-3.25082572998075
22	7	-3.24812816328904
50	42	-3.23380770601555
44	28	-3.22603414031089
43	28	-3.22334593219819
22	3	-3.21913395065043
37	34	-3.19024736135899
24	22	-3.17395260070081
48	12	-3.16929952770731
49	40	-3.1632779484193
46	37	-3.14856875448846
44	34	-3.14500674723202
35	13	-3.13183757827625
25	2	-3.12263830441282
34	9	-3.11509960252566
5	3	-3.10676906755032
32	20	-3.08520219922049
22	15	-3.08241893211107
47	3	-3.08008213079363
48	27	-3.06917919400832
49	25	-3.06793872954779
3	2	-3.06195825765292
40	33	-3.06109070560094
12	5	-3.04868369412335
33	3	-3.03260179230649
37	10	-3.02739725685487
39	4	-3.00396254569225
36	23	-2.98966394459684
43	27	-2.98630554380506
9	7	-2.9832968184106
42	8	-2.98221787648174
48	33	-2.98137845893105
34	11	-2.95678509502823
30	10	-2.95667952044548
48	24	-2.95574518150517
43	1	-2.95028846772563
28	9	-2.93135979416975
44	16	-2.90565926346378
46	2	-2.90097629103851
32	17	-2.89389628218736
47	19	-2.87919376474283
39	12	-2.86098205299093
32	19	-2.86072994283208
23	9	-2.86002097514043
44	41	-2.79602303970071
29	17	-2.78281871095394
39	33	-2.76385842070919
47	14	-2.75747128274754
48	34	-2.7552292684775
27	16	-2.74738302111429
30	9	-2.74275658626615
37	32	-2.73858268036721
26	2	-2.7271348230998
24	19	-2.71202352959015
46	27	-2.6960478781924
30	17	-2.69542626102244
46	1	-2.6723050964318
40	4	-2.66940926949705
36	27	-2.66091572165971
34	24	-2.66038130817658
49	39	-2.65236971239714
24	17	-2.64372688616674
9	5	-2.6428489278427
41	30	-2.63962808318179
9	3	-2.60113647531934
35	5	-2.57366238820961
31	11	-2.57069234689743
34	7	-2.56954314053687
31	10	-2.55707100997171
46	38	-2.55004030319322
44	25	-2.54895584602974
5	1	-2.52855441637884
39	27	-2.52621521481544
27	4	-2.52530843140215
43	4	-2.52307825546249
47	18	-2.50841292996234
25	17	-2.50245283457318
25	3	-2.50182343631534
36	34	-2.50007296028752
35	24	-2.49435615204516
7	4	-2.49411753353752
45	10	-2.48940304935574
34	18	-2.48222627651581
49	34	-2.46695962789099
21	4	-2.45851347751176
40	28	-2.45802759027465
48	39	-2.44214132803955
32	16	-2.43513608273543
36	30	-2.43494645318463
47	7	-2.43120782639562
44	19	-2.42815814183174
34	19	-2.42780484287613
49	30	-2.42615605206801
44	12	-2.41835349891331
42	15	-2.41031615750727
48	30	-2.40730402961535
31	9	-2.40504719061679
44	4	-2.38960423081644
48	37	-2.38403520392228
48	29	-2.37737920773238
32	13	-2.37165688345449
33	27	-2.36687826532685
33	1	-2.36325065146324
18	6	-2.36299030322747
37	7	-2.34778573290935
23	1	-2.34759724309795
22	16	-2.34148131781221
24	12	-2.33485689762552
37	5	-2.3342832515308
47	34	-2.3321487427983
49	37	-2.32088953653622
48	5	-2.31451607062584
37	1	-2.31237424240689
47	15	-2.31199954808638
25	11	-2.3084927496415
30	18	-2.2858213779507
44	3	-2.2694253588785
45	15	-2.26922242215824
44	35	-2.26822710497609
29	15	-2.26401286955147
27	7	-2.26325063910157
21	11	-2.25088749606505
41	27	-2.24137024062612
20	3	-2.23546847321997
42	4	-2.23318910427387
30	16	-2.22769211918923
49	43	-2.22621321237217
42	41	-2.2071015606398
18	10	-2.20544501830826
42	7	-2.20494830108796
42	5	-2.19991619769274
50	29	-2.1988781634243
25	5	-2.19703965589786
22	10	-2.19395978080223
43	37	-2.18680267964455
14	10	-2.18659432868437
35	9	-2.18051372264123
24	10	-2.1720222078236
50	31	-2.16914616175512
47	28	-2.16784909430771
33	21	-2.1592921047263
27	5	-2.15517631982877
42	6	-2.14468677488936
15	1	-2.14139001468161
48	40	-2.14037462538666
25	4	-2.13669277366798
47	12	-2.13521883408296
24	8	-2.13180281215209
45	39	-2.12906027549435
42	24	-2.12760992923867
43	3	-2.12713131624643
17	10	-2.12440120020696
27	10	-2.1223171503545
29	2	-2.11548851952987
34	22	-2.11394505475162
8	5	-2.10273660851231
