Gene,SA3170,SA3173,SA3309,SA3326,SA3331,SA3336,SA3174,SA3195,SA3198,SA3318,SA3337,SA3338,,baseMean,log2FoldChange (LUAD/AdenomaG),lfcSE,pvalue,padj,ENTREZ_ID,Gene_name
Spata2l,6.596000154,6.056139374,6.675617324,6.344813969,6.779461393,6.932447009,6.217237179,6.857889584,5.444695452,5.751733468,6.716942886,5.925098039,,86.04736342,-0.23904367,0.24728543,0.217144639,0.438238809,78779,spermatogenesis associated 2-like
Spata31d1a,3.646040836,3.133307234,2.741505259,0.644374251,3.790108638,2.151087296,6.577412743,2.493317152,3.004122861,#NUM!,1.747316534,3.313663327,,14.18934475,0.187645035,0.42062473,NA,NA,72219,"spermatogenesis associated 31 subfamily D, member 1A"
Spata5,8.405777739,8.064044572,7.911430261,8.385841237,8.024573891,7.787711916,8.173515802,8.279913514,8.241162058,8.934425766,8.122355966,8.694485111,,312.3079532,0.271121726,0.182175702,0.091492962,0.249983993,57815,spermatogenesis associated 5
Spata5l1,6.376433777,6.329704447,6.53406318,6.911160792,6.360857279,6.594030791,6.543465411,6.800745677,6.262857129,6.766088761,5.554671456,6.667300282,,91.19777511,-0.031423067,0.200136175,0.853812958,0.93496421,214616,spermatogenesis associated 5-like 1
Spata6,8.434536731,8.791518717,8.819846711,8.348277824,8.636336451,8.264829461,9.24390513,9.0137394,9.023316426,9.234581751,9.374242328,8.925098039,,472.3386672,0.540212891,0.143929552,0.0000593,0.000952099,67946,spermatogenesis associated 6
Spata7,7.093499814,7.28981172,6.864887675,6.120107682,6.921814316,7.128367219,6.399075502,6.899309511,6.219135752,6.751733469,7.184721847,6.074475663,,111.6018913,-0.217609926,0.2298792,0.242753357,0.469573095,104871,spermatogenesis associated 7
Spats2,9.771571719,8.662086899,8.469425714,9.330874778,8.694167642,8.736049796,10.09951522,9.4287769,9.618832705,10.05332111,10.02654018,9.424509096,,706.9546508,0.670428156,0.256367048,0.001841905,0.014459741,72572,"spermatogenesis associated, serine-rich 2"
Spats2l,7.887048936,8.091376554,7.804515057,7.737131391,8.210440437,7.350759641,7.227963585,7.647122488,7.639711435,7.567308897,8.966485054,9.769447169,,293.189372,0.312147726,0.347093822,0.158125009,0.358267887,67198,"spermatogenesis associated, serine-rich 2-like"
Spc24,6.914529672,6.824469139,7.300472552,6.610158535,6.444112783,7.290638648,7.259672445,7.997937544,6.840624128,7.787357378,8.139633957,7.553129262,,162.2644109,0.611157367,0.260477429,0.00447026,0.028241042,67629,"SPC24, NDC80 kinetochore complex component, homolog (S. cerevisiae)"
Spc25,7.274072059,6.570712547,6.634590055,6.814299251,6.112036732,7.773139115,7.585776216,8.638994607,6.978127653,8.317330644,7.605297529,8.06855083,,187.3880148,0.811031243,0.353473481,0.002842899,0.020111957,66442,"SPC25, NDC80 kinetochore complex component, homolog (S. cerevisiae)"
Spcs1,11.4737444,11.46459743,11.32055176,11.30437014,11.00528472,11.53100711,11.31919326,11.63082068,11.45356632,11.50126774,11.77568309,11.86825218,,2870.501197,0.221400429,0.129227384,0.06860301,0.205547947,69019,signal peptidase complex subunit 1 homolog (S. cerevisiae)
Spcs2,12.23339219,12.36092318,12.19917928,12.02049964,11.96913955,11.92133822,11.86281496,11.9547966,12.06250121,11.63974605,11.98691506,12.07669122,,4196.790842,-0.175329815,0.113593493,0.108786442,0.280681305,66624,signal peptidase complex subunit 2 homolog (S. cerevisiae)
Spcs3,11.16388914,11.69904402,11.76545758,11.61771287,11.21883827,11.0803457,11.61211575,11.63440247,11.38226286,11.41507809,11.65520865,11.41753393,,2871.839491,0.063759131,0.141331746,0.628745339,0.805068672,76687,signal peptidase complex subunit 3 homolog (S. cerevisiae)
Spdef,5.710171174,5.974609488,5.864887675,5.001926255,6.178379227,4.610518914,5.674709945,6.125585367,6.688621035,5.465429283,7.352178593,8.154965581,,84.92204214,0.875389512,0.527443935,0.008450172,0.046337212,30051,SAM pointed domain containing ets transcription factor
Spdl1,4.99396414,5.614433924,5.519112838,5.752898707,5.287608297,5.57735205,6.809359471,6.829600539,6.196767939,8.014767874,6.139633957,7.527442618,,90.02750044,1.459669614,0.358377177,0.00000338,0.000092,70385,spindle apparatus coiled-coil protein 1
Specc1,10.24865536,10.27371099,10.73828136,10.66674206,10.68706426,9.885796916,11.27656146,10.20481206,10.43755927,10.97592813,9.565366057,10.38452966,,1461.611396,0.08432858,0.225276815,0.641652694,0.812816618,432572,sperm antigen with calponin homology and coiled-coil domains 1
