k	i	j	iscore_ct1	jscore_ct1	AB_ct1	A0score_ct1	B0score_ct1	iscore_ct2	jscore_ct2	AB_ct2	A0score_ct2	B0score_ct2	CellTypeID	ABchange	A0change	B0change
1	1	2	0.18046829	0.19012852	AA	0.0343121688846308	0	0.12997185	0.18921714	AA	0.024592901737509	0	ct2VSct4	0.0097192671471218	0.0097192671471218	0
2	1	3	0.18046829	0.14061381	AA	0.0253763338410849	0	0.12997185	0.042118739	AA	0.00547425042749715	0	ct2VSct4	0.0199020834135877	0.0199020834135878	0
3	1	4	0.18046829	-0.18161297	AB	0	0	0.12997185	-0.16005197	AB	0	0	ct2VSct4	-0.0119731315006768	0	0
4	1	5	0.18046829	-0.18328273	AB	0	0	0.12997185	-0.15949981	AB	0	0	ct2VSct4	-0.0123462354892832	0	0
5	1	6	0.18046829	0.042068575	AA	0.00759204379298675	0	0.12997185	0.07341805	AA	0.0095422797818925	0	ct2VSct4	-0.00195023598890575	-0.00195023598890575	0
6	1	7	0.18046829	-0.00098194839	AB	0	0	0.12997185	0.0050526869	AA	0.000656707063863765	0	ct2VSct4	-0.000833917610675318	-0.000656707063863765	0
7	1	8	0.18046829	-0.044405686	AB	0	0	0.12997185	-0.010054963	AB	0	0	ct2VSct4	-0.00670695607590539	0	0
8	1	9	0.18046829	-0.17344142	AB	0	0	0.12997185	-0.14838386	AB	0	0	ct2VSct4	-0.0120149516882308	0	0
9	1	10	0.18046829	-0.19903151	AB	0	0	0.12997185	-0.18504188	AB	0	0	ct2VSct4	-0.0118686407947399	0	0
10	1	11	0.18046829	-0.1973125	AB	0	0	0.12997185	-0.18540987	AB	0	0	ct2VSct4	-0.0115105856584655	0	0
11	1	12	0.18046829	-0.15190249	AB	0	0	0.12997185	-0.13463165	AB	0	0	ct2VSct4	-0.0099152579979896	0	0
12	1	13	0.18046829	-0.087703852	AB	0	0	0.12997185	-1.3994537e-05	AB	0	0	ct2VSct4	-0.0158259453009893	0	0
13	1	14	0.18046829	-0.1880073	AB	0	0	0.12997185	-0.19444767	AB	0	0	ct2VSct4	-0.0086566325404275	0	0
14	1	15	0.18046829	-0.20745743	AB	0	0	0.12997185	-0.20818817	AB	0	0	ct2VSct4	-0.0103808860368802	0	0
15	1	16	0.18046829	-0.17437581	AB	0	0	0.12997185	-0.18710877	AB	0	0	ct2VSct4	-0.0071504312599404	0	0
16	1	17	0.18046829	-0.14796277	AB	0	0	0.12997185	-0.18609775	AB	0	0	ct2VSct4	-0.0025151192372258	0	0
17	1	18	0.18046829	-0.16760507	AB	0	0	0.12997185	-0.19291348	AB	0	0	ct2VSct4	-0.0051740784926923	0	0
18	1	19	0.18046829	-0.14024768	AB	0	0	0.12997185	-0.15302515	AB	0	0	ct2VSct4	-0.0054212971440397	0	0
19	1	20	0.18046829	0.054948016	AA	0.00991637448641264	0	0.12997185	0.067270407	AA	0.00874325924804295	0	ct2VSct4	0.00117311523836969	0.00117311523836969	0
20	1	21	0.18046829	-0.0074197618	AB	0	0	0.12997185	-0.092687347	AB	0	0	ct2VSct4	0.0107077142369286	0	0
21	1	22	0.18046829	-0.15307954	AB	0	0	0.12997185	-0.19244915	AB	0	0	ct2VSct4	-0.0026130307613591	0	0
22	1	23	0.18046829	-0.094298444	AB	0	0	0.12997185	-0.082904505	AB	0	0	ct2VSct4	-0.00624262705015651	0	0
23	1	24	0.18046829	-0.15181406	AB	0	0	0.12997185	-0.18756089	AB	0	0	ct2VSct4	-0.0030199879452109	0	0
24	1	25	0.18046829	-0.14685121	AB	0	0	0.12997185	-0.176658	AB	0	0	ct2VSct4	-0.0035414196758309	0	0
25	1	26	0.18046829	0.022230333	AA	0.00401187018264057	0	0.12997185	0.046911147	AA	0.00609712856121195	0	ct2VSct4	-0.00208525837857138	-0.00208525837857138	0
26	1	27	0.18046829	-0.1369298	AB	0	0	0.12997185	-0.12160587	AB	0	0	ct2VSct4	-0.0089061469612825	0	0
27	1	28	0.18046829	-0.19271408	AB	0	0	0.12997185	-0.20294332	AB	0	0	ct2VSct4	-0.0084018617309812	0	0
28	1	29	0.18046829	-0.072474398	AB	0	0	0.12997185	-0.11742039	AB	0	0	ct2VSct4	0.00218201464018208	0	0
29	1	30	0.18046829	-0.19092902	AB	0	0	0.12997185	-0.18628952	AB	0	0	ct2VSct4	-0.0102442402007638	0	0
30	1	31	0.18046829	-0.061939482	AB	0	0	0.12997185	-0.026242096	AB	0	0	ct2VSct4	-0.00776737863502818	0	0
31	1	32	0.18046829	0.093314979	AA	0.0168403946915159	0	0.12997185	0.11104545	AA	0.0144327825705825	0	ct2VSct4	0.00240761212093341	0.0024076121209334	0
32	1	33	0.18046829	-0.11083278	AB	0	0	0.12997185	-0.13439603	AB	0	0	ct2VSct4	-0.0025341016307907	0	0
33	1	34	0.18046829	-0.17001925	AB	0	0	0.12997185	-0.19089042	AB	0	0	ct2VSct4	-0.0058727022799055	0	0
34	1	35	0.18046829	0.0060066249	AA	0.00108400532437442	0	0.12997185	-0.0071459731	AB	0	0	ct2VSct4	0.00201278066823166	0.00108400532437442	0
35	1	36	0.18046829	-0.02883865	AB	0	0	0.12997185	-0.09546514	AB	0	0	ct2VSct4	0.0072033190049005	0	0
36	1	37	0.18046829	0.1362983	AA	0.024597521130907	0	0.12997185	0.078333614	AA	0.0101811647287659	0	ct2VSct4	0.0144163564021411	0.0144163564021411	0
37	1	38	0.18046829	-0.11748793	AB	0	0	0.12997185	-0.12562377	AB	0	0	ct2VSct4	-0.0048752920318652	0	0
38	1	39	0.18046829	0.18710115	AA	0.0337658245975335	0	0.12997185	0.15790873	AA	0.0205236897692505	0	ct2VSct4	0.013242134828283	0.013242134828283	0
39	1	40	0.18046829	0.18804056	AA	0.0339353583138424	0	0.12997185	0.17291261	AA	0.0224737718100285	0	ct2VSct4	0.0114615865038139	0.0114615865038139	0
40	1	41	0.18046829	0.18964921	AA	0.0342256686285509	0	0.12997185	0.18335729	AA	0.0238312861922865	0	ct2VSct4	0.0103943824362644	0.0103943824362644	0
41	1	42	0.18046829	0.15865292	AA	0.0286318211759068	0	0.12997185	0.1628178	AA	0.02116173067893	0	ct2VSct4	0.0074700904969768	0.0074700904969768	0
42	1	43	0.18046829	-0.1823701	AB	0	0	0.12997185	-0.17132332	AB	0	0	ct2VSct4	-0.010644811245587	0	0
43	1	44	0.18046829	-0.17777604	AB	0	0	0.12997185	-0.16783001	AB	0	0	ct2VSct4	-0.0102697610565531	0	0
44	1	45	0.18046829	0.088799464	AA	0.0160254874209966	0	0.12997185	0.14089042	AA	0.018311788534677	0	ct2VSct4	-0.00228630111368044	-0.0022863011136804	0
45	1	46	0.18046829	-0.083378426	AB	0	0	0.12997185	-0.10152237	AB	0	0	ct2VSct4	-0.00185211171782704	0	0
46	1	47	0.18046829	0.15723078	AA	0.0283751700019662	0	0.12997185	0.15886527	AA	0.0206480130426495	0	ct2VSct4	0.0077271569593167	0.0077271569593167	0
47	1	48	0.18046829	0.14162452	AA	0.0255587349464708	0	0.12997185	0.09525499	AA	0.0123804672720315	0	ct2VSct4	0.0131782676744393	0.0131782676744393	0
48	1	49	0.18046829	0.047735823	AA	0.00861480234855267	0	0.12997185	-0.01745302	AB	0	0	ct2VSct4	0.0108832036460397	0.00861480234855267	0
