k	i	j	iscore_ct1	jscore_ct1	AB_ct1	A0score_ct1	B0score_ct1	iscore_ct2	jscore_ct2	AB_ct2	A0score_ct2	B0score_ct2	CellTypeID	ABchange	A0change	B0change
1	1	2	0.18046829	0.19012852	AA	0.0343121688846308	0	0.14062496	0.19167472	AA	0.0269542498330112	0	ct2VSct6	0.0073579190516196	0.0073579190516196	0
2	1	3	0.18046829	0.14061381	AA	0.0253763338410849	0	0.14062496	0.041218938	AA	0.00579641150749248	0	ct2VSct6	0.0195799223335924	0.0195799223335924	0
3	1	4	0.18046829	-0.18161297	AB	0	0	0.14062496	-0.15714814	AB	0	0	ct2VSct6	-0.0106764312361469	0	0
4	1	5	0.18046829	-0.18328273	AB	0	0	0.14062496	-0.15474943	AB	0	0	ct2VSct6	-0.0113150884658589	0	0
5	1	6	0.18046829	0.042068575	AA	0.00759204379298675	0	0.14062496	0.066833416	AA	0.00939844645166336	0	ct2VSct6	-0.00180640265867661	-0.00180640265867661	0
6	1	7	0.18046829	-0.00098194839	AB	0	0	0.14062496	-0.022246194	AB	0	0	ct2VSct6	0.00295115959459069	0	0
7	1	8	0.18046829	-0.044405686	AB	0	0	0.14062496	-0.04551244	AB	0	0	ct2VSct6	-0.00161363316419454	0	0
8	1	9	0.18046829	-0.17344142	AB	0	0	0.14062496	-0.15332964	AB	0	0	ct2VSct6	-0.0097387019907574	0	0
9	1	10	0.18046829	-0.19903151	AB	0	0	0.14062496	-0.1707854	AB	0	0	ct2VSct6	-0.0119021862222339	0	0
10	1	11	0.18046829	-0.1973125	AB	0	0	0.14062496	-0.17414729	AB	0	0	ct2VSct6	-0.0111191937802666	0	0
11	1	12	0.18046829	-0.15190249	AB	0	0	0.14062496	-0.13429048	AB	0	0	ct2VSct6	-0.0085289892386613	0	0
12	1	13	0.18046829	-0.087703852	AB	0	0	0.14062496	-0.0037838305	AB	0	0	ct2VSct6	-0.0152956631841438	0	0
13	1	14	0.18046829	-0.1880073	AB	0	0	0.14062496	-0.19145065	AB	0	0	ct2VSct6	-0.007006615940293	0	0
14	1	15	0.18046829	-0.20745743	AB	0	0	0.14062496	-0.20129436	AB	0	0	ct2VSct6	-0.0091324763166691	0	0
15	1	16	0.18046829	-0.17437581	AB	0	0	0.14062496	-0.19265948	AB	0	0	ct2VSct6	-0.0043765725794441	0	0
16	1	17	0.18046829	-0.14796277	AB	0	0	0.14062496	-0.19542643	AB	0	0	ct2VSct6	0.000779245816129502	0	0
17	1	18	0.18046829	-0.16760507	AB	0	0	0.14062496	-0.19695558	AB	0	0	ct2VSct6	-0.0025505298189535	0	0
18	1	19	0.18046829	-0.14024768	AB	0	0	0.14062496	-0.16507629	AB	0	0	ct2VSct6	-0.00209641230786881	0	0
19	1	20	0.18046829	0.054948016	AA	0.00991637448641264	0	0.14062496	0.079750339	AA	0.0112148882318614	0	ct2VSct6	-0.0012985137454488	-0.00129851374544876	0
20	1	21	0.18046829	-0.0074197618	AB	0	0	0.14062496	-0.089629813	AB	0	0	ct2VSct6	0.0112651571436792	0	0
21	1	22	0.18046829	-0.15307954	AB	0	0	0.14062496	-0.17799514	AB	0	0	ct2VSct6	-0.0025954433750922	0	0
22	1	23	0.18046829	-0.094298444	AB	0	0	0.14062496	-0.074110683	AB	0	0	ct2VSct6	-0.00659606710589308	0	0
23	1	24	0.18046829	-0.15181406	AB	0	0	0.14062496	-0.17513926	AB	0	0	ct2VSct6	-0.0027686723742278	0	0
24	1	25	0.18046829	-0.14685121	AB	0	0	0.14062496	-0.1783839	AB	0	0	ct2VSct6	-0.0014167579509869	0	0
25	1	26	0.18046829	0.022230333	AA	0.00401187018264057	0	0.14062496	0.04886867	AA	0.0068721547640032	0	ct2VSct6	-0.00286028458136263	-0.00286028458136263	0
26	1	27	0.18046829	-0.1369298	AB	0	0	0.14062496	-0.12618619	AB	0	0	ct2VSct6	-0.0069665589347396	0	0
27	1	28	0.18046829	-0.19271408	AB	0	0	0.14062496	-0.19431832	AB	0	0	ct2VSct6	-0.00745277449925601	0	0
