k	i	j	iscore_ct1	jscore_ct1	AB_ct1	A0score_ct1	B0score_ct1	iscore_ct2	jscore_ct2	AB_ct2	A0score_ct2	B0score_ct2	CellTypeID	ABchange	A0change	B0change
1	1	2	0.12997185	0.18921714	AA	0.024592901737509	0	0.16765706	0.19364436	AA	0.0324658440831816	0	ct4VSct7	-0.00787294234567259	-0.0078729423456726	0
2	1	3	0.12997185	0.042118739	AA	0.00547425042749715	0	0.16765706	0.10585583	AA	0.0177474772416598	0	ct4VSct7	-0.0122732268141627	-0.0122732268141627	0
3	1	4	0.12997185	-0.16005197	AB	0	0	0.16765706	-0.13891174	AB	0	0	ct4VSct7	0.0024872832908399	0	0
4	1	5	0.12997185	-0.15949981	AB	0	0	0.16765706	-0.12533775	AB	0	0	ct4VSct7	0.000283273291666501	0	0
5	1	6	0.12997185	0.07341805	AA	0.0095422797818925	0	0.16765706	0.059538988	AA	0.00998213168345528	0	ct4VSct7	-0.000439851901562781	-0.000439851901562781	0
6	1	7	0.12997185	0.0050526869	AA	0.000656707063863765	0	0.16765706	0.0088799324	AA	0.00148878335918274	0	ct4VSct7	-0.000832076295318979	-0.000832076295318975	0
7	1	8	0.12997185	-0.010054963	AB	0	0	0.16765706	-0.040057191	AB	0	0	ct4VSct7	0.00540900873212691	0	0
8	1	9	0.12997185	-0.14838386	AB	0	0	0.16765706	-0.13538413	AB	0	0	ct4VSct7	0.0034123804121168	0	0
9	1	10	0.12997185	-0.18504188	AB	0	0	0.16765706	-0.1623234	AB	0	0	ct4VSct7	0.003164428542126	0	0
10	1	11	0.12997185	-0.18540987	AB	0	0	0.16765706	-0.16864965	AB	0	0	ct4VSct7	0.0041772406768695	0	0
11	1	12	0.12997185	-0.13463165	AB	0	0	0.16765706	-0.088391378	AB	0	0	ct4VSct7	-0.00267888605422382	0	0
12	1	13	0.12997185	-1.3994537e-05	AB	0	0	0.16765706	-0.088008298	AB	0	0	ct4VSct7	0.0147533936024201	0	0
13	1	14	0.12997185	-0.19444767	AB	0	0	0.16765706	-0.18830947	AB	0	0	ct4VSct7	0.0062986887122687	0	0
14	1	15	0.12997185	-0.20818817	AB	0	0	0.16765706	-0.20101347	AB	0	0	ct4VSct7	0.0066427257975837	0	0
15	1	16	0.12997185	-0.18710877	AB	0	0	0.16765706	-0.20302246	AB	0	0	ct4VSct7	0.0097192757694431	0	0
16	1	17	0.12997185	-0.18609775	AB	0	0	0.16765706	-0.2024971	AB	0	0	ct4VSct7	0.0097625995961885	0	0
17	1	18	0.12997185	-0.19291348	AB	0	0	0.16765706	-0.20235464	AB	0	0	ct4VSct7	0.0088528621342204	0	0
18	1	19	0.12997185	-0.15302515	AB	0	0	0.16765706	-0.17403187	AB	0	0	ct4VSct7	0.0092887098284747	0	0
19	1	20	0.12997185	0.067270407	AA	0.00874325924804295	0	0.16765706	0.026111148	AA	0.00437771830690488	0	ct4VSct7	0.00436554094113807	0.00436554094113807	0
20	1	21	0.12997185	-0.092687347	AB	0	0	0.16765706	-0.09638506	AB	0	0	ct4VSct7	0.00411288982634165	0	0
21	1	22	0.12997185	-0.19244915	AB	0	0	0.16765706	-0.17188705	AB	0	0	ct4VSct7	0.0038051053986455	0	0
22	1	23	0.12997185	-0.082904505	AB	0	0	0.16765706	-0.088189629	AB	0	0	ct4VSct7	0.00401036203244649	0	0
23	1	24	0.12997185	-0.18756089	AB	0	0	0.16765706	-0.17973533	AB	0	0	ct4VSct7	0.0057562611449833	0	0
24	1	25	0.12997185	-0.176658	AB	0	0	0.16765706	-0.18355494	AB	0	0	ct4VSct7	0.0078137145115764	0	0
25	1	26	0.12997185	0.046911147	AA	0.00609712856121195	0	0.16765706	0.022230364	AA	0.00372707747096984	0	ct4VSct7	0.00237005109024211	0.00237005109024211	0
26	1	27	0.12997185	-0.12160587	AB	0	0	0.16765706	-0.12914455	AB	0	0	ct4VSct7	0.0058466556732635	0	0
27	1	28	0.12997185	-0.20294332	AB	0	0	0.16765706	-0.19425153	AB	0	0	ct4VSct7	0.0061907216747598	0	0
28	1	29	0.12997185	-0.11742039	AB	0	0	0.16765706	-0.13361659	AB	0	0	ct4VSct7	0.0071404193306039	0	0
29	1	30	0.12997185	-0.18628952	AB	0	0	0.16765706	-0.18384934	AB	0	0	ct4VSct7	0.0066112462773284	0	0
30	1	31	0.12997185	-0.026242096	AB	0	0	0.16765706	-0.071527926	AB	0	0	ct4VSct7	0.00858142801605996	0	0
31	1	32	0.12997185	0.11104545	AA	0.0144327825705825	0	0.16765706	0.092805165	AA	0.0155594411167149	0	ct4VSct7	-0.0011266585461324	-0.0011266585461324	0
32	1	33	0.12997185	-0.13439603	AB	0	0	0.16765706	-0.13429929	AB	0	0	ct4VSct7	0.0050485234697319	0	0
33	1	34	0.12997185	-0.19089042	AB	0	0	0.16765706	-0.18321423	AB	0	0	ct4VSct7	0.0059067781172868	0	0
34	1	35	0.12997185	-0.0071459731	AB	0	0	0.16765706	0.016333056	AA	0.00273835214977536	0	ct4VSct7	-0.00366712749363259	-0.00273835214977536	0
35	1	36	0.12997185	-0.09546514	AB	0	0	0.16765706	-0.090922245	AB	0	0	ct4VSct7	0.0028359754289907	0	0
36	1	37	0.12997185	0.078333614	AA	0.0101811647287659	0	0.16765706	0.10484256	AA	0.0175775953724736	0	ct4VSct7	-0.0073964306437077	-0.0073964306437077	0
37	1	38	0.12997185	-0.12562377	AB	0	0	0.16765706	-0.12670288	AB	0	0	ct4VSct7	0.0049150785634583	0	0
