k	i	j	iscore_ct1	jscore_ct1	AB_ct1	A0score_ct1	B0score_ct1	iscore_ct2	jscore_ct2	AB_ct2	A0score_ct2	B0score_ct2	CellTypeID	ABchange	A0change	B0change
1	1	2	0.16796124	0.19104093	AA	0.0320874714935532	0	0.14062496	0.19167472	AA	0.0269542498330112	0	ct3VSct6	0.00513322166054201	0.005133221660542	0
2	1	3	0.16796124	0.1009407	AA	0.016954125138468	0	0.14062496	0.041218938	AA	0.00579641150749248	0	ct3VSct6	0.0111577136309755	0.0111577136309755	0
3	1	4	0.16796124	-0.16271872	AB	0	0	0.14062496	-0.15714814	AB	0	0	ct3VSct6	-0.00523148708083841	0	0
4	1	5	0.16796124	-0.15626544	AB	0	0	0.14062496	-0.15474943	AB	0	0	ct3VSct6	-0.0044849046677728	0	0
5	1	6	0.16796124	0.077304897	AA	0.0129842263581923	0	0.14062496	0.066833416	AA	0.00939844645166336	0	ct3VSct6	0.00358577990652892	0.00358577990652894	0
6	1	7	0.16796124	0.051912599	AA	0.00871930449966276	0	0.14062496	-0.022246194	AB	0	0	ct3VSct6	0.011847674641065	0.00871930449966276	0
7	1	8	0.16796124	0.009518961	AA	0.00159881649307164	0	0.14062496	-0.04551244	AB	0	0	ct3VSct6	0.00799900154757404	0.00159881649307164	0
8	1	9	0.16796124	-0.15743553	AB	0	0	0.14062496	-0.15332964	AB	0	0	ct3VSct6	-0.0048810923470428	0	0
9	1	10	0.16796124	-0.19242186	AB	0	0	0.14062496	-0.1707854	AB	0	0	ct3VSct6	-0.00830272416512241	0	0
10	1	11	0.16796124	-0.19638166	AB	0	0	0.14062496	-0.17414729	AB	0	0	ct3VSct6	-0.0084950514365	0	0
11	1	12	0.16796124	-0.16028141	AB	0	0	0.14062496	-0.13429048	AB	0	0	ct3VSct6	-0.00803647099416761	0	0
12	1	13	0.16796124	-0.11455982	AB	0	0	0.14062496	-0.0037838305	AB	0	0	ct3VSct6	-0.0187095084086675	0	0
13	1	14	0.16796124	-0.19694965	AB	0	0	0.14062496	-0.19145065	AB	0	0	ct3VSct6	-0.00615716743334201	0	0
14	1	15	0.16796124	-0.20676996	AB	0	0	0.14062496	-0.20129436	AB	0	0	ct3VSct6	-0.0064223275531248	0	0
15	1	16	0.16796124	-0.19555677	AB	0	0	0.14062496	-0.19265948	AB	0	0	ct3VSct6	-0.005753225910974	0	0
16	1	17	0.16796124	-0.19100095	AB	0	0	0.14062496	-0.19542643	AB	0	0	ct3VSct6	-0.0045989225014852	0	0
17	1	18	0.16796124	-0.18987862	AB	0	0	0.14062496	-0.19695558	AB	0	0	ct3VSct6	-0.004195377905412	0	0
18	1	19	0.16796124	-0.15944314	AB	0	0	0.14062496	-0.16507629	AB	0	0	ct3VSct6	-0.00356642082569521	0	0
19	1	20	0.16796124	0.054914255	AA	0.0092234663634762	0	0.14062496	0.079750339	AA	0.0112148882318614	0	ct3VSct6	-0.00199142186838524	-0.0019914218683852	0
