k	i	j	iscore_ct1	jscore_ct1	AB_ct1	A0score_ct1	B0score_ct1	iscore_ct2	jscore_ct2	AB_ct2	A0score_ct2	B0score_ct2	CellTypeID	ABchange	A0change	B0change
38	1	39	0.18046829	0.18710115	AA	0.0337658245975335	0	0.16796124	0.17347666	AA	0.0291373549246584	0	ct2VSct3	0.0046284696728751	0.0046284696728751	0
39	1	40	0.18046829	0.18804056	AA	0.0339353583138424	0	0.16796124	0.17695382	AA	0.0297213830299368	0	ct2VSct3	0.0042139752839056	0.0042139752839056	0
40	1	41	0.18046829	0.18964921	AA	0.0342256686285509	0	0.16796124	0.17829669	AA	0.0299469331402956	0	ct2VSct3	0.0042787354882553	0.0042787354882553	0
41	1	42	0.18046829	0.15865292	AA	0.0286318211759068	0	0.16796124	0.14756948	AA	0.0247859528469552	0	ct2VSct3	0.0038458683289516	0.0038458683289516	0
42	1	43	0.18046829	-0.1823701	AB	0	0	0.16796124	-0.16357241	AB	0	0	ct2VSct3	-0.0054381952807406	0	0
43	1	44	0.18046829	-0.17777604	AB	0	0	0.16796124	-0.17446408	AB	0	0	ct2VSct3	-0.0027797347295124	0	0
44	1	45	0.18046829	0.088799464	AA	0.0160254874209966	0	0.16796124	0.066227762	AA	0.0111236970279449	0	ct2VSct3	0.00490179039305168	0.0049017903930517	0
45	1	46	0.18046829	-0.083378426	AB	0	0	0.16796124	-0.032986415	AB	0	0	ct2VSct3	-0.00950672279655694	0	0
46	1	47	0.18046829	0.15723078	AA	0.0283751700019662	0	0.16796124	0.17300806	AA	0.0290586482875944	0	ct2VSct3	-0.000683478285628199	-0.000683478285628199	0
47	1	48	0.18046829	0.14162452	AA	0.0255587349464708	0	0.16796124	0.15073365	AA	0.025317410763726	0	ct2VSct3	0.0002413241827448	0.0002413241827448	0
48	1	49	0.18046829	0.047735823	AA	0.00861480234855267	0	0.16796124	0.083039757	AA	0.0139474605550187	0	ct2VSct3	-0.00533265820646601	-0.00533265820646603	0
49	1	50	0.18046829	0.0022084846	AA	0.000398561439253334	0	0.16796124	0.088158697	AA	0.0148072440649043	0	ct2VSct3	-0.0144086826256509	-0.014408682625651	0
50	2	3	0.19012852	0.14061381	AA	0.0267346955868612	0	0.19104093	0.1009407	AA	0.019283805202851	0	ct2VSct3	0.0074508903840102	0.0074508903840102	0
51	2	4	0.19012852	-0.18161297	AB	0	0	0.19104093	-0.16271872	AB	0	0	ct2VSct3	-0.0034438696016948	0	0
52	2	5	0.19012852	-0.18328273	AB	0	0	0.19104093	-0.15626544	AB	0	0	ct2VSct3	-0.0049941792120004	0	0
53	2	6	0.19012852	0.042068575	AA	0.007998435903259	0	0.19104093	0.077304897	AA	0.0147683994164342	0	ct2VSct3	-0.00676996351317521	-0.0067699635131752	0
54	2	7	0.19012852	-0.00098194839	AB	0	0	0.19104093	0.051912599	AA	0.00991743119167707	0	ct2VSct3	-0.0101041275857842	-0.00991743119167707	0
55	2	8	0.19012852	-0.044405686	AB	0	0	0.19104093	0.009518961	AA	0.00181851116207373	0	ct2VSct3	-0.0102612985208384	-0.00181851116207373	0
56	2	9	0.19012852	-0.17344142	AB	0	0	0.19104093	-0.15743553	AB	0	0	ct2VSct3	-0.00289953042505551	0	0
57	2	10	0.19012852	-0.19903151	AB	0	0	0.19104093	-0.19242186	AB	0	0	ct2VSct3	-0.0010811153429354	0	0
58	2	11	0.19012852	-0.1973125	AB	0	0	0.19104093	-0.19638166	AB	0	0	ct2VSct3	2.20135884380218e-06	0	0
59	2	12	0.19012852	-0.15190249	AB	0	0	0.19104093	-0.16028141	AB	0	0	ct2VSct3	0.0017393140200965	0	0
60	2	13	0.19012852	-0.087703852	AB	0	0	0.19104093	-0.11455982	AB	0	0	ct2VSct3	0.00521061097437356	0	0
61	2	14	0.19012852	-0.1880073	AB	0	0	0.19104093	-0.19694965	AB	0	0	ct2VSct3	0.0018798946009785	0	0
62	2	15	0.19012852	-0.20745743	AB	0	0	0.19104093	-0.20676996	AB	0	0	ct2VSct3	5.79513255592051e-05	0	0
63	2	16	0.19012852	-0.17437581	AB	0	0	0.19104093	-0.19555677	AB	0	0	ct2VSct3	0.0042055325294949	0	0
64	2	17	0.19012852	-0.14796277	AB	0	0	0.19104093	-0.19100095	AB	0	0	ct2VSct3	0.0083570566436831	0	0
65	2	18	0.19012852	-0.16760507	AB	0	0	0.19104093	-0.18987862	AB	0	0	ct2VSct3	0.0044080842483202	0	0
66	2	19	0.19012852	-0.14024768	AB	0	0	0.19104093	-0.15944314	AB	0	0	ct2VSct3	0.0037950819158866	0	0
67	2	20	0.19012852	0.054948016	AA	0.0104471849590163	0	0.19104093	0.054914255	AA	0.0104908703454572	0	ct2VSct3	-4.36853864408306e-05	-4.36853864409e-05	0
68	2	21	0.19012852	-0.0074197618	AB	0	0	0.19104093	-0.01455958	AB	0	0	ct2VSct3	0.00137076737382286	0	0
69	2	22	0.19012852	-0.15307954	AB	0	0	0.19104093	-0.15076104	AB	0	0	ct2VSct3	-0.000303257093113594	0	0
70	2	23	0.19012852	-0.094298444	AB	0	0	0.19104093	-0.014486541	AB	0	0	ct2VSct3	-0.0151613013308998	0	0
71	2	24	0.19012852	-0.15181406	AB	0	0	0.19104093	-0.15360689	AB	0	0	ct2VSct3	0.000481020577016499	0	0
72	2	25	0.19012852	-0.14685121	AB	0	0	0.19104093	-0.17528898	AB	0	0	ct2VSct3	0.0055667665404422	0	0
73	2	26	0.19012852	0.022230333	AA	0.00422662031239716	0	0.19104093	0.034817162	AA	0.00665150300844066	0	ct2VSct3	-0.0024248826960435	-0.0024248826960435	0
74	2	27	0.19012852	-0.1369298	AB	0	0	0.19104093	-0.13150274	AB	0	0	ct2VSct3	-0.000911854470747795	0	0
75	2	28	0.19012852	-0.19271408	AB	0	0	0.19104093	-0.19158984	AB	0	0	ct2VSct3	-3.89416014104013e-05	0	0
76	2	29	0.19012852	-0.072474398	AB	0	0	0.19104093	-0.12514643	AB	0	0	ct2VSct3	0.0101286403437489	0	0
77	2	30	0.19012852	-0.19092902	AB	0	0	0.19104093	-0.18395331	AB	0	0	ct2VSct3	-0.0011584405786721	0	0
78	2	31	0.19012852	-0.061939482	AB	0	0	0.19104093	-0.079477947	AB	0	0	ct2VSct3	0.00340707886714407	0	0
79	2	32	0.19012852	0.093314979	AA	0.0177418388511011	0	0.19104093	0.11143501	AA	0.0212886479449593	0	ct2VSct3	-0.00354680909385822	-0.0035468090938582	0
80	2	33	0.19012852	-0.11083278	AB	0	0	0.19104093	-0.083578057	AB	0	0	ct2VSct3	-0.00510564269201259	0	0
81	2	34	0.19012852	-0.17001925	AB	0	0	0.19104093	-0.14780161	AB	0	0	ct2VSct3	-0.0040893513441127	0	0
82	2	35	0.19012852	0.0060066249	AA	0.00114203070243215	0	0.19104093	0.046479583	AA	0.00887950276233219	0	ct2VSct3	-0.00773747205990004	-0.00773747205990004	0
83	2	36	0.19012852	-0.02883865	AB	0	0	0.19104093	-0.059539951	AB	0	0	ct2VSct3	0.00589151776789643	0	0
84	2	37	0.19012852	0.1362983	AA	0.025914194057516	0	0.19104093	0.13002355	AA	0.0248398199139015	0	ct2VSct3	0.0010743741436145	0.0010743741436145	0
85	2	38	0.19012852	-0.11748793	AB	0	0	0.19104093	-0.090405284	AB	0	0	ct2VSct3	-0.00506669671648948	0	0
