k	i	j	iscore_ct1	jscore_ct1	AB_ct1	A0score_ct1	B0score_ct1	iscore_ct2	jscore_ct2	AB_ct2	A0score_ct2	B0score_ct2	CellTypeID	ABchange	A0change	B0change
1	1	2	0.18905134	0.21577221	AA	0.0407920254352614	0	0.16765706	0.19364436	AA	0.0324658440831816	0	ct5VSct7	0.0083261813520798	0.0083261813520798	0
2	1	3	0.18905134	0.16017422	AA	0.0302811509244548	0	0.16765706	0.10585583	AA	0.0177474772416598	0	ct5VSct7	0.012533673682795	0.012533673682795	0
3	1	4	0.18905134	-0.16747195	AB	0	0	0.16765706	-0.13891174	AB	0	0	ct5VSct7	-0.0083712626320286	0	0
4	1	5	0.18905134	-0.14763435	AB	0	0	0.16765706	-0.12533775	AB	0	0	ct5VSct7	-0.006896713025514	0	0
5	1	6	0.18905134	0.12247223	AA	0.0231535391942882	0	0.16765706	0.059538988	AA	0.00998213168345528	0	ct5VSct7	0.0131714075108329	0.0131714075108329	0
6	1	7	0.18905134	0.0989969	AA	0.018715496600846	0	0.16765706	0.0088799324	AA	0.00148878335918274	0	ct5VSct7	0.0172267132416633	0.0172267132416633	0
7	1	8	0.18905134	0.0099884727	AA	0.00188833414848842	0	0.16765706	-0.040057191	AB	0	0	ct5VSct7	0.00860420502340688	0.00188833414848842	0
8	1	9	0.18905134	-0.1274323	AB	0	0	0.16765706	-0.13538413	AB	0	0	ct5VSct7	-0.0013931418678242	0	0
9	1	10	0.18905134	-0.18691438	AB	0	0	0.16765706	-0.1623234	AB	0	0	ct5VSct7	-0.0081217499910652	0	0
10	1	11	0.18905134	-0.16241039	AB	0	0	0.16765706	-0.16864965	AB	0	0	ct5VSct7	-0.0024285973703936	0	0
11	1	12	0.18905134	0.017687445	AA	0.0033438351784263	0	0.16765706	-0.088391378	AB	0	0	ct5VSct7	0.018163273743255	0.0033438351784263	0
12	1	13	0.18905134	0.09036246	AA	0.0170831441486964	0	0.16765706	-0.088008298	AB	0	0	ct5VSct7	0.0318383566469803	0.0170831441486964	0
13	1	14	0.18905134	-0.19910875	AB	0	0	0.16765706	-0.18830947	AB	0	0	ct5VSct7	-0.0060703638828668	0	0
14	1	15	0.18905134	-0.22389707	AB	0	0	0.16765706	-0.20101347	AB	0	0	ct5VSct7	-0.00862671370497561	0	0
15	1	16	0.18905134	-0.10668783	AB	0	0	0.16765706	-0.20302246	AB	0	0	ct5VSct7	0.0138686715343754	0	0
16	1	17	0.18905134	-0.16114704	AB	0	0	0.16765706	-0.2024971	AB	0	0	ct5VSct7	0.0034850045954924	0	0
17	1	18	0.18905134	-0.12908324	AB	0	0	0.16765706	-0.20235464	AB	0	0	ct5VSct7	0.0095228245262168	0	0
18	1	19	0.18905134	-0.082187458	AB	0	0	0.16765706	-0.17403187	AB	0	0	ct5VSct7	0.0136400226044085	0	0
19	1	20	0.18905134	0.10462359	AA	0.0197792298851106	0	0.16765706	0.026111148	AA	0.00437771830690488	0	ct5VSct7	0.0154015115782057	0.0154015115782057	0
20	1	21	0.18905134	0.021771407	AA	0.00411591366703538	0	0.16765706	-0.09638506	AB	0	0	ct5VSct7	0.020275549454559	0.00411591366703538	0
21	1	22	0.18905134	-0.16762484	AB	0	0	0.16765706	-0.17188705	AB	0	0	ct5VSct7	-0.0028716231642126	0	0
22	1	23	0.18905134	0.045727801	AA	0.00864490205430334	0	0.16765706	-0.088189629	AB	0	0	ct5VSct7	0.0234305159749341	0.00864490205430334	0
23	1	24	0.18905134	-0.072285174	AB	0	0	0.16765706	-0.17973533	AB	0	0	ct5VSct7	0.0164682879990966	0	0
24	1	25	0.18905134	-0.023054218	AB	0	0	0.16765706	-0.18355494	AB	0	0	ct5VSct7	0.0264158507833243	0	0
25	1	26	0.18905134	0.11066115	AA	0.020920638693441	0	0.16765706	0.022230364	AA	0.00372707747096984	0	ct5VSct7	0.0171935612224712	0.0171935612224712	0
26	1	27	0.18905134	-0.057726404	AB	0	0	0.16765706	-0.12914455	AB	0	0	ct5VSct7	0.0107387415384416	0	0
27	1	28	0.18905134	-0.20989674	AB	0	0	0.16765706	-0.19425153	AB	0	0	ct5VSct7	-0.0071136195383298	0	0
28	1	29	0.18905134	-0.061097665	AB	0	0	0.16765706	-0.13361659	AB	0	0	ct5VSct7	0.0108511692075043	0	0
29	1	30	0.18905134	-0.17611978	AB	0	0	0.16765706	-0.18384934	AB	0	0	ct5VSct7	-0.0024720405821648	0	0
30	1	31	0.18905134	0.0086151607	AA	0.00162870767465034	0	0.16765706	-0.071527926	AB	0	0	ct5VSct7	0.0136208694557079	0.00162870767465034	0
31	1	32	0.18905134	0.13175122	AA	0.0249077446876348	0	0.16765706	0.092805165	AA	0.0155594411167149	0	ct5VSct7	0.0093483035709199	0.0093483035709199	0
32	1	33	0.18905134	-0.13591568	AB	0	0	0.16765706	-0.13429929	AB	0	0	ct5VSct7	-0.00317881730952381	0	0
33	1	34	0.18905134	-0.20408624	AB	0	0	0.16765706	-0.18321423	AB	0	0	ct5VSct7	-0.0078656179955978	0	0
34	1	35	0.18905134	0.085631547	AA	0.016188758706623	0	0.16765706	0.016333056	AA	0.00273835214977536	0	ct5VSct7	0.0134504065568476	0.0134504065568476	0
35	1	36	0.18905134	0.054590767	AA	0.0103204576529778	0	0.16765706	-0.090922245	AB	0	0	ct5VSct7	0.0255642139382775	0.0103204576529778	0
36	1	37	0.18905134	0.13175867	AA	0.0249091531201178	0	0.16765706	0.10484256	AA	0.0175775953724736	0	ct5VSct7	0.0073315577476442	0.0073315577476442	0
37	1	38	0.18905134	-0.14552101	AB	0	0	0.16765706	-0.12670288	AB	0	0	ct5VSct7	-0.0062683095843206	0	0
38	1	39	0.18905134	0.21221508	AA	0.0401195452422072	0	0.16765706	0.15917461	AA	0.0266867471392466	0	ct5VSct7	0.0134327981029606	0.0134327981029606	0
39	1	40	0.18905134	0.22661106	AA	0.0428411245518204	0	0.16765706	0.16305368	AA	0.0273371006109808	0	ct5VSct7	0.0155040239408396	0.0155040239408396	0
40	1	41	0.18905134	0.22850003	AA	0.0431982368615402	0	0.16765706	0.16808114	AA	0.0281799897738484	0	ct5VSct7	0.0150182470876918	0.0150182470876918	0
41	1	42	0.18905134	0.1785571	AA	0.033756459021514	0	0.16765706	0.16383915	AA	0.027468790201899	0	ct5VSct7	0.006287668819615	0.006287668819615	0
42	1	43	0.18905134	-0.20891748	AB	0	0	0.16765706	-0.1487899	AB	0	0	ct5VSct7	-0.0145504523517292	0	0
43	1	44	0.18905134	-0.20660961	AB	0	0	0.16765706	-0.14516923	AB	0	0	ct5VSct7	-0.0147211773231136	0	0
44	1	45	0.18905134	0.11991098	AA	0.0226693314497132	0	0.16765706	0.12785814	AA	0.0214363198494684	0	ct5VSct7	0.0012330116002448	0.0012330116002448	0
45	1	46	0.18905134	-0.14745745	AB	0	0	0.16765706	0.029661138	AA	0.00497289919333428	0	ct5VSct7	-0.0328499277088173	-0.00497289919333428	0
