k	i	j	iscore_ct1	jscore_ct1	AB_ct1	A0score_ct1	B0score_ct1	iscore_ct2	jscore_ct2	AB_ct2	A0score_ct2	B0score_ct2	CellTypeID	ABchange	A0change	B0change
1	1	2	0.12997185	0.18921714	AA	0.024592901737509	0	0.18905134	0.21577221	AA	0.0407920254352614	0	ct4VSct5	-0.0161991236977524	-0.0161991236977524	0
2	1	3	0.12997185	0.042118739	AA	0.00547425042749715	0	0.18905134	0.16017422	AA	0.0302811509244548	0	ct4VSct5	-0.0248069004969577	-0.0248069004969577	0
3	1	4	0.12997185	-0.16005197	AB	0	0	0.18905134	-0.16747195	AB	0	0	ct4VSct5	0.0108585459228685	0	0
4	1	5	0.12997185	-0.15949981	AB	0	0	0.18905134	-0.14763435	AB	0	0	ct4VSct5	0.0071799863171805	0	0
5	1	6	0.12997185	0.07341805	AA	0.0095422797818925	0	0.18905134	0.12247223	AA	0.0231535391942882	0	ct4VSct5	-0.0136112594123957	-0.0136112594123957	0
6	1	7	0.12997185	0.0050526869	AA	0.000656707063863765	0	0.18905134	0.0989969	AA	0.018715496600846	0	ct4VSct5	-0.0180587895369822	-0.0180587895369822	0
7	1	8	0.12997185	-0.010054963	AB	0	0	0.18905134	0.0099884727	AA	0.00188833414848842	0	ct4VSct5	-0.00319519629127997	-0.00188833414848842	0
8	1	9	0.12997185	-0.14838386	AB	0	0	0.18905134	-0.1274323	AB	0	0	ct4VSct5	0.004805522279941	0	0
9	1	10	0.12997185	-0.18504188	AB	0	0	0.18905134	-0.18691438	AB	0	0	ct4VSct5	0.0112861785331912	0	0
10	1	11	0.12997185	-0.18540987	AB	0	0	0.18905134	-0.16241039	AB	0	0	ct4VSct5	0.0066058380472631	0	0
11	1	12	0.12997185	-0.13463165	AB	0	0	0.18905134	0.017687445	AA	0.0033438351784263	0	ct4VSct5	-0.0208421597974788	-0.0033438351784263	0
12	1	13	0.12997185	-1.3994537e-05	AB	0	0	0.18905134	0.09036246	AA	0.0170831441486964	0	ct4VSct5	-0.0170849630445602	-0.0170831441486964	0
13	1	14	0.12997185	-0.19444767	AB	0	0	0.18905134	-0.19910875	AB	0	0	ct4VSct5	0.0123690525951355	0	0
14	1	15	0.12997185	-0.20818817	AB	0	0	0.18905134	-0.22389707	AB	0	0	ct4VSct5	0.0152694395025593	0	0
15	1	16	0.12997185	-0.18710877	AB	0	0	0.18905134	-0.10668783	AB	0	0	ct4VSct5	-0.0041493957649323	0	0
16	1	17	0.12997185	-0.18609775	AB	0	0	0.18905134	-0.16114704	AB	0	0	ct4VSct5	0.0062775950006961	0	0
17	1	18	0.12997185	-0.19291348	AB	0	0	0.18905134	-0.12908324	AB	0	0	ct4VSct5	-0.0006699623919964	0	0
18	1	19	0.12997185	-0.15302515	AB	0	0	0.18905134	-0.082187458	AB	0	0	ct4VSct5	-0.00435131277593378	0	0
19	1	20	0.12997185	0.067270407	AA	0.00874325924804295	0	0.18905134	0.10462359	AA	0.0197792298851106	0	ct4VSct5	-0.0110359706370677	-0.0110359706370677	0
20	1	21	0.12997185	-0.092687347	AB	0	0	0.18905134	0.021771407	AA	0.00411591366703538	0	ct4VSct5	-0.0161626596282173	-0.00411591366703538	0
21	1	22	0.12997185	-0.19244915	AB	0	0	0.18905134	-0.16762484	AB	0	0	ct4VSct5	0.0066767285628581	0	0
22	1	23	0.12997185	-0.082904505	AB	0	0	0.18905134	0.045727801	AA	0.00864490205430334	0	ct4VSct5	-0.0194201539424876	-0.00864490205430334	0
23	1	24	0.12997185	-0.18756089	AB	0	0	0.18905134	-0.072285174	AB	0	0	ct4VSct5	-0.0107120268541133	0	0
24	1	25	0.12997185	-0.176658	AB	0	0	0.18905134	-0.023054218	AB	0	0	ct4VSct5	-0.0186021362717479	0	0
25	1	26	0.12997185	0.046911147	AA	0.00609712856121195	0	0.18905134	0.11066115	AA	0.020920638693441	0	ct4VSct5	-0.014823510132229	-0.0148235101322291	0
26	1	27	0.12997185	-0.12160587	AB	0	0	0.18905134	-0.057726404	AB	0	0	ct4VSct5	-0.00489208586517814	0	0
27	1	28	0.12997185	-0.20294332	AB	0	0	0.18905134	-0.20989674	AB	0	0	ct4VSct5	0.0133043412130896	0	0
28	1	29	0.12997185	-0.11742039	AB	0	0	0.18905134	-0.061097665	AB	0	0	ct4VSct5	-0.0037107498769004	0	0
29	1	30	0.12997185	-0.18628952	AB	0	0	0.18905134	-0.17611978	AB	0	0	ct4VSct5	0.0090832868594932	0	0
30	1	31	0.12997185	-0.026242096	AB	0	0	0.18905134	0.0086151607	AA	0.00162870767465034	0	ct4VSct5	-0.00503944143964794	-0.00162870767465034	0
31	1	32	0.12997185	0.11104545	AA	0.0144327825705825	0	0.18905134	0.13175122	AA	0.0249077446876348	0	ct4VSct5	-0.0104749621170523	-0.0104749621170523	0
32	1	33	0.12997185	-0.13439603	AB	0	0	0.18905134	-0.13591568	AB	0	0	ct4VSct5	0.0082273407792557	0	0
33	1	34	0.12997185	-0.19089042	AB	0	0	0.18905134	-0.20408624	AB	0	0	ct4VSct5	0.0137723961128846	0	0
34	1	35	0.12997185	-0.0071459731	AB	0	0	0.18905134	0.085631547	AA	0.016188758706623	0	ct4VSct5	-0.0171175340504802	-0.016188758706623	0
35	1	36	0.12997185	-0.09546514	AB	0	0	0.18905134	0.054590767	AA	0.0103204576529778	0	ct4VSct5	-0.0227282385092868	-0.0103204576529778	0
36	1	37	0.12997185	0.078333614	AA	0.0101811647287659	0	0.18905134	0.13175867	AA	0.0249091531201178	0	ct4VSct5	-0.0147279883913519	-0.0147279883913519	0
37	1	38	0.12997185	-0.12562377	AB	0	0	0.18905134	-0.14552101	AB	0	0	ct4VSct5	0.0111833881477789	0	0
38	1	39	0.12997185	0.15790873	AA	0.0205236897692505	0	0.18905134	0.21221508	AA	0.0401195452422072	0	ct4VSct5	-0.0195958554729567	-0.0195958554729567	0
39	1	40	0.12997185	0.17291261	AA	0.0224737718100285	0	0.18905134	0.22661106	AA	0.0428411245518204	0	ct4VSct5	-0.0203673527417919	-0.0203673527417919	0
40	1	41	0.12997185	0.18335729	AA	0.0238312861922865	0	0.18905134	0.22850003	AA	0.0431982368615402	0	ct4VSct5	-0.0193669506692537	-0.0193669506692537	0
41	1	42	0.12997185	0.1628178	AA	0.02116173067893	0	0.18905134	0.1785571	AA	0.033756459021514	0	ct4VSct5	-0.012594728342584	-0.012594728342584	0
42	1	43	0.12997185	-0.17132332	AB	0	0	0.18905134	-0.20891748	AB	0	0	ct4VSct5	0.0172289206948812	0	0
43	1	44	0.12997185	-0.16783001	AB	0	0	0.18905134	-0.20660961	AB	0	0	ct4VSct5	0.0172466467421589	0	0
44	1	45	0.12997185	0.14089042	AA	0.018311788534677	0	0.18905134	0.11991098	AA	0.0226693314497132	0	ct4VSct5	-0.0043575429150362	-0.0043575429150362	0
45	1	46	0.12997185	-0.10152237	AB	0	0	0.18905134	-0.14745745	AB	0	0	ct4VSct5	0.0146819782701985	0	0
46	1	47	0.12997185	0.15886527	AA	0.0206480130426495	0	0.18905134	0.064093326	AA	0.0121169291653568	0	ct4VSct5	0.00853108387729266	0.0085310838772927	0
47	1	48	0.12997185	0.09525499	AA	0.0123804672720315	0	0.18905134	0.036016928	AA	0.00680904850108352	0	ct4VSct5	0.00557141877094798	0.00557141877094798	0
48	1	49	0.12997185	-0.01745302	AB	0	0	0.18905134	-0.058781142	AB	0	0	ct4VSct5	0.00884425236434328	0	0
49	1	50	0.12997185	0.053211025	AA	0.00691593535964625	0	0.18905134	-0.027794689	AB	0	0	ct4VSct5	0.0121705585599795	0.00691593535964625	0
50	2	3	0.18921714	0.042118739	AA	0.00796958733398646	0	0.21577221	0.16017422	AA	0.0345611454344262	0	ct4VSct5	-0.0265915581004397	-0.0265915581004397	0
51	2	4	0.18921714	-0.16005197	AB	0	0	0.21577221	-0.16747195	AB	0	0	ct4VSct5	0.0058512167497437	0	0
52	2	5	0.18921714	-0.15949981	AB	0	0	0.21577221	-0.14763435	AB	0	0	ct4VSct5	0.0016752920926701	0	0
53	2	6	0.18921714	0.07341805	AA	0.013891953445377	0	0.21577221	0.12247223	AA	0.0264261037307283	0	ct4VSct5	-0.0125341502853513	-0.0125341502853513	0
