k	i	j	iscore_ct1	jscore_ct1	AB_ct1	A0score_ct1	B0score_ct1	iscore_ct2	jscore_ct2	AB_ct2	A0score_ct2	B0score_ct2	CellTypeID	ABchange	A0change	B0change
1	1	2	0.14062496	0.19167472	AA	0.0269542498330112	0	0.16765706	0.19364436	AA	0.0324658440831816	0	ct6VSct7	-0.0055115942501704	-0.0055115942501704	0
2	1	3	0.14062496	0.041218938	AA	0.00579641150749248	0	0.16765706	0.10585583	AA	0.0177474772416598	0	ct6VSct7	-0.0119510657341673	-0.0119510657341673	0
3	1	4	0.14062496	-0.15714814	AB	0	0	0.16765706	-0.13891174	AB	0	0	ct6VSct7	0.00119058302631	0	0
4	1	5	0.14062496	-0.15474943	AB	0	0	0.16765706	-0.12533775	AB	0	0	ct6VSct7	-0.0007478737317578	0	0
5	1	6	0.14062496	0.066833416	AA	0.00939844645166336	0	0.16765706	0.059538988	AA	0.00998213168345528	0	ct6VSct7	-0.00058368523179192	-0.00058368523179192	0
6	1	7	0.14062496	-0.022246194	AB	0	0	0.16765706	0.0088799324	AA	0.00148878335918274	0	ct6VSct7	-0.00461715350058498	-0.00148878335918274	0
7	1	8	0.14062496	-0.04551244	AB	0	0	0.16765706	-0.040057191	AB	0	0	ct6VSct7	0.000315685820416059	0	0
8	1	9	0.14062496	-0.15332964	AB	0	0	0.16765706	-0.13538413	AB	0	0	ct6VSct7	0.0011361307146434	0	0
9	1	10	0.14062496	-0.1707854	AB	0	0	0.16765706	-0.1623234	AB	0	0	ct6VSct7	0.00319797396962	0	0
10	1	11	0.14062496	-0.17414729	AB	0	0	0.16765706	-0.16864965	AB	0	0	ct6VSct7	0.0037858487986706	0	0
11	1	12	0.14062496	-0.13429048	AB	0	0	0.16765706	-0.088391378	AB	0	0	ct6VSct7	-0.00406515481355212	0	0
12	1	13	0.14062496	-0.0037838305	AB	0	0	0.16765706	-0.088008298	AB	0	0	ct6VSct7	0.0142231114855746	0	0
13	1	14	0.14062496	-0.19145065	AB	0	0	0.16765706	-0.18830947	AB	0	0	ct6VSct7	0.0046486721121342	0	0
14	1	15	0.14062496	-0.20129436	AB	0	0	0.16765706	-0.20101347	AB	0	0	ct6VSct7	0.0053943160773726	0	0
15	1	16	0.14062496	-0.19265948	AB	0	0	0.16765706	-0.20302246	AB	0	0	ct6VSct7	0.0069454170889468	0	0
16	1	17	0.14062496	-0.19542643	AB	0	0	0.16765706	-0.2024971	AB	0	0	ct6VSct7	0.0064682345428332	0	0
17	1	18	0.14062496	-0.19695558	AB	0	0	0.16765706	-0.20235464	AB	0	0	ct6VSct7	0.0062293134604816	0	0
18	1	19	0.14062496	-0.16507629	AB	0	0	0.16765706	-0.17403187	AB	0	0	ct6VSct7	0.0059638249923038	0	0
19	1	20	0.14062496	0.079750339	AA	0.0112148882318614	0	0.16765706	0.026111148	AA	0.00437771830690488	0	ct6VSct7	0.00683716992495656	0.00683716992495652	0
20	1	21	0.14062496	-0.089629813	AB	0	0	0.16765706	-0.09638506	AB	0	0	ct6VSct7	0.00355544691959112	0	0
21	1	22	0.14062496	-0.17799514	AB	0	0	0.16765706	-0.17188705	AB	0	0	ct6VSct7	0.0037875180123786	0	0
22	1	23	0.14062496	-0.074110683	AB	0	0	0.16765706	-0.088189629	AB	0	0	ct6VSct7	0.00436380208818306	0	0
23	1	24	0.14062496	-0.17513926	AB	0	0	0.16765706	-0.17973533	AB	0	0	ct6VSct7	0.0055049455740002	0	0
24	1	25	0.14062496	-0.1783839	AB	0	0	0.16765706	-0.18355494	AB	0	0	ct6VSct7	0.0056890527867324	0	0
25	1	26	0.14062496	0.04886867	AA	0.0068721547640032	0	0.16765706	0.022230364	AA	0.00372707747096984	0	ct6VSct7	0.00314507729303336	0.00314507729303336	0
26	1	27	0.14062496	-0.12618619	AB	0	0	0.16765706	-0.12914455	AB	0	0	ct6VSct7	0.0039070676467206	0	0
27	1	28	0.14062496	-0.19431832	AB	0	0	0.16765706	-0.19425153	AB	0	0	ct6VSct7	0.0052416344430346	0	0
28	1	29	0.14062496	-0.1142804	AB	0	0	0.16765706	-0.13361659	AB	0	0	ct6VSct7	0.0063310879678414	0	0
29	1	30	0.14062496	-0.18324422	AB	0	0	0.16765706	-0.18384934	AB	0	0	ct6VSct7	0.0050549287196092	0	0
30	1	31	0.14062496	-0.015912322	AB	0	0	0.16765706	-0.071527926	AB	0	0	ct6VSct7	0.00975449213630044	0	0
31	1	32	0.14062496	0.10504568	AA	0.0147720445481728	0	0.16765706	0.092805165	AA	0.0155594411167149	0	ct6VSct7	-0.000787396568542098	-0.0007873965685421	0
32	1	33	0.14062496	-0.13406649	AB	0	0	0.16765706	-0.13429929	AB	0	0	ct6VSct7	0.003663129327897	0	0
33	1	34	0.14062496	-0.17995195	AB	0	0	0.16765706	-0.18321423	AB	0	0	ct6VSct7	0.0054114233812918	0	0
34	1	35	0.14062496	0.01603256	AA	0.0022545781086976	0	0.16765706	0.016333056	AA	0.00273835214977536	0	ct6VSct7	-0.000483774041077759	-0.00048377404107776	0
35	1	36	0.14062496	-0.1121982	AB	0	0	0.16765706	-0.090922245	AB	0	0	ct6VSct7	-0.000534111101772301	0	0
36	1	37	0.14062496	0.063258421	AA	0.00889571292278816	0	0.16765706	0.10484256	AA	0.0175775953724736	0	ct6VSct7	-0.00868188244968544	-0.00868188244968544	0
37	1	38	0.14062496	-0.11497068	AB	0	0	0.16765706	-0.12670288	AB	0	0	ct6VSct7	0.00507488507816	0	0
38	1	39	0.14062496	0.161061	AA	0.02264919668256	0	0.16765706	0.15917461	AA	0.0266867471392466	0	ct6VSct7	-0.0040375504566866	-0.0040375504566866	0
39	1	40	0.14062496	0.17163917	AA	0.0241367514156832	0	0.16765706	0.16305368	AA	0.0273371006109808	0	ct6VSct7	-0.0032003491952976	-0.0032003491952976	0
40	1	41	0.14062496	0.17122226	AA	0.0240781234636096	0	0.16765706	0.16808114	AA	0.0281799897738484	0	ct6VSct7	-0.0041018663102388	-0.0041018663102388	0
41	1	42	0.14062496	0.17797488	AA	0.0250277103810048	0	0.16765706	0.16383915	AA	0.027468790201899	0	ct6VSct7	-0.0024410798208942	-0.0024410798208942	0
42	1	43	0.14062496	-0.15757896	AB	0	0	0.16765706	-0.1487899	AB	0	0	ct6VSct7	0.0027861422448524	0	0
43	1	44	0.14062496	-0.15268602	AB	0	0	0.16765706	-0.14516923	AB	0	0	ct6VSct7	0.0028671808492046	0	0
44	1	45	0.14062496	0.17675116	AA	0.0248556248049536	0	0.16765706	0.12785814	AA	0.0214363198494684	0	ct6VSct7	0.0034193049554852	0.0034193049554852	0
45	1	46	0.14062496	-0.03783293	AB	0	0	0.16765706	0.029661138	AA	0.00497289919333428	0	ct6VSct7	-0.0102931534612671	-0.00497289919333428	0
