k	i	j	iscore_ct1	jscore_ct1	AB_ct1	A0score_ct1	B0score_ct1	iscore_ct2	jscore_ct2	AB_ct2	A0score_ct2	B0score_ct2	CellTypeID	ABchange	A0change	B0change
36	1	37	0.18046829	0.1362983	AA	0.024597521130907	0	0.18905134	0.13175867	AA	0.0249091531201178	0	ct2VSct5	-0.0003116319892108	-0.0003116319892108	0
37	1	38	0.18046829	-0.11748793	AB	0	0	0.18905134	-0.14552101	AB	0	0	ct2VSct5	0.0063080961159137	0	0
38	1	39	0.18046829	0.18710115	AA	0.0337658245975335	0	0.18905134	0.21221508	AA	0.0401195452422072	0	ct2VSct5	-0.0063537206446737	-0.0063537206446737	0
39	1	40	0.18046829	0.18804056	AA	0.0339353583138424	0	0.18905134	0.22661106	AA	0.0428411245518204	0	ct2VSct5	-0.008905766237978	-0.008905766237978	0
40	1	41	0.18046829	0.18964921	AA	0.0342256686285509	0	0.18905134	0.22850003	AA	0.0431982368615402	0	ct2VSct5	-0.0089725682329893	-0.0089725682329893	0
41	1	42	0.18046829	0.15865292	AA	0.0286318211759068	0	0.18905134	0.1785571	AA	0.033756459021514	0	ct2VSct5	-0.0051246378456072	-0.0051246378456072	0
42	1	43	0.18046829	-0.1823701	AB	0	0	0.18905134	-0.20891748	AB	0	0	ct2VSct5	0.0065841094492942	0	0
43	1	44	0.18046829	-0.17777604	AB	0	0	0.18905134	-0.20660961	AB	0	0	ct2VSct5	0.0069768856856058	0	0
44	1	45	0.18046829	0.088799464	AA	0.0160254874209966	0	0.18905134	0.11991098	AA	0.0226693314497132	0	ct2VSct5	-0.00664384402871664	-0.0066438440287166	0
45	1	46	0.18046829	-0.083378426	AB	0	0	0.18905134	-0.14745745	AB	0	0	ct2VSct5	0.0128298665523715	0	0
46	1	47	0.18046829	0.15723078	AA	0.0283751700019662	0	0.18905134	0.064093326	AA	0.0121169291653568	0	ct2VSct5	0.0162582408366094	0.0162582408366094	0
47	1	48	0.18046829	0.14162452	AA	0.0255587349464708	0	0.18905134	0.036016928	AA	0.00680904850108352	0	ct2VSct5	0.0187496864453873	0.0187496864453873	0
48	1	49	0.18046829	0.047735823	AA	0.00861480234855267	0	0.18905134	-0.058781142	AB	0	0	ct2VSct5	0.019727456010383	0.00861480234855267	0
49	1	50	0.18046829	0.0022084846	AA	0.000398561439253334	0	0.18905134	-0.027794689	AB	0	0	ct2VSct5	0.00565318463958659	0.000398561439253334	0
50	2	3	0.19012852	0.14061381	AA	0.0267346955868612	0	0.21577221	0.16017422	AA	0.0345611454344262	0	ct2VSct5	-0.007826449847565	-0.007826449847565	0
