Aebp2	Aff4	Ahr	Arid1a	Arid3a	Arid4b	Arntl	Ascl2	Ash2l	Asxl1	Atf2	Atf3	Atf4	Atf7	Atf7ip	Atrx	Aurkb	Bach2	Batf	Batf3	Baz1b	Bhlhe40	Bmi1	Brd2	Brd4	Brd9	Btaf1	Capg	Cbfb	Cbx2	Cbx3	Cbx5	Cbx6	Cbx7	Cbx8	Cdk7	Cdk8	Cdk9	Cebpa	Cebpb	Cebpd	Cebpe	Cebpg	Chd1	Chd2	Chd4	Chd7	Chd8	Clock	Creb1	Crebbp	Crtc2	Cry1	Cry2	Ctcf	Ctnnb1	Ctr9	Cxxc1	Daxx	Ddit3	Ddx21	Dgcr8	Dicer1	Dmc1	Dnmt3a	Dnmt3b	Dpf2	Dpy30	E2f1	E2f3	E2f4	Ebf1	Eed	Egr1	Ehmt2	Elf1	Elf4	Elk1	Elk3	Elob	Ep400	Epop	Ercc3	Erf	Erg	Esrra	Ets1	Etv5	Etv6	Ezh1	Ezh2	Fam60a	Fli1	Fos	Fosb	Fosl2	Foxa3	Foxk1	Foxo1	Foxo3	Foxp1	Gabpa	Gata1	Gata2	Gfi1	Gfi1b	Gmnn	Gps2	Gtf2b	Gtf2e2	Gtf3c1	H1f0	H2afx	H3f3b	Hcfc1	Hdac1	Hdac2	Hdac3	Hells	Hes1	Hexim1	Hif1a	Hira	Hlf	Hmga1	Hmga2	Hnf4a	Hnrnpu	Hoxa9	Hras	Hsf1	Hsf2	Ikzf1	Ikzf2	Ing1	Ino80	Irf1	Irf2	Irf3	Irf7	Irf8	Jarid2	Jmjd6	Jun	Junb	Jund	Kansl3	Kat2b	Kat5	Kat8	Kdm1a	Kdm2a	Kdm2b	Kdm3a	Kdm4a	Kdm4b	Kdm4c	Kdm5a	Kdm5b	Kdm5c	Kdm6a	Klf1	Klf15	Klf3	Klf4	Klf5	Kmt2a	Kmt2b	Kmt2c	Ldb1	Leo1	Lmo2	Lyl1	Maf	Mafb	Maff	Mafg	Mafk	Mapk8	Max	Maz	Mbd1	Mbd2	Mbd3	Mcrs1	Mecp2	Med1	Mef2a	Mef2c	Mef2d	Meis1	Men1	Mettl3	Mllt3	Morc3	Msl1	Msl2	Mta2	Mtf2	Mtor	Mxi1	Myb	Myc	Mycn	Nacc1	Ncapd3	Ncaph2	Ncoa2	Ncor1	Ncor2	Nelfa	Nelfb	Nelfe	Nfatc1	Nfe2	Nfe2l2	Nfil3	Nfya	Nfyb	Nfyc	Nipbl	Notch1	Nr0b2	Nr1d1	Nr1d2	Nr1h2	Nr1h3	Nr3c1	Nrf1	Nsl1	Nucks1	Nup153	Ogt	Parp14	Paxip1	Pbrm1	Pbx1	Pbx3	Pcgf2	Pcgf6	Per1	Phc1	Phf19	Phf5a	Phf6	Phf8	Phip	Pknox1	Polr2a	Polr2b	Polr3a	Polr3d	Polr3g	Polr3gl	Pou2f1	Pparg	Prdm15	Prdm16	Prdm4	Prdm5	Prdm9	Prox1	Rad21	Rad23b	Rad51	Rag1	Rap1a	Rara	Rbbp5	Rbpj	Rcor1	Rcor2	Rela	Repin1	Rest	Rfx1	Rfx2	Rfx3	Rnf2	Rora	Runx1	Runx2	Runx3	Rxra	Sap130	Sap18	Satb1	Setd1a	Setdb1	Sf1	Sfmbt1	Sin3a	Sirt1	Sirt6	Smad2	Smad3	Smad4	Smarca4	Smarca5	Smarcad1	Smarcb1	Smarcc1	Smarcc2	Smc1a	Smc3	Smchd1	Sox4	Sp1	Spi1	Spib	Spin1	Spns1	Srebf1	Srf	Srsf2	Ss18	Stag1	Stag2	Stat1	Stat2	Stat3	Stat4	Stat5a	Stat5b	Stat6	Sumo2	Suz12	Taf1	Taf10	Taf12	Taf2	Taf3	Taf9b	Tal1	Tbp	Tcf12	Tcf3	Tcf4	Tdg	Tead2	Tec	Terf2	Tet2	Tfap4	Tfcp2	Tfe3	Tgif1	Tgif2	Thra	Top1	Top2a	Top2b	Trim28	Trim33	Ubtf	Usf1	Usf2	Usp16	Wdr5	Wiz	Xbp1	Yy1	Zbtb16	Zbtb17	Zbtb2	Zc3h11a	Zfp281	Zfpm1	Zfx	Zkscan1	Zmiz1	Zmynd8
Proerythroblast	0.159881759306994	0.159881759306994	0.0831327543071565	0.55206248798868	0.196154729970786	0.8330356012066	0.624258203112065	0.0424300103590166	2.63926510690055	0.297690009253909	0.669646527476913	0	3.12682827045877	0.389859529859789	0.794622343738887	0.647209855691877	2.86050525178191	0.0424300103590166	0.360070387189737	0	1.09653660534263	0	0.389859529859789	1.91170654265268	1.21901904491968	1.84548864897843	1.12508071201975	0.624258203112065	0.360070387189737	0.196154729970786	0.870027703258903	2.19927366137321	1.17983509726566	0.196154729970786	0.159881759306994	2.07671632274946	0.360070387189737	1.08195308403305	0.0424300103590166	0	0.526790596573991	0.231157897424457	0.669646527476913	1.54418609209389	0.297690009253909	1.31657200809519	1.47722140077935	0.360070387189737	0.0424300103590166	0.989681776277239	0.231157897424457	0.231157897424457	0.624258203112065	0.754674357757899	0.870027703258903	1.53488990505018	1.36199732713295	2.25987799586526	1.38395891417784	1.26898462769022	2.13987135584373	0.851702694432498	0.360070387189737	0.0831327543071565	0.264977166554765	0.600767372934917	2.19927366137321	3.98189302319831	1.08195308403305	0.526790596573991	3.87086439562661	0.0831327543071565	1.94324062113978	0	0.713063887004335	1.16642499422048	0.159881759306994	0.122243377385904	0.0424300103590166	4.45177384685361	0.77484781768368	0.196154729970786	0.55206248798868	0.329366533320028	0.0424300103590166	0.159881759306994	0	0.159881759306994	0.231157897424457	0.446900928907408	2.68464882181194	0.264977166554765	0.0831327543071565	1.23174643576388	0.122243377385904	0	0	0.418786889407148	0.159881759306994	1.08195308403305	0.600767372934917	1.26898462769022	3.43935179919665	0.159881759306994	0	2.51763332960904	3.80361667780006	3.49874271783616	1.64111697774568	2.39110445004991	0.418786889407148	2.75599114184868	3.28799520839225	5.40932092289864	1.05213206527151	2.84045806045775	2.6205187616694	2.46745649620081	1.72947693933033	0.122243377385904	0.231157897424457	0.647209855691877	0.500863441124299	0	2.67871534975935	0.0424300103590166	0.0831327543071565	3.77420486209988	0	1.73713560065127	1.31657200809519	0.0831327543071565	1.96777092961665	0.0831327543071565	1.06715373217855	0.360070387189737	0	0.231157897424457	1.70614260742474	0.231157897424457	0.446900928907408	0.446900928907408	2.04917726052974	1.17983509726566	1.28109545374801	1.2443138737805	0.870027703258903	0.196154729970786	1.8590876622907	1.60694657492691	0.0831327543071565	0.47424613495112	1.02139434639908	0.360070387189737	0.329366533320028	0.297690009253909	0.196154729970786	0.624258203112065	0.264977166554765	1.05213206527151	0.231157897424457	4.89539664406571	0	1.83170214995322	0	0.196154729970786	0.264977166554765	0.329366533320028	0.159881759306994	1.29306136103395	1.77457303480882	3.70841003714711	2.76966856032961	0	0	0	1.21901904491968	1.20612757708237	1.06715373217855	2.2954259580826	1.19306774649699	1.68225074906529	0.526790596573991	1.96777092961665	2.19445604102774	0.446900928907408	1.13905293051097	0.231157897424457	0.55206248798868	0.600767372934917	0	1.744736052404	1.17983509726566	2.67573535901153	1.15283261317616	1.15283261317616	0.600767372934917	2.69348353619755	2.09821423329859	0.691590822123793	0.669646527476913	0.713063887004335	1.96169453426863	0.0424300103590166	0.500863441124299	0.600767372934917	2.48205147309371	0.122243377385904	1.918093412158	0.0831327543071565	2.00347375876811	2.350624852297	2.39900738797311	0.159881759306994	2.52806560295895	1.61559926169982	0.122243377385904	0.47424613495112	2.06028405795381	1.85231127210182	1.42648605339956	0	0	0.446900928907408	0.196154729970786	1.58941330257556	0.196154729970786	0.713063887004335	1.73713560065127	1.48706673650593	1.67415824105711	0.389859529859789	0.989681776277239	0.0424300103590166	1.52550648736649	1.12508071201975	0.0424300103590166	0.734085535678636	1.02139434639908	1.5160341864687	0.0831327543071565	0.0831327543071565	0.0424300103590166	3.95568503718954	1.11091050097711	0.231157897424457	0.923070128344043	0.870027703258903	1.5160341864687	1.87914559688685	0.576711421885455	1.84548864897843	1.2443138737805	1.26898462769022	0.297690009253909	0	0.122243377385904	0.159881759306994	0.814013408427251	0.159881759306994	0.0831327543071565	0.0424300103590166	2.83792366586432	2.93919745813272	2.38712943585624	0	2.64850812101335	0.0424300103590166	1.12508071201975	0.55206248798868	0.47424613495112	0.0831327543071565	1.77457303480882	0.389859529859789	0.264977166554765	0.196154729970786	0.389859529859789	0.0424300103590166	1.11091050097711	0	0.713063887004335	0	0.231157897424457	0.264977166554765	0.159881759306994	3.58290279605541	0	0.264977166554765	0.446900928907408	2.32975352128589	0.446900928907408	0.754674357757899	0.329366533320028	0.989681776277239	0.905700064563933	0.297690009253909	0.0424300103590166	2.1798623378661	2.35474734955821	1.08195308403305	2.63616501902901	1.649480205222	1.13905293051097	2.24621482410574	2.562074185766	1.17983509726566	0.122243377385904	0.0831327543071565	1.13905293051097	0	0.55206248798868	1.00566376695874	0.794622343738887	0.159881759306994	4.37021715313636	1.50647130237152	1.02139434639908	1.2443138737805	0.734085535678636	0.264977166554765	1.13905293051097	0.0424300103590166	0.446900928907408	1.0368813021065	1.2443138737805	1.02139434639908	0.500863441124299	1.08195308403305	1.63268321639007	3.16597062328807	0.418786889407148	1.08195308403305	0.55206248798868	2.929982326731	1.43684113997596	0.77484781768368	2.81222005129947	0.754674357757899	1.0368813021065	0	0	0.669646527476913	0.122243377385904	0.389859529859789	0.196154729970786	0.526790596573991	0.122243377385904	0.734085535678636	1.75227917276048	3.02695924034206	2.7642200209275	1.5160341864687	2.97523156946368	0.264977166554765	1.96777092961665	0.389859529859789	1.56252315790283	1.69027829375212	1.9798140618914	0.647209855691877	1.95558099049667	0.600767372934917	0	0.754674357757899	0.329366533320028	0.0424300103590166	0.814013408427251	1.02139434639908	0.624258203112065	0.159881759306994	0.0831327543071565	0.814013408427251
Macrophage	0.424925143870162	0.424925143870162	0.951050654397272	0.722197042371241	1.75185429779831	0.722197042371241	0.424925143870162	0	2.35428213715148	0.424925143870162	0.722197042371241	1.13716088462905	2.57854469514101	0.424925143870162	0.951050654397272	0.951050654397272	3.14578838945448	0	1.92048027208482	1.99520509692334	0.722197042371241	0	0	1.75185429779831	1.65552106315368	2.12973806431857	0.424925143870162	3.62524289425629	2.12973806431857	0.424925143870162	0.722197042371241	2.35428213715148	0.424925143870162	0	0	1.42955870229273	0	1.83971742169696	0.424925143870162	2.06473226645525	2.61793745208173	1.92048027208482	0.722197042371241	1.29400899844348	0.424925143870162	1.42955870229273	0.424925143870162	1.29400899844348	0	0.951050654397272	0.424925143870162	0.951050654397272	1.54890872409918	0	1.29400899844348	2.06473226645525	0.722197042371241	1.75185429779831	1.54890872409918	0.424925143870162	1.29400899844348	0.424925143870162	0.722197042371241	0	0.722197042371241	0.951050654397272	2.30269415908662	3.66669178266353	1.54890872409918	0	2.49477400849641	0	2.40333884507994	0.951050654397272	1.13716088462905	1.54890872409918	1.13716088462905	0	0.951050654397272	4.54529026605691	0.951050654397272	0	0	0	0	0.722197042371241	0	0.722197042371241	0.424925143870162	0.722197042371241	2.49477400849641	0.424925143870162	1.29400899844348	4.27596829105992	0.424925143870162	0.951050654397272	0	1.29400899844348	0.424925143870162	0.722197042371241	1.99520509692334	0.951050654397272	1.75185429779831	0	0	1.13716088462905	3.38749391442075	2.76161156133679	1.83971742169696	2.24829940962838	0.424925143870162	3.65306548845209	3.53680529518158	5.46420169669195	0.424925143870162	2.94455378525017	2.35428213715148	2.12973806431857	2.19077480787969	0	0	0.951050654397272	0.722197042371241	0	2.35428213715148	0.424925143870162	0	3.58200142740065	0	0.951050654397272	1.13716088462905	0.424925143870162	2.19077480787969	0	1.54890872409918	0	1.54890872409918	0.424925143870162	1.54890872409918	1.29400899844348	3.82875994602758	0.722197042371241	1.75185429779831	3.05022449006709	2.76161156133679	1.75185429779831	0.951050654397272	0.424925143870162	2.19077480787969	1.75185429779831	0.424925143870162	1.29400899844348	1.54890872409918	0.722197042371241	0.722197042371241	0.424925143870162	0.424925143870162	0.722197042371241	0	0.722197042371241	0.722197042371241	2.06473226645525	0	1.83971742169696	1.75185429779831	0.424925143870162	0.424925143870162	0	0.424925143870162	0	1.92048027208482	2.35428213715148	2.91629426513401	0	1.65552106315368	0.424925143870162	1.92048027208482	0.722197042371241	0	2.30269415908662	0.722197042371241	1.83971742169696	0	1.99520509692334	1.75185429779831	0.424925143870162	1.29400899844348	1.42955870229273	1.99520509692334	0.424925143870162	0	1.83971742169696	1.29400899844348	1.13716088462905	1.65552106315368	1.54890872409918	0.722197042371241	2.40333884507994	2.06473226645525	0.722197042371241	0	0	1.54890872409918	0	0.951050654397272	0.424925143870162	2.49477400849641	0	1.29400899844348	0.424925143870162	1.92048027208482	2.30269415908662	2.35428213715148	0.951050654397272	2.61793745208173	1.65552106315368	1.65552106315368	1.13716088462905	1.83971742169696	1.54890872409918	1.13716088462905	0.722197042371241	0	0	0.424925143870162	1.92048027208482	0.424925143870162	1.13716088462905	1.65552106315368	1.75185429779831	2.12973806431857	0	0.424925143870162	0.424925143870162	1.42955870229273	1.29400899844348	0	0	0.722197042371241	0.424925143870162	0	0	0.424925143870162	3.52127429793907	0.722197042371241	0	0.424925143870162	0.951050654397272	1.42955870229273	1.83971742169696	0.722197042371241	1.13716088462905	0.722197042371241	1.29400899844348	0.424925143870162	1.13716088462905	0	0	0	0	0.424925143870162	0	3.09914756299893	3.09914756299893	2.35428213715148	0	3.19035044481196	0.951050654397272	1.54890872409918	0.722197042371241	0	0.424925143870162	1.75185429779831	0.424925143870162	0.424925143870162	0	0	0.424925143870162	2.06473226645525	0	0.951050654397272	0	0	0	0.722197042371241	3.21190827226434	0	0	0.424925143870162	2.24829940962838	0.722197042371241	0.424925143870162	0.424925143870162	0.951050654397272	0.722197042371241	0	0.424925143870162	2.06473226645525	2.06473226645525	2.19077480787969	2.35428213715148	1.13716088462905	1.29400899844348	2.30269415908662	2.30269415908662	0.951050654397272	0	0	4.41327445157596	0	0.424925143870162	1.13716088462905	0	0	4.15069589583798	2.12973806431857	0.424925143870162	1.42955870229273	1.42955870229273	0.951050654397272	1.92048027208482	0	0.424925143870162	0.424925143870162	1.75185429779831	0.424925143870162	0.722197042371241	0.951050654397272	1.13716088462905	2.57854469514101	0.424925143870162	0.722197042371241	0	0.951050654397272	1.13716088462905	0	1.75185429779831	0.424925143870162	1.29400899844348	0	0	0	0	1.13716088462905	0	1.13716088462905	0	0	0.722197042371241	2.61793745208173	3.07498518008401	1.13716088462905	2.69235257168362	0	1.42955870229273	1.75185429779831	1.54890872409918	1.75185429779831	1.99520509692334	0	3.53680529518158	0.424925143870162	0	0.951050654397272	0.424925143870162	0.424925143870162	1.42955870229273	0	1.29400899844348	0	0.951050654397272	0.722197042371241
Hepatocyte	0	0	0	0	0	0	0	0	0	0.870658819227694	0.870658819227694	0	2.7895271449089	0	0	0	2.60241966600906	0	0	0.870658819227694	0	0	0	1.64199256113645	0.870658819227694	1.32892152604186	0.870658819227694	0	0	0	0	1.32892152604186	0	0	0	0.870658819227694	0	0.870658819227694	1.88006573296499	0	0.870658819227694	1.64199256113645	0	0	0.870658819227694	1.64199256113645	0	0.870658819227694	0	0.870658819227694	0	0	0	1.64199256113645	0	2.70034318783484	0.870658819227694	1.32892152604186	1.32892152604186	1.32892152604186	0.870658819227694	1.32892152604186	0	0	0	1.32892152604186	2.07221796083633	2.94708237113487	1.32892152604186	0.870658819227694	2.07221796083633	0	1.32892152604186	1.32892152604186	0	0	0	0.870658819227694	0	4.25453689333077	0.870658819227694	0	0	0.870658819227694	0	0.870658819227694	0	0	0	0	2.07221796083633	0	0	1.32892152604186	0	0	2.37205400857108	1.64199256113645	0	0	1.64199256113645	1.32892152604186	1.32892152604186	0	0	0.870658819227694	2.87140451004148	1.32892152604186	1.64199256113645	1.88006573296499	0	4.08288455320202	2.49385576303154	4.96990942818207	0.870658819227694	2.37205400857108	1.64199256113645	1.64199256113645	1.32892152604186	0.870658819227694	0.870658819227694	0	0	1.88006573296499	2.07221796083633	0	1.64199256113645	1.88006573296499	0	2.07221796083633	0	0.870658819227694	1.32892152604186	0	0	0	0	0	1.32892152604186	0	0.870658819227694	0	1.32892152604186	2.23333184687861	1.88006573296499	1.32892152604186	0	0.870658819227694	2.07221796083633	1.32892152604186	0	0.870658819227694	0.870658819227694	0	0	0	0.870658819227694	0.870658819227694	0	1.32892152604186	0.870658819227694	1.88006573296499	0.870658819227694	1.32892152604186	0	0	0.870658819227694	0	0	0.870658819227694	0.870658819227694	1.64199256113645	0.870658819227694	0	0	1.88006573296499	1.32892152604186	0	0.870658819227694	1.32892152604186	0.870658819227694	0.870658819227694	0.870658819227694	1.64199256113645	1.64199256113645	0	0	0.870658819227694	0	0	1.88006573296499	1.32892152604186	0.870658819227694	0.870658819227694	0	0.870658819227694	0.870658819227694	1.32892152604186	1.64199256113645	1.64199256113645	0	0	0.870658819227694	0	0	0.870658819227694	2.07221796083633	0.870658819227694	2.07221796083633	0	0.870658819227694	1.88006573296499	2.23333184687861	0	1.88006573296499	0.870658819227694	0.870658819227694	0.870658819227694	0.870658819227694	1.32892152604186	0.870658819227694	0	0	0	0	1.32892152604186	2.07221796083633	0	1.88006573296499	0	0.870658819227694	0.870658819227694	0.870658819227694	0	0	1.32892152604186	0	0	0.870658819227694	1.32892152604186	0	0	0	2.87140451004148	0	0	0.870658819227694	0	0	0.870658819227694	0.870658819227694	1.32892152604186	0.870658819227694	0.870658819227694	0	0	0	0	0	0	0	1.32892152604186	2.37205400857108	3.01743382233514	1.32892152604186	0	2.7895271449089	0.870658819227694	1.32892152604186	0	0.870658819227694	0.870658819227694	2.23333184687861	0	0	0.870658819227694	0	0	0	1.32892152604186	0	0	0	0	0	3.01743382233514	0	0.870658819227694	0	1.32892152604186	1.32892152604186	0	0	0.870658819227694	1.64199256113645	0	0.870658819227694	0.870658819227694	0.870658819227694	1.32892152604186	2.37205400857108	1.32892152604186	0	0.870658819227694	2.23333184687861	0	0	0	1.64199256113645	0	0.870658819227694	2.07221796083633	1.88006573296499	0	3.81620537263868	0.870658819227694	0	0.870658819227694	1.64199256113645	0	1.64199256113645	0	0	1.32892152604186	0.870658819227694	0.870658819227694	1.32892152604186	1.32892152604186	1.32892152604186	1.88006573296499	0	0	0	1.32892152604186	0	0.870658819227694	2.23333184687861	0	0	0.870658819227694	0	0	0	0	0	0	0	1.32892152604186	0	1.32892152604186	1.88006573296499	0	2.07221796083633	0	1.32892152604186	0	1.64199256113645	0.870658819227694	1.88006573296499	0	3.68581349896283	0	0	0	0.870658819227694	0	1.32892152604186	0	0	0	0.870658819227694	0
Erythroblast	0	0	0	0.700098950533592	0	0.700098950533592	0.700098950533592	0	2.09157560707194	0.700098950533592	0.700098950533592	0	3.30918265275982	0	1.39670397700603	0.700098950533592	2.31506369172716	0	0	0	1.62053766501074	0	0	2.09157560707194	1.10787061726126	1.80331904846884	1.10787061726126	1.10787061726126	0	0	0.700098950533592	2.41049912695805	1.39670397700603	0	0	1.10787061726126	1.39670397700603	0.700098950533592	0	0	0.700098950533592	0	0	0.700098950533592	0.700098950533592	1.10787061726126	2.09157560707194	0.700098950533592	0	0.700098950533592	0	0	0.700098950533592	0	0.700098950533592	1.10787061726126	0	1.62053766501074	0	1.80331904846884	1.39670397700603	0.700098950533592	0.700098950533592	0.700098950533592	0	0	2.49761487148656	2.90346256740551	0.700098950533592	1.10787061726126	4.27634160173266	0	1.95779804650811	0	0	1.10787061726126	0	0	0	4.5354945469361	1.10787061726126	0.700098950533592	0	0	0	0	0	0	0	0.700098950533592	1.62053766501074	0	0	1.95779804650811	0	0	0	0	0	1.62053766501074	0	0	3.30918265275982	0	0	2.09157560707194	3.62440149787383	4.07406128731136	1.10787061726126	2.41049912695805	0.700098950533592	2.78558389851807	3.19133587888665	4.64845093336283	0	2.57774588164751	1.80331904846884	1.10787061726126	1.39670397700603	0	0	0.700098950533592	0	0	1.39670397700603	0	0	3.10427234942501	0	2.09157560707194	1.10787061726126	0	1.62053766501074	0	1.62053766501074	0	0	0.700098950533592	1.10787061726126	0	0	0.700098950533592	1.39670397700603	0	0	0.700098950533592	1.39670397700603	0	1.80331904846884	1.10787061726126	0	0	0	0.700098950533592	1.10787061726126	1.10787061726126	1.10787061726126	0	0	0	0.700098950533592	5.26605692985711	0	1.80331904846884	0	0	0	0	0	0	1.62053766501074	4.15677183612803	3.44739878126797	0	0	0	2.20955006479453	0	0.700098950533592	1.80331904846884	0	1.80331904846884	1.10787061726126	0.700098950533592	1.10787061726126	0	1.10787061726126	0.700098950533592	0.700098950533592	0.700098950533592	0	0.700098950533592	1.10787061726126	2.90346256740551	1.39670397700603	0	0	2.49761487148656	2.31506369172716	0	0.700098950533592	0	0.700098950533592	0	0	1.10787061726126	2.41049912695805	0	2.72098799305161	0.700098950533592	1.62053766501074	1.95779804650811	1.39670397700603	0	3.5969921894588	1.10787061726126	0	0	1.80331904846884	2.09157560707194	1.39670397700603	0	0	0	0	1.62053766501074	0	0.700098950533592	1.80331904846884	1.10787061726126	1.10787061726126	0	0	0	1.10787061726126	1.80331904846884	0.700098950533592	0.700098950533592	0	1.10787061726126	0	0	0	3.67706430965147	0.700098950533592	0.700098950533592	1.39670397700603	0	1.39670397700603	1.10787061726126	0	1.39670397700603	0.700098950533592	1.10787061726126	0.700098950533592	0	0	0	0.700098950533592	0	0.700098950533592	0	2.78558389851807	2.20955006479453	2.49761487148656	0	3.19133587888665	0	0.700098950533592	1.10787061726126	0	0	1.95779804650811	0	0.700098950533592	0	0	0	1.10787061726126	0	0	0	0	1.10787061726126	0	3.23218081963296	0	0	0	2.31506369172716	0	1.10787061726126	0	0	0.700098950533592	0	0	2.41049912695805	1.80331904846884	0.700098950533592	1.95779804650811	1.39670397700603	1.62053766501074	2.31506369172716	2.20955006479453	1.10787061726126	0	0.700098950533592	1.10787061726126	0	0.700098950533592	0.700098950533592	0	0	3.5688103876218	1.39670397700603	0	2.09157560707194	1.10787061726126	0	0.700098950533592	0	1.10787061726126	0	0	0	0.700098950533592	1.10787061726126	1.39670397700603	2.72098799305161	0.700098950533592	1.80331904846884	0	2.78558389851807	1.10787061726126	0.700098950533592	2.31506369172716	0	0.700098950533592	0	0	0	0	0	0	0.700098950533592	0	0	0.700098950533592	3.47916135661366	2.90346256740551	0.700098950533592	1.62053766501074	0	1.10787061726126	0	1.80331904846884	0.700098950533592	0.700098950533592	0	1.39670397700603	0.700098950533592	0	0	0	0	0.700098950533592	1.10787061726126	0	0	0.700098950533592	1.10787061726126
Megakaryocyte	0	0	0	0	0	0	0	0	2.62832710052346	0	0	0	3.00943150036981	0	0	0	3.39832007068486	0	2.00489173324738	0	0	0	1.4380907094731	2.62832710052346	1.4380907094731	0	0	1.4380907094731	0	0	0	2.3644263778405	0	0	0	1.4380907094731	0	2.3644263778405	0	0	0	1.4380907094731	1.4380907094731	0	0	0	1.4380907094731	2.00489173324738	0	0	0	0	0	0	0	2.00489173324738	1.4380907094731	2.62832710052346	0	0	2.3644263778405	0	0	0	2.00489173324738	2.00489173324738	1.4380907094731	3.89568373478749	0	0	2.8369255542712	0	2.00489173324738	1.4380907094731	1.4380907094731	1.4380907094731	0	0	0	4.12778343954883	0	0	0	0	0	0	0	0	0	0	2.62832710052346	0	0	2.00489173324738	0	0	0	0	0	1.4380907094731	1.4380907094731	0	3.75570562107433	2.62832710052346	0	2.62832710052346	3.00943150036981	2.8369255542712	1.4380907094731	3.28470700134803	0	4.17827048064985	3.50033204805947	5.83346587666375	1.4380907094731	2.62832710052346	2.62832710052346	2.62832710052346	1.4380907094731	0	2.00489173324738	0	0	0	3.39832007068486	0	0	3.39832007068486	0	1.4380907094731	1.4380907094731	0	0	0	1.4380907094731	0	0	0	0	0	0	1.4380907094731	2.62832710052346	2.3644263778405	2.3644263778405	2.00489173324738	0	0	2.62832710052346	0	0	1.4380907094731	0	0	0	0	0	1.4380907094731	0	1.4380907094731	0	2.00489173324738	0	1.4380907094731	0	0	0	0	0	0	0	3.28470700134803	3.00943150036981	0	0	0	1.4380907094731	0	0	0	0	0	0	2.62832710052346	2.00489173324738	0	2.00489173324738	1.4380907094731	3.00943150036981	0	2.3644263778405	2.00489173324738	0	0	2.00489173324738	1.4380907094731	0	2.00489173324738	2.00489173324738	0	0	0	1.4380907094731	2.00489173324738	2.00489173324738	1.4380907094731	2.00489173324738	0	0	0	1.4380907094731	3.00943150036981	2.3644263778405	1.4380907094731	3.1565115695212	1.4380907094731	0	0	1.4380907094731	1.4380907094731	1.4380907094731	0	0	0	0	2.3644263778405	0	1.4380907094731	0	0	0	0	0	0	0	0	2.3644263778405	0	1.4380907094731	1.4380907094731	0	0	0	3.39832007068486	1.4380907094731	1.4380907094731	0	1.4380907094731	1.4380907094731	1.4380907094731	0	2.00489173324738	1.4380907094731	0	0	0	1.4380907094731	0	0	0	0	0	2.8369255542712	3.1565115695212	1.4380907094731	0	3.75570562107433	0	0	0	0	1.4380907094731	1.4380907094731	0	0	0	0	0	0	0	2.3644263778405	0	0	0	0	3.28470700134803	0	0	0	1.4380907094731	0	0	0	0	1.4380907094731	0	0	2.00489173324738	2.00489173324738	1.4380907094731	3.1565115695212	0	1.4380907094731	0	1.4380907094731	0	1.4380907094731	1.4380907094731	2.3644263778405	0	0	4.51035453483044	0	0	4.27218650820944	0	0	0	2.00489173324738	0	1.4380907094731	0	0	1.4380907094731	0	1.4380907094731	0	0	2.00489173324738	2.3644263778405	1.4380907094731	1.4380907094731	2.00489173324738	2.8369255542712	0	0	2.3644263778405	0	0	1.4380907094731	0	0	0	0	0	0	0	0	0	3.28470700134803	2.00489173324738	2.3644263778405	2.8369255542712	0	0	0	2.00489173324738	2.00489173324738	1.4380907094731	1.4380907094731	3.1565115695212	0	0	0	0	0	1.4380907094731	1.4380907094731	0	0	0	0
