pgreat	pless
0.0343136932422204	0.965707411368671
0.0318838730285186	0.9681310924189
0.306180861494144	0.693902525716367
0.359494300895785	0.640608049518074
0.181398457036959	0.818653003983062
0.419096308821276	0.5809811511334
0.0208562662345176	0.979155634579659
0.19083172575311	0.809241171559
0.000132983466808525	0.999867137082542
0.00601991209296083	0.993984635826431
0.015402297789872	0.984605517868316
0.00121599229719117	0.998785051030775
0.00029133551320436	0.999708907652677
0.0678408504105362	0.932207031745577
0.000116998190808948	0.999883103497578
0.00186366989004567	0.998137579970513
0.000338477045803643	0.999661795368717
0.00255833603013644	0.99744323907209
0.0350580485888738	0.964957324024421
0.0918883047425174	0.908147370603104
0.280867979265917	0.719221728841142
0.496597358595679	0.50348270154451
0.129717693491051	0.870324615653902
0.00819008893734841	0.991814921044422
0.00335936387879548	0.996643118149191
0.00406506087505712	0.995937492365179
0.309997800492121	0.690090344436493
0.033201540893714	0.966813609185166
0.036326978286075	0.963692628603826
0.0166458735441034	0.983362710374522
0.0130000859315243	0.987008832642016
0.0105378871802026	0.98946824601397
0.00110846646939988	0.998892602937675
0.00828858944508198	0.991717226060129
0.00148251394264874	0.998518456069686
0.0112294210519083	0.988777549309001
0.146994047760572	0.863946408112806
0.00876905705008177	0.991236022748901
0.0213349034741008	0.978676318151901
0.214251988369818	0.785809157314226
0.437961161497445	0.562122163206261
0.012928797257705	0.987079186523931
0.00311729037117599	0.996884668469911
0.977924694743095	0.022086896776922
0.624349903662941	0.375740000336231
0.556014456925521	0.444067676974116
0.89586533993178	0.104174141897646
0.265005085873302	0.735064601568611
0.270118236300602	0.729952941579892
0.0923360614942108	0.907698320914146
0.739636643280006	0.260440586417462
0.724796265046052	0.275297520633272
0.943884973990692	0.0561379164842382
0.998069760747709	0.00193148739345493
0.396247283336347	0.603848582320299
0.749436787291738	0.250650633235013
0.0747156267029202	0.92531837787823
0.0291580890476047	0.970860120750832
0.629852944064818	0.370224753597922
0.122962594721957	0.87709030373525
0.279877744297531	0.720201699233809
0.595643547842975	0.404508222582169
0.386319461013626	0.613767209884478
