"","x"
"246","3830403N18Rik"
"247","3830406C13Rik"
"248","3830408C21Rik"
"249","4632404H12Rik"
"250","4632415L05Rik"
"251","4632427E13Rik"
"252","4732416N19Rik"
"253","4732491K20Rik"
"254","4833417C18Rik"
"255","4833418N02Rik"
"256","4833420G17Rik"
"257","4833439L19Rik"
"258","4833445I07Rik"
"259","4921524J17Rik"
"260","4921531C22Rik"
"261","4930402H24Rik"
"262","4930403D09Rik"
"263","4930405A21Rik"
"264","4930412M03Rik"
"265","4930413G21Rik"
"266","4930415F15Rik"
"267","4930427A07Rik"
"268","4930430F08Rik"
"269","4930431P19Rik"
"270","4930438A08Rik"
"271","4930447C04Rik"
"272","4930451G09Rik"
"273","4930453N24Rik"
"274","4930455G09Rik"
"275","4930481A15Rik"
"276","4930486L24Rik"
"277","4930503L19Rik"
"278","4930509E16Rik"
"279","4930513N10Rik"
"280","4930515G01Rik"
"281","4930519L02Rik"
"282","4930522L14Rik"
"283","4930523C07Rik"
"284","4930524J08Rik"
"285","4930524O07Rik"
"286","4930532G15Rik"
"287","4930550C14Rik"
"288","4930558J18Rik"
"289","4930558K02Rik"
"290","4930563E22Rik"
"291","4930577N17Rik"
"292","4930578M07Rik"
"293","4930579G24Rik"
"294","4930581F22Rik"
"295","4930592C13Rik"
"296","4931406C07Rik"
"297","4931406P16Rik"
"298","4931414P19Rik"
"299","4931428F04Rik"
"300","4931440P22Rik"
"301","4932422M17Rik"
"302","4932438A13Rik"
"303","4933404O12Rik"
"304","4933407K13Rik"
"305","4933421O10Rik"
"306","4933427D14Rik"
"307","4933429H19Rik"
"308","4933431E20Rik"
"309","4933431K14Rik"
"310","4933434E20Rik"
"311","4933439C10Rik"
"312","4933440N22Rik"
"313","5031425E22Rik"
"314","5031439G07Rik"
"315","5033430I15Rik"
"316","5330438D12Rik"
"317","5430403G16Rik"
"318","5430405H02Rik"
"319","5430416N02Rik"
"320","5430427O19Rik"
"321","5530601H04Rik"
"322","5730455P16Rik"
"323","5730460C07Rik"
"324","5730480H06Rik"
"325","5730507C01Rik"
"326","5730508B09Rik"
"327","5830417I10Rik"
"328","5830454E08Rik"
"329","5830473C10Rik"
"330","5930430L01Rik"
"331","6030442K20Rik"
"332","6030458C11Rik"
"333","6030460B20Rik"
"334","6030468B19Rik"
"335","6230400D17Rik"
"336","6330408A02Rik"
"337","6330418K02Rik"
"338","6330549D23Rik"
"339","6330562C20Rik"
"340","6430548M08Rik"
"341","6430550D23Rik"
"342","6530409C15Rik"
"343","6720489N17Rik"
"344","6820431F20Rik"
"345","8030462N17Rik"
"346","8030474K03Rik"
"347","8430408G22Rik"
"348","8430429K09Rik"
"349","9030407P20Rik"
"350","9030619P08Rik"
"351","9030624J02Rik"
"352","9130008F23Rik"
"353","9130011E15Rik"
"354","9130019O22Rik"
"355","9130023H24Rik"
"356","9130221H12Rik"
"357","9130230N09Rik"
"358","9130401M01Rik"
"359","9130604C24Rik"
"360","9230110C19Rik"
"361","9230111E07Rik"
"362","9230114K14Rik"
"363","9230116N13Rik"
"364","9330020H09Rik"
"365","9330136K24Rik"
"366","9330151L19Rik"
"367","9330159M07Rik"
"368","9330160F10Rik"
"369","9330162G02Rik"
"370","9430015G10Rik"
"371","9430020K01Rik"
"372","9430037O13Rik"
"373","9430038I01Rik"
"374","9430060I03Rik"
"375","9430069I07Rik"
"376","9430091E24Rik"
"377","9530068E07Rik"
"378","9530077C05Rik"
"379","9530085L11Rik"
"380","9830107B12Rik"
"381","9930004E17Rik"
"382","9930012K11Rik"
"383","9930014A18Rik"
"384","9930021J03Rik"
"385","9930104L06Rik"
"386","A130010J15Rik"
"387","A130014A01Rik"
"388","A130051J06Rik"
"389","A230050P20Rik"
"390","A230072C01Rik"
"391","A2m"
"392","A2ml1"
"393","A330094K24Rik"
"394","A430005L14Rik"
"395","A430018G15Rik"
"396","A430033K04Rik"
"397","A430035B10Rik"
"398","A430046D13Rik"
"399","A430057M04Rik"
"400","A430072P03Rik"
"401","A430073D23Rik"
"402","A430105J06Rik"
"403","A430108G06Rik"
"404","A530041M06Rik"
"405","A530064D06Rik"
"406","A630001G21Rik"
"407","A630052C17Rik"
"408","A630072M18Rik"
"409","A730011C13Rik"
"410","A730036I17Rik"
"411","A730089K16Rik"
"412","A830009L08Rik"
"413","A830052D11Rik"
"414","A830080D01Rik"
"415","A930004J17Rik"
"416","A930005H10Rik"
"417","A930006K02Rik"
"418","A930007I19Rik"
"419","A930017K11Rik"
"420","A930029G22Rik"
"421","AA465934"
"422","AA467197"
"423","AA986860"
"424","AB124611"
"425","AC149090.1"
"426","AI182371"
"427","AI314180"
"428","AI413582"
"429","AI467606"
"430","AI480526"
"431","AI506816"
"432","AI597479"
"433","AI662270"
"434","AI837181"
"435","AI839979"
"436","AI854703"
"437","AI987944"
"438","AK157302"
"439","AU019823"
"440","AU020206"
"441","AU022252"
"442","AU040320"
"443","AU041133"
"444","AV099323"
"445","AW112010"
"446","AW146154"
"447","AW209491"
"448","AW549877"
"449","AW554918"
"450","AY074887"
"451","Aaas"
"452","Aacs"
"453","Aadac"
"454","Aadat"
"455","Aaed1"
"456","Aagab"
"457","Aak1"
"458","Aamdc"
"459","Aamp"
"460","Aar2"
"461","Aars"
"462","Aars2"
"463","Aarsd1"
"464","Aasdh"
"465","Aasdhppt"
"466","Aass"
"467","Aatf"
"468","Abat"
"469","Abca1"
"470","Abca2"
"471","Abca3"
"472","Abca6"
"473","Abca7"
"474","Abca8b"
"475","Abcb10"
"476","Abcb1b"
"477","Abcb4"
"478","Abcb6"
"479","Abcb7"
"480","Abcb8"
"481","Abcb9"
"482","Abcc1"
"483","Abcc10"
"484","Abcc2"
"485","Abcc3"
"486","Abcc4"
"487","Abcc5"
"488","Abcd1"
"489","Abcd2"
"490","Abcd3"
"491","Abcd4"
"492","Abce1"
"493","Abcf1"
"494","Abcf2"
"495","Abcf3"
"496","Abcg1"
"497","Abcg2"
"498","Abcg3"
"499","Abcg4"
"500","Abhd1"
"501","Abhd10"
"502","Abhd11"
"503","Abhd11os"
"504","Abhd12"
"505","Abhd13"
"506","Abhd14a"
"507","Abhd14b"
"508","Abhd15"
"509","Abhd16a"
"510","Abhd17a"
"511","Abhd17b"
"512","Abhd17c"
"513","Abhd18"
"514","Abhd2"
"515","Abhd4"
"516","Abhd5"
"517","Abhd6"
"518","Abhd8"
"519","Abi1"
"520","Abi2"
"521","Abi3"
"522","Abl1"
"523","Abl2"
"524","Ablim1"
"525","Abr"
"526","Abracl"
"527","Abt1"
"528","Abtb1"
"529","Acaa1a"
"530","Acaa2"
"531","Acaca"
"532","Acad10"
"533","Acad11"
"534","Acad12"
"535","Acad8"
"536","Acad9"
"537","Acadl"
"538","Acadm"
"539","Acads"
"540","Acadsb"
"541","Acadvl"
"542","Acap1"
"543","Acap2"
"544","Acap3"
"545","Acat1"
"546","Acat2"
"547","Acbd3"
"548","Acbd4"
"549","Acbd5"
"550","Acbd6"
"551","Acbd7"
"552","Accs"
"553","Acd"
"554","Acer2"
"555","Acer3"
"556","Ache"
"557","Acin1"
"558","Ackr1"
"559","Acly"
"560","Acmsd"
"561","Aco1"
"562","Aco2"
"563","Acot1"
"564","Acot11"
"565","Acot13"
"566","Acot2"
"567","Acot3"
"568","Acot4"
"569","Acot6"
"570","Acot7"
"571","Acot8"
"572","Acot9"
"573","Acox1"
"574","Acox2"
"575","Acox3"
"576","Acp1"
"577","Acp2"
"578","Acp5"
"579","Acp6"
"580","Acrbp"
"581","Acsf3"
"582","Acsl1"
"583","Acsl3"
"584","Acsl4"
"585","Acsl5"
"586","Acsl6"
"587","Acss1"
"588","Acss2"
"589","Acta2"
"590","Actb"
"591","Actg1"
"592","Actl6a"
"593","Actn1"
"594","Actn4"
"595","Actr10"
"596","Actr1a"
"597","Actr1b"
"598","Actr2"
"599","Actr3"
"600","Actr5"
"601","Actr6"
"602","Actr8"
"603","Acvr1b"
"604","Acvr2a"
"605","Acvr2b"
"606","Acvrl1"
"607","Acy1"
"608","Acy3"
"609","Acyp1"
"610","Acyp2"
"611","Ada"
"612","Adal"
"613","Adam10"
"614","Adam15"
"615","Adam17"
"616","Adam8"
"617","Adam9"
"618","Adamts10"
"619","Adamts3"
"620","Adamtsl5"
"621","Adap1"
"622","Adar"
"623","Adat1"
"624","Adat2"
"625","Adat3"
"626","Adck1"
"627","Adck2"
"628","Adck5"
"629","Adcy3"
"630","Adcy4"
"631","Adcy7"
"632","Add1"
"633","Add2"
"634","Add3"
"635","Adgra3"
"636","Adgre1"
"637","Adgre4"
"638","Adgre5"
"639","Adgrg1"
"640","Adgrg3"
"641","Adgrg5"
"642","Adgrl1"
"643","Adgrl2"
"644","Adgrl4"
"645","Adh1"
"646","Adh5"
"647","Adhfe1"
"648","Adi1"
"649","Adipor1"
"650","Adipor2"
"651","Adk"
"652","Adnp2"
"653","Ado"
"654","Adora2b"
"655","Adora3"
"656","Adpgk"
"657","Adprh"
"658","Adprhl2"
"659","Adprm"
"660","Adra2b"
"661","Adrb2"
"662","Adrm1"
"663","Adsl"
"664","Adss"
"665","Adssl1"
"666","Aebp2"
"667","Aen"
"668","Aes"
"669","Afap1l1"
"670","Afdn"
"671","Aff1"
"672","Aff4"
"673","Afg3l1"
"674","Afg3l2"
"675","Afm"
"676","Afp"
"677","Aftph"
"678","Aga"
"679","Agap3"
"680","Agbl3"
"681","Agbl5"
"682","Ager"
"683","Agfg1"
"684","Agfg2"
"685","Aggf1"
"686","Agk"
"687","Agl"
"688","Agmat"
"689","Agmo"
"690","Ago1"
"691","Ago2"
"692","Ago3"
"693","Agpat1"
"694","Agpat2"
"695","Agpat3"
"696","Agpat4"
"697","Agpat5"
"698","Agps"
"699","Agrn"
"700","Agt"
"701","Agtpbp1"
"702","Agtrap"
"703","Agxt"
"704","Agxt2"
"705","Ahctf1"
"706","Ahcy"
"707","Ahcyl1"
"708","Ahcyl2"
"709","Ahdc1"
"710","Ahi1"
"711","Ahnak"
"712","Ahr"
"713","Ahsa1"
"714","Ahsa2"
"715","Ahsg"
"716","Aida"
"717","Aif1"
"718","Aifm1"
"719","Aifm2"
"720","Aig1"
"721","Aim1l"
"722","Aim2"
"723","Aimp1"
"724","Aimp2"
"725","Aip"
"726","Ajuba"
"727","Ak2"
"728","Ak3"
"729","Ak4"
"730","Ak6"
"731","Ak8"
"732","Akap1"
"733","Akap10"
"734","Akap11"
"735","Akap13"
"736","Akap17b"
"737","Akap7"
"738","Akap8"
"739","Akap8l"
"740","Akap9"
"741","Akip1"
"742","Akirin1"
"743","Akirin2"
"744","Akna"
"745","Aknad1"
"746","Akr1a1"
"747","Akr1b10"
"748","Akr1b3"
"749","Akr1b8"
"750","Akr1c13"
"751","Akr1c19"
"752","Akr1e1"
"753","Akr7a5"
"754","Akt1"
"755","Akt1s1"
"756","Akt2"
"757","Akt3"
"758","Aktip"
"759","Alad"
"760","Alas1"
"761","Alas2"
"762","Alb"
"763","Alcam"
"764","Aldh16a1"
"765","Aldh18a1"
"766","Aldh1a7"
"767","Aldh1b1"
"768","Aldh1l1"
"769","Aldh2"
"770","Aldh3a2"
"771","Aldh3b1"
"772","Aldh4a1"
"773","Aldh5a1"
"774","Aldh6a1"
"775","Aldh7a1"
"776","Aldh8a1"
"777","Aldh9a1"
"778","Aldoa"
"779","Aldoart1"
"780","Aldob"
"781","Aldoc"
"782","Alg1"
"783","Alg10b"
"784","Alg11"
"785","Alg12"
"786","Alg13"
"787","Alg14"
"788","Alg2"
"789","Alg3"
"790","Alg5"
"791","Alg6"
"792","Alg8"
"793","Alg9"
"794","Alkbh1"
"795","Alkbh2"
"796","Alkbh3"
"797","Alkbh4"
"798","Alkbh5"
"799","Alkbh6"
"800","Alkbh7"
"801","Alkbh8"
"802","Alox12"
"803","Alox15"
"804","Alox5"
"805","Alox5ap"
"806","Alox8"
"807","Alpl"
"808","Als2"
"809","Alyref"
"810","Alyref2"
"811","Amacr"
"812","Ambp"
"813","Ambra1"
"814","Amd-ps3"
"815","Amd1"
"816","Amd2"
"817","Amdhd1"
"818","Amdhd2"
"819","Amer1"
"820","Amfr"
"821","Amigo2"
"822","Ammecr1"
"823","Ammecr1l"
"824","Amn1"
"825","Amot"
"826","Ampd2"
"827","Ampd3"
"828","Amy1"
"829","Amz1"
"830","Amz2"
"831","Anapc1"
"832","Anapc10"
"833","Anapc11"
"834","Anapc13"
"835","Anapc15"
"836","Anapc15-ps"
"837","Anapc16"
"838","Anapc2"
"839","Anapc4"
"840","Anapc5"
"841","Anapc7"
"842","Ang"
"843","Angel1"
"844","Angel2"
"845","Angpt1"
"846","Angptl2"
"847","Angptl3"
"848","Angptl4"
"849","Angptl6"
"850","Angptl8"
"851","Ank"
"852","Ank1"
"853","Ankfy1"
"854","Ankhd1"
"855","Ankib1"
"856","Ankle1"
"857","Ankle2"
"858","Ankmy2"
"859","Ankra2"
"860","Ankrd10"
"861","Ankrd11"
"862","Ankrd12"
"863","Ankrd13a"
"864","Ankrd13b"
"865","Ankrd13c"
"866","Ankrd16"
"867","Ankrd17"
"868","Ankrd24"
"869","Ankrd26"
"870","Ankrd27"
"871","Ankrd28"
"872","Ankrd29"
"873","Ankrd37"
"874","Ankrd39"
"875","Ankrd40"
"876","Ankrd44"
"877","Ankrd46"
"878","Ankrd49"
"879","Ankrd50"
"880","Ankrd54"
"881","Ankrd9"
"882","Anks1"
"883","Anks3"
"884","Anks4b"
"885","Ankzf1"
"886","Anln"
"887","Ano1"
