"","x"
"2727","Dclre1a"
"2728","Dclre1b"
"2729","Dclre1c"
"2730","Dcp1a"
"2731","Dcp1b"
"2732","Dcp2"
"2733","Dcps"
"2734","Dctd"
"2735","Dctn1"
"2736","Dctn2"
"2737","Dctn3"
"2738","Dctn4"
"2739","Dctn5"
"2740","Dctn6"
"2741","Dctpp1"
"2742","Dcun1d1"
"2743","Dcun1d2"
"2744","Dcun1d3"
"2745","Dcun1d4"
"2746","Dcun1d5"
"2747","Dcxr"
"2748","Dda1"
"2749","Ddah1"
"2750","Ddah2"
"2751","Ddb1"
"2752","Ddb2"
"2753","Ddc"
"2754","Ddhd1"
"2755","Ddhd2"
"2756","Ddi2"
"2757","Ddias"
"2758","Ddit3"
"2759","Ddit4"
"2760","Ddost"
"2761","Ddrgk1"
"2762","Ddt"
"2763","Ddx1"
"2764","Ddx10"
"2765","Ddx11"
"2766","Ddx17"
"2767","Ddx18"
"2768","Ddx19a"
"2769","Ddx19b"
"2770","Ddx20"
"2771","Ddx21"
"2772","Ddx23"
"2773","Ddx24"
"2774","Ddx25"
"2775","Ddx27"
"2776","Ddx28"
"2777","Ddx31"
"2778","Ddx39"
"2779","Ddx39b"
"2780","Ddx3x"
"2781","Ddx3y"
"2782","Ddx4"
"2783","Ddx41"
"2784","Ddx42"
"2785","Ddx46"
"2786","Ddx47"
"2787","Ddx49"
"2788","Ddx5"
"2789","Ddx50"
"2790","Ddx51"
"2791","Ddx52"
"2792","Ddx54"
"2793","Ddx55"
"2794","Ddx56"
"2795","Ddx58"
"2796","Ddx59"
"2797","Ddx6"
"2798","Deaf1"
"2799","Decr1"
"2800","Decr2"
"2801","Dedd"
"2802","Dedd2"
"2803","Def6"
"2804","Def8"
"2805","Degs1"
"2806","Dek"
"2807","Dennd1a"
"2808","Dennd1c"
"2809","Dennd2c"
"2810","Dennd2d"
"2811","Dennd4a"
"2812","Dennd4b"
"2813","Dennd5a"
"2814","Dennd6a"
"2815","Dennd6b"
"2816","Denr"
"2817","Depdc1a"
"2818","Depdc1b"
"2819","Depdc5"
"2820","Depdc7"
"2821","Deptor"
"2822","Dera"
"2823","Derl1"
"2824","Derl2"
"2825","Desi1"
"2826","Desi2"
"2827","Det1"
"2828","Dexi"
"2829","Dffa"
"2830","Dffb"
"2831","Dfna5"
"2832","Dgat1"
"2833","Dgat2"
"2834","Dgcr14"
"2835","Dgcr2"
"2836","Dgcr6"
"2837","Dgcr8"
"2838","Dgka"
"2839","Dgkd"
"2840","Dgke"
"2841","Dgkg"
"2842","Dgkq"
"2843","Dgkz"
"2844","Dguok"
"2845","Dhcr24"
"2846","Dhcr7"
"2847","Dhdds"
"2848","Dhdh"
"2849","Dhfr"
"2850","Dhodh"
"2851","Dhps"
"2852","Dhrs1"
"2853","Dhrs11"
"2854","Dhrs13"
"2855","Dhrs3"
"2856","Dhrs4"
"2857","Dhrs7"
"2858","Dhrs7b"
"2859","Dhx15"
"2860","Dhx16"
"2861","Dhx29"
"2862","Dhx30"
"2863","Dhx32"
"2864","Dhx33"
"2865","Dhx34"
"2866","Dhx35"
"2867","Dhx36"
"2868","Dhx37"
"2869","Dhx38"
"2870","Dhx40"
"2871","Dhx57"
"2872","Dhx58"
"2873","Dhx8"
"2874","Dhx9"
"2875","Diablo"
"2876","Diaph1"
"2877","Diaph3"
"2878","Dicer1"
"2879","Dido1"
"2880","Diexf"
"2881","Dimt1"
"2882","Dip2b"
"2883","Dirc2"
"2884","Dis3"
"2885","Dis3l"
"2886","Dis3l2"
"2887","Disp1"
"2888","Dkc1"
"2889","Dkkl1"
"2890","Dlat"
"2891","Dld"
"2892","Dleu2"
"2893","Dlg1"
"2894","Dlg2"
"2895","Dlgap4"
"2896","Dlgap5"
"2897","Dlk1"
"2898","Dlst"
"2899","Dmap1"
"2900","Dmc1"
"2901","Dmkn"
"2902","Dmpk"
"2903","Dmtf1"
"2904","Dmtn"
"2905","Dmwd"
"2906","Dmxl1"
"2907","Dmxl2"
"2908","Dna2"
"2909","Dnaaf2"
"2910","Dnaaf3"
"2911","Dnaaf5"
"2912","Dnah1"
"2913","Dnah8"
"2914","Dnaja1"
"2915","Dnaja2"
"2916","Dnaja3"
"2917","Dnaja4"
"2918","Dnajb1"
"2919","Dnajb11"
"2920","Dnajb12"
"2921","Dnajb14"
"2922","Dnajb2"
"2923","Dnajb3"
"2924","Dnajb4"
"2925","Dnajb6"
"2926","Dnajb9"
"2927","Dnajc1"
"2928","Dnajc10"
"2929","Dnajc11"
"2930","Dnajc12"
"2931","Dnajc13"
"2932","Dnajc14"
"2933","Dnajc15"
"2934","Dnajc16"
"2935","Dnajc17"
"2936","Dnajc18"
"2937","Dnajc19"
"2938","Dnajc19-ps"
"2939","Dnajc2"
"2940","Dnajc21"
"2941","Dnajc22"
"2942","Dnajc24"
"2943","Dnajc25"
"2944","Dnajc27"
"2945","Dnajc28"
"2946","Dnajc3"
"2947","Dnajc30"
"2948","Dnajc4"
"2949","Dnajc5"
"2950","Dnajc7"
"2951","Dnajc8"
"2952","Dnajc9"
"2953","Dnal4"
"2954","Dnase1l1"
"2955","Dnase2a"
"2956","Dnd1"
"2957","Dnlz"
"2958","Dnm1l"
"2959","Dnm2"
"2960","Dnmt1"
"2961","Dnmt3a"
"2962","Dnmt3b"
"2963","Dnmt3c-ps"
"2964","Dnpep"
"2965","Dnph1"
"2966","Dnttip1"
"2967","Dnttip2"
"2968","Doc2g"
"2969","Dock10"
"2970","Dock11"
"2971","Dock2"
"2972","Dock5"
"2973","Dock6"
"2974","Dock7"
"2975","Dock8"
"2976","Dohh"
"2977","Dok1"
"2978","Dok2"
"2979","Dok3"
"2980","Dok4"
"2981","Dolk"
"2982","Dolpp1"
"2983","Donson"
"2984","Dopey1"
"2985","Dopey2"
"2986","Dot1l"
"2987","Dpagt1"
"2988","Dpf1"
"2989","Dpf2"
"2990","Dpf3"
"2991","Dph1"
"2992","Dph2"
"2993","Dph3"
"2994","Dph5"
"2995","Dph6"
"2996","Dph7"
"2997","Dpm1"
"2998","Dpm2"
"2999","Dpm3"
"3000","Dpp3"
"3001","Dpp7"
"3002","Dpp8"
"3003","Dpp9"
"3004","Dpy19l1"
"3005","Dpy19l3"
"3006","Dpy19l4"
"3007","Dpy30"
"3008","Dpys"
"3009","Dqx1"
"3010","Dr1"
"3011","Dram1"
"3012","Dram2"
"3013","Drap1"
"3014","Drg1"
"3015","Drg2"
"3016","Drosha"
"3017","Dscc1"
"3018","Dscr3"
"3019","Dse"
"3020","Dsg2"
"3021","Dsn1"
"3022","Dst"
"3023","Dstn"
"3024","Dstyk"
"3025","Dtd1"
"3026","Dtd2"
"3027","Dtl"
"3028","Dtnb"
"3029","Dtnbp1"
"3030","Dtwd1"
"3031","Dtwd2"
"3032","Dtx2"
"3033","Dtx3"
"3034","Dtx3l"
"3035","Dtx4"
"3036","Dtymk"
"3037","Dubr"
"3038","Dus1l"
"3039","Dus2"
"3040","Dus3l"
"3041","Dus4l"
"3042","Dusp1"
"3043","Dusp10"
"3044","Dusp11"
"3045","Dusp12"
"3046","Dusp16"
"3047","Dusp19"
"3048","Dusp2"
"3049","Dusp22"
"3050","Dusp23"
"3051","Dusp28"
"3052","Dusp3"
"3053","Dusp5"
"3054","Dusp6"
"3055","Dusp8"
"3056","Dusp9"
"3057","Dut"
"3058","Dvl1"
"3059","Dvl2"
"3060","Dxo"
"3061","Dym"
"3062","Dync1h1"
"3063","Dync1i2"
"3064","Dync1li1"
"3065","Dync1li2"
"3066","Dync2h1"
"3067","Dynll1"
"3068","Dynll2"
"3069","Dynlrb1"
"3070","Dynlt1-ps1"
"3071","Dynlt1a"
"3072","Dynlt1b"
"3073","Dynlt1f"
"3074","Dynlt3"
"3075","Dyrk1a"
"3076","Dyrk1b"
"3077","Dyrk2"
"3078","Dyrk3"
"3079","Dzip1"
"3080","Dzip3"
"3081","E030024N20Rik"
"3082","E030030I06Rik"
"3083","E130102H24Rik"
"3084","E130215H24Rik"
"3085","E130307A14Rik"
"3086","E130308A19Rik"
"3087","E130309D02Rik"
"3088","E130311K13Rik"
"3089","E130317F20Rik"
"3090","E230016M11Rik"
"3091","E230029C05Rik"
"3092","E230032D23Rik"
"3093","E2f1"
"3094","E2f2"
"3095","E2f3"
"3096","E2f4"
"3097","E2f5"
"3098","E2f6"
"3099","E2f7"
"3100","E2f8"
"3101","E330009J07Rik"
"3102","E330011O21Rik"
"3103","E330034L11Rik"
"3104","E430018J23Rik"
"3105","E430021H15Rik"
"3106","E430024P14Rik"
"3107","E4f1"
"3108","Eaf1"
"3109","Eaf2"
"3110","Eapp"
"3111","Ear1"
"3112","Ear2"
"3113","Ear6"
"3114","Ears2"
"3115","Ebag9"
"3116","Ebf1"
"3117","Ebi3"
"3118","Ebna1bp2"
"3119","Ebp"
"3120","Ebpl"
"3121","Ecd"
"3122","Ece1"
"3123","Ece2"
"3124","Ech1"
"3125","Echdc1"
"3126","Echdc2"
"3127","Echdc3"
"3128","Echs1"
"3129","Eci1"
"3130","Eci2"
"3131","Ecm1"
"3132","Ecscr"
"3133","Ecsit"
"3134","Ect2"
"3135","Edc3"
"3136","Edc4"
"3137","Edem1"
"3138","Edem2"
"3139","Edem3"
"3140","Edf1"
"3141","Ednrb"
"3142","Edrf1"
"3143","Eea1"
"3144","Eed"
"3145","Eef1a1"
"3146","Eef1akmt1"
"3147","Eef1b2"
"3148","Eef1d"
"3149","Eef1e1"
"3150","Eef1g"
"3151","Eef2"
"3152","Eef2k"
"3153","Eef2kmt"
"3154","Eefsec"
"3155","Eepd1"
"3156","Efcab11"
"3157","Efcab14"
"3158","Efcab2"
"3159","Efcc1"
"3160","Efemp2"
"3161","Efhd2"
"3162","Efl1"
"3163","Efnb1"
"3164","Efnb3"
"3165","Efr3a"
"3166","Eftud2"
"3167","Egfl7"
"3168","Egfl8"
"3169","Egln1"
"3170","Egln2"
"3171","Egln3"
"3172","Egr1"
"3173","Ehbp1"
"3174","Ehbp1l1"
"3175","Ehd1"
"3176","Ehd2"
"3177","Ehd3"
"3178","Ehd4"
"3179","Ehhadh"
"3180","Ehmt1"
"3181","Ehmt2"
"3182","Ei24"
"3183","Eid1"
"3184","Eid2b"
"3185","Eif1"
"3186","Eif1-ps1"
"3187","Eif1a"
"3188","Eif1ad"
"3189","Eif1ax"
"3190","Eif1b"
"3191","Eif2a"
"3192","Eif2ak1"
"3193","Eif2ak2"
"3194","Eif2ak3"
"3195","Eif2ak4"
"3196","Eif2b1"
"3197","Eif2b2"
"3198","Eif2b3"
"3199","Eif2b4"
"3200","Eif2b5"
"3201","Eif2d"
"3202","Eif2s1"
"3203","Eif2s2"
"3204","Eif2s3x"
"3205","Eif2s3y"
"3206","Eif3a"
"3207","Eif3b"
"3208","Eif3c"
"3209","Eif3d"
"3210","Eif3e"
"3211","Eif3f"
"3212","Eif3g"
"3213","Eif3h"
"3214","Eif3i"
"3215","Eif3j1"
"3216","Eif3j2"
"3217","Eif3k"
"3218","Eif3l"
"3219","Eif3m"
"3220","Eif3s6-ps1"
"3221","Eif4a-ps4"
"3222","Eif4a1"
"3223","Eif4a2"
"3224","Eif4a3"
"3225","Eif4b"
"3226","Eif4e"
"3227","Eif4e2"
"3228","Eif4e3"
"3229","Eif4ebp1"
"3230","Eif4ebp2"
"3231","Eif4enif1"
"3232","Eif4g1"
"3233","Eif4g2"
"3234","Eif4g3"
"3235","Eif4h"
"3236","Eif5"
"3237","Eif5a"
"3238","Eif5a2"
"3239","Eif5al3-ps"
"3240","Eif5b"
"3241","Eif6"
"3242","Elac1"
"3243","Elac2"
"3244","Elane"
"3245","Elavl1"
"3246","Eldr"
"3247","Elf1"
"3248","Elf2"
"3249","Elf4"
"3250","Elk1"
"3251","Elk3"
"3252","Elk4"
"3253","Ell"
"3254","Ell2"
"3255","Elmo1"
"3256","Elmo2"
"3257","Elmo3"
"3258","Elmod2"
"3259","Elmod3"
"3260","Elmsan1"
"3261","Eloa"
"3262","Elob"
"3263","Eloc"
"3264","Elof1"
"3265","Elovl1"
"3266","Elovl2"
"3267","Elovl5"
"3268","Elovl6"
"3269","Elovl7"
"3270","Elp2"
"3271","Elp3"
"3272","Elp4"
"3273","Elp5"
"3274","Elp6"
"3275","Emb"
"3276","Emc1"
"3277","Emc10"
"3278","Emc2"
"3279","Emc3"
"3280","Emc4"
"3281","Emc6"
"3282","Emc7"
"3283","Emc8"
"3284","Emc9"
"3285","Emd"
"3286","Eme1"
"3287","Eme2"
"3288","Emg1"
"3289","Emid1"
"3290","Emilin1"
"3291","Emilin2"
"3292","Eml2"
"3293","Eml3"
"3294","Eml4"
"3295","Emp2"
"3296","Emp3"
"3297","Emsy"
"3298","Enah"
"3299","Enc1"
"3300","Endod1"
"3301","Endog"
"3302","Endov"
"3303","Eng"
"3304","Engase"
"3305","Enkd1"
"3306","Eno1"
"3307","Eno1b"
"3308","Eno3"
"3309","Enoph1"
"3310","Enox2"
"3311","Enpp1"
"3312","Enpp3"
"3313","Enpp4"
"3314","Enpp5"
"3315","Ensa"
"3316","Entpd1"
"3317","Entpd5"
"3318","Entpd6"
"3319","Entpd7"
"3320","Entpd8"
"3321","Eny2"
"3322","Eogt"
"3323","Ep400"
"3324","Epb41"
"3325","Epb41l2"
"3326","Epb41l3"
"3327","Epb41l4aos"
"3328","Epb41l5"
"3329","Epb42"
"3330","Epc1"
"3331","Epc2"
"3332","Epdr1"
"3333","Epg5"
"3334","Epha1"
"3335","Epha7"
"3336","Epha8"
"3337","Ephx1"
"3338","Ephx2"
"3339","Epm2a"
"3340","Epm2aip1"
"3341","Epn1"
"3342","Epop"
"3343","Epor"
"3344","Eprs"
"3345","Eps15"
"3346","Eps15l1"
"3347","Eps8"
"3348","Eps8l1"
"3349","Eps8l2"
"3350","Epsti1"
"3351","Epx"
"3352","Eral1"
"3353","Erap1"
"3354","Erbin"
"3355","Erc1"
"3356","Ercc1"
"3357","Ercc2"
"3358","Ercc3"
"3359","Ercc4"
"3360","Ercc5"
"3361","Ercc6l"
"3362","Ercc6l2"
"3363","Ercc8"
"3364","Erdr1"
"3365","Erf"
"3366","Erfe"
"3367","Erg"
"3368","Ergic1"
"3369","Ergic2"
"3370","Ergic3"
"3371","Erh"
"3372","Eri1"
"3373","Eri2"
"3374","Eri3"
"3375","Erich1"
"3376","Erlec1"
"3377","Erlin1"
"3378","Erlin2"
"3379","Ermap"
"3380","Ermard"
"3381","Ermp1"
"3382","Ern1"
"3383","Ero1l"
"3384","Ero1lb"
"3385","Erp29"
"3386","Erp44"
"3387","Errfi1"
"3388","Esam"
"3389","Esco1"
"3390","Esco2"
"3391","Esd"
"3392","Esf1"
"3393","Espl1"
"3394","Espn"
"3395","Esrra"
"3396","Esyt1"
"3397","Esyt2"
"3398","Etaa1"
"3399","Etaa1os"
"3400","Etf1"
"3401","Etfa"
"3402","Etfb"
"3403","Etfbkmt"
"3404","Etfdh"
"3405","Etfrf1"
"3406","Ethe1"
"3407","Etnk1"
"3408","Etohd2"
"3409","Ets1"
"3410","Ets2"
"3411","Etv3"
"3412","Etv5"
"3413","Etv6"
"3414","Eva1a"
"3415","Eva1b"
"3416","Evc"
"3417","Evc2"
"3418","Evi2a"
"3419","Evi5"
"3420","Evi5l"
"3421","Evl"
"3422","Ewsr1"
"3423","Exd2"
"3424","Exo1"
"3425","Exo5"
"3426","Exoc1"
"3427","Exoc2"
"3428","Exoc3"
"3429","Exoc3l"
"3430","Exoc3l4"
"3431","Exoc4"
"3432","Exoc5"
"3433","Exoc6"
"3434","Exoc6b"
"3435","Exoc7"
"3436","Exoc8"
"3437","Exog"
"3438","Exosc1"
"3439","Exosc10"
"3440","Exosc2"
"3441","Exosc3"
"3442","Exosc4"
"3443","Exosc5"
"3444","Exosc7"
"3445","Exosc8"
"3446","Exosc9"
"3447","Ext1"
"3448","Ext2"
"3449","Extl2"
"3450","Extl3"
"3451","Eya2"
"3452","Eya3"
"3453","Eya4"
"3454","Ezh1"
"3455","Ezh2"
"3456","Ezr"
"3457","F10"
"3458","F11"
"3459","F11r"
"3460","F12"
"3461","F13a1"
"3462","F2"
"3463","F2r"
"3464","F2rl2"
"3465","F2rl3"
"3466","F5"
"3467","F630028O10Rik"
"3468","F7"
"3469","F730016J06Rik"
"3470","F830208F22Rik"
"3471","F8a"
"3472","F930017D23Rik"
"3473","Faah"
"3474","Faap100"
"3475","Faap20"
"3476","Faap24"
"3477","Fabp1"
"3478","Fabp2"
"3479","Fabp5"
"3480","Fadd"
"3481","Fads1"
"3482","Fads2"
"3483","Fads3"
"3484","Fads6"
"3485","Faf1"
"3486","Faf2"
"3487","Fah"
"3488","Fahd1"
"3489","Fahd2a"
"3490","Faim"
"3491","Fam102a"
"3492","Fam103a1"
"3493","Fam104a"
"3494","Fam105a"
"3495","Fam107b"
"3496","Fam109a"
"3497","Fam109b"
"3498","Fam110a"
"3499","Fam110b"
"3500","Fam110c"
"3501","Fam111a"
"3502","Fam114a1"
"3503","Fam114a2"
"3504","Fam117a"
"3505","Fam117b"
"3506","Fam118a"
"3507","Fam118b"
"3508","Fam120a"
"3509","Fam120aos"
"3510","Fam120b"
"3511","Fam120c"
"3512","Fam122a"
"3513","Fam122b"
"3514","Fam124a"
"3515","Fam126a"
"3516","Fam126b"
"3517","Fam129a"
"3518","Fam129b"
"3519","Fam129c"
"3520","Fam132a"
"3521","Fam133b"
"3522","Fam134a"
"3523","Fam134b"
"3524","Fam134c"
"3525","Fam136a"
"3526","Fam13b"
"3527","Fam149a"
"3528","Fam149b"
"3529","Fam160a2"
"3530","Fam160b1"
"3531","Fam160b2"
"3532","Fam161a"
"3533","Fam161b"
"3534","Fam162a"
"3535","Fam167a"
"3536","Fam168a"
"3537","Fam168b"
"3538","Fam169a"
"3539","Fam172a"
"3540","Fam173a"
"3541","Fam173b"
"3542","Fam174a"
"3543","Fam174b"
"3544","Fam175a"
"3545","Fam175b"
"3546","Fam178a"
"3547","Fam179b"
"3548","Fam185a"
"3549","Fam188a"
"3550","Fam188b"
"3551","Fam189b"
"3552","Fam192a"
"3553","Fam193a"
"3554","Fam193b"
"3555","Fam195a"
"3556","Fam195b"
"3557","Fam199x"
"3558","Fam204a"
"3559","Fam206a"
"3560","Fam207a"
"3561","Fam208a"
"3562","Fam208b"
"3563","Fam20b"
"3564","Fam20c"
"3565","Fam210a"
"3566","Fam210b"
"3567","Fam212a"
"3568","Fam213a"
"3569","Fam213b"
"3570","Fam214a"
"3571","Fam214b"
"3572","Fam216a"
"3573","Fam217b"
"3574","Fam219a"
"3575","Fam219b"
"3576","Fam220a"
"3577","Fam221a"
"3578","Fam222b"
"3579","Fam228b"
"3580","Fam229b"
"3581","Fam234a"
"3582","Fam234b"
"3583","Fam26f"
"3584","Fam32a"
"3585","Fam35a"
"3586","Fam3a"
"3587","Fam3c"
"3588","Fam43a"
"3589","Fam45a"
"3590","Fam46a"
"3591","Fam46c"
"3592","Fam49a"
"3593","Fam49b"
"3594","Fam50a"
"3595","Fam53a"
"3596","Fam53b"
"3597","Fam53c"
"3598","Fam57a"
"3599","Fam58b"
"3600","Fam60a"
"3601","Fam63a"
"3602","Fam63b"
"3603","Fam64a"
"3604","Fam65a"
"3605","Fam65b"
"3606","Fam65c"
"3607","Fam69a"
"3608","Fam69b"
"3609","Fam72a"
"3610","Fam76a"
"3611","Fam76b"
"3612","Fam78a"
"3613","Fam83d"
"3614","Fam83f"
"3615","Fam83g"
"3616","Fam89a"
"3617","Fam8a1"
"3618","Fam91a1"
"3619","Fam92a"
"3620","Fam96a"
"3621","Fam96b"
"3622","Fam98a"
"3623","Fam98b"
"3624","Fam98c"
"3625","Fanca"
"3626","Fancb"
"3627","Fancc"
"3628","Fancd2"
"3629","Fance"
"3630","Fancf"
"3631","Fancg"
"3632","Fanci"
"3633","Fancl"
"3634","Fancm"
"3635","Far1"
"3636","Far2"
"3637","Farp2"
"3638","Fars2"
"3639","Farsa"
"3640","Farsb"
"3641","Fasn"
"3642","Fastk"
"3643","Fastkd1"
"3644","Fastkd2"
"3645","Fastkd3"
"3646","Fastkd5"
"3647","Fau"
"3648","Fbf1"
"3649","Fbl"
"3650","Fbln1"
"3651","Fbp1"
"3652","Fbrs"
"3653","Fbrsl1"
"3654","Fbxl12"
"3655","Fbxl14"
"3656","Fbxl15"
"3657","Fbxl17"
"3658","Fbxl18"
"3659","Fbxl19"
"3660","Fbxl2"
"3661","Fbxl20"
"3662","Fbxl21"
"3663","Fbxl3"
"3664","Fbxl4"
"3665","Fbxl5"
"3666","Fbxl6"
"3667","Fbxl8"
"3668","Fbxo10"
"3669","Fbxo11"
"3670","Fbxo18"
"3671","Fbxo21"
"3672","Fbxo22"
"3673","Fbxo25"
"3674","Fbxo28"
"3675","Fbxo3"
"3676","Fbxo30"
"3677","Fbxo31"
"3678","Fbxo33"
"3679","Fbxo34"
"3680","Fbxo36"
"3681","Fbxo38"
"3682","Fbxo4"
"3683","Fbxo42"
"3684","Fbxo44"
"3685","Fbxo45"
"3686","Fbxo46"
"3687","Fbxo48"
"3688","Fbxo5"
"3689","Fbxo6"
"3690","Fbxo7"
"3691","Fbxo8"
"3692","Fbxo9"
"3693","Fbxw11"
"3694","Fbxw17"
"3695","Fbxw2"
"3696","Fbxw4"
"3697","Fbxw5"
"3698","Fbxw7"
"3699","Fbxw8"
"3700","Fbxw9"
"3701","Fcer1a"
"3702","Fcer1g"
"3703","Fcf1"
"3704","Fcgr1"
"3705","Fcgr2b"
"3706","Fcgr3"
"3707","Fcgr4"
"3708","Fcgrt"
"3709","Fcho1"
"3710","Fcho2"
"3711","Fchsd1"
"3712","Fchsd2"
"3713","Fcna"
"3714","Fcnb"
"3715","Fcor"
"3716","Fcrl1"
"3717","Fcrls"
"3718","Fdft1"
"3719","Fdps"
"3720","Fdx1"
"3721","Fdxacb1"
"3722","Fdxr"
"3723","Fech"
"3724","Fem1a"
"3725","Fem1b"
"3726","Fem1c"
"3727","Fen1"
"3728","Fer"
"3729","Fermt2"
"3730","Fermt3"
"3731","Fes"
"3732","Fez2"
"3733","Ffar2"
"3734","Fga"
"3735","Fgb"
"3736","Fgd2"
"3737","Fgd4"
"3738","Fgd6"
"3739","Fgf13"
"3740","Fgf3"
"3741","Fgfbp3"
"3742","Fgfr1op"
"3743","Fgfr1op2"
"3744","Fgfrl1"
"3745","Fgg"
"3746","Fggy"
"3747","Fgl2"
"3748","Fgr"
"3749","Fh1"
"3750","Fhdc1"
"3751","Fhit"
"3752","Fhl1"
"3753","Fhod1"
"3754","Fhod3"
"3755","Fibp"
"3756","Ficd"
"3757","Fig4"
"3758","Fignl1"
"3759","Filip1l"
"3760","Fip1l1"
"3761","Fis1"
"3762","Fitm2"
"3763","Fiz1"
"3764","Fkbp11"
"3765","Fkbp14"
"3766","Fkbp15"
"3767","Fkbp1a"
"3768","Fkbp1b"
"3769","Fkbp2"
"3770","Fkbp3"
"3771","Fkbp4"
"3772","Fkbp5"
"3773","Fkbp7"
"3774","Fkbp8"
"3775","Fkbp9"
"3776","Fkbpl"
"3777","Fkrp"
"3778","Fktn"
"3779","Flad1"
"3780","Flcn"
"3781","Fli1"
"3782","Flii"
"3783","Flna"
"3784","Flnb"
"3785","Flot1"
"3786","Flot2"
"3787","Flt1"
"3788","Flt3"
"3789","Flt3l"
"3790","Flywch1"
"3791","Flywch2"
"3792","Fmc1"
"3793","Fmnl1"
"3794","Fmnl3"
"3795","Fmo1"
"3796","Fmo5"
"3797","Fmr1"
"3798","Fmr1nb"
"3799","Fn1"
"3800","Fn3k"
"3801","Fn3krp"
"3802","Fnbp1"
"3803","Fnbp1l"
"3804","Fnbp4"
"3805","Fndc3a"
"3806","Fndc3b"
"3807","Fndc4"
"3808","Fndc5"
"3809","Fnip1"
"3810","Fnip2"
"3811","Fnta"
"3812","Fntb"
"3813","Focad"
"3814","Folr2"
"3815","Fopnl"
"3816","Fos"
"3817","Fosb"
"3818","Fosl2"
"3819","Foxa3"
"3820","Foxh1"
"3821","Foxj3"
"3822","Foxk1"
"3823","Foxk2"
"3824","Foxm1"
"3825","Foxn2"
"3826","Foxn3"
"3827","Foxo1"
"3828","Foxo3"
"3829","Foxo4"
"3830","Foxp1"
"3831","Foxp4"
"3832","Foxred1"
"3833","Fpgs"
"3834","Fpgt"
"3835","Fpr1"
"3836","Fpr2"
"3837","Fra10ac1"
"3838","Frat1"
"3839","Frat2"
"3840","Frg1"
"3841","Frmd4a"
"3842","Frmd4b"
"3843","Frmd6"
"3844","Frmd8"
"3845","Frmpd1os"
"3846","Frrs1"
"3847","Frs2"
"3848","Fry"
"3849","Fryl"
"3850","Fscn1"
"3851","Fst"
"3852","Fstl1"
"3853","Fstl3"
"3854","Ftcd"
"3855","Fth1"
"3856","Ftl1"
"3857","Ftl1-ps1"
"3858","Ftl1-ps2"
"3859","Ftl2-ps"
"3860","Fto"
"3861","Ftsj1"
"3862","Ftsj3"
"3863","Ftx"
"3864","Fubp1"
"3865","Fubp3"
"3866","Fuca1"
"3867","Fuca2"
"3868","Fuk"
"3869","Fundc1"
"3870","Fundc2"
"3871","Fuom"
"3872","Furin"
"3873","Fus"
"3874","Fut10"
"3875","Fut11"
"3876","Fut4"
"3877","Fut7"
"3878","Fut8"
"3879","Fuz"
"3880","Fv1"
"3881","Fxn"
"3882","Fxr1"
"3883","Fxr2"
"3884","Fxyd1"
"3885","Fxyd5"
"3886","Fyb"
"3887","Fyco1"
"3888","Fyn"
"3889","Fyttd1"
"3890","Fzd6"
"3891","Fzd7"
"3892","Fzd9"
"3893","Fzr1"
"3894","G0s2"
"3895","G2e3"
"3896","G3bp1"
"3897","G3bp2"
"3898","G430095P16Rik"
"3899","G6b"
"3900","G6pc3"
"3901","G6pdx"
"3902","Gaa"
"3903","Gab1"
"3904","Gab2"
"3905","Gab3"
"3906","Gabarap"
"3907","Gabarapl1"
"3908","Gabarapl2"
"3909","Gabpa"
"3910","Gabpb1"
"3911","Gabpb2"
"3912","Gadd45a"
"3913","Gadd45b"
"3914","Gadd45g"
"3915","Gadd45gip1"
"3916","Gak"
"3917","Gal3st1"
"3918","Galc"
"3919","Gale"
"3920","Galk1"
"3921","Galk2"
"3922","Galm"
"3923","Galns"
"3924","Galnt1"
"3925","Galnt10"
"3926","Galnt11"
"3927","Galnt12"
"3928","Galnt18"
"3929","Galnt4"
"3930","Galnt6"
"3931","Galnt7"
"3932","Galt"
"3933","Gamt"
"3934","Gan"
"3935","Ganab"
"3936","Ganc"
"3937","Gap43"
"3938","Gapdh"
"3939","Gapt"
"3940","Gapvd1"
"3941","Gar1"
"3942","Garem1"
"3943","Gars"
"3944","Gart"
"3945","Gas2"
"3946","Gas2l1"
"3947","Gas2l3"
"3948","Gas5"
"3949","Gas6"
"3950","Gas7"
"3951","Gas8"
"3952","Gata1"
"3953","Gata2"
"3954","Gatad1"
"3955","Gatad2a"
"3956","Gatad2b"
"3957","Gatb"
"3958","Gatc"
"3959","Gatm"
"3960","Gatsl3"
"3961","Gba"
"3962","Gba2"
"3963","Gbas"
"3964","Gbe1"
"3965","Gbf1"
"3966","Gbp2"
"3967","Gbp3"
"3968","Gbp7"
"3969","Gbp8"
"3970","Gbp9"
"3971","Gc"
"3972","Gca"
"3973","Gcat"
"3974","Gcc1"
"3975","Gcc2"
"3976","Gcdh"
"3977","Gcfc2"
"3978","Gcgr"
"3979","Gch1"
"3980","Gchfr"
"3981","Gckr"
"3982","Gclc"
"3983","Gclm"
"3984","Gcn1l1"
"3985","Gcnt1"
"3986","Gcnt2"
"3987","Gcsam"
"3988","Gcsh"
"3989","Gda"
"3990","Gdap2"
"3991","Gde1"
"3992","Gdf3"
"3993","Gdi1"
"3994","Gdi2"
"3995","Gdpd1"
"3996","Gdpd3"
