6	117146035	117161035	Region1
6	117161035	117176035	Region2
6	117176035	117191035	Region3
6	117191035	117206035	Region4
6	117206035	117221035	Region5
6	117221035	117236035	Region6
6	117236035	117251035	Region7
6	117251035	117266035	Region8
6	117266035	117281035	Region9
6	117281035	117296035	Region10
6	117296035	117311035	Region11
6	117311035	117326035	Region12
6	117326035	117341035	Region13
6	117341035	117356035	Region14
6	117356035	117371035	Region15
6	117371035	117386035	Region16
6	117401035	117416035	Region17
6	117416035	117431035	Region18
6	117431035	117446035	Region19
6	117446035	117461035	Region20
6	117461035	117476035	Region21
6	117476035	117491035	Region22
6	117491035	117506035	Region23
6	117506035	117521035	Region24
6	117521035	117536035	Region25
6	117536035	117551035	Region26
6	117551035	117566035	Region27
6	117566035	117581035	Region28
6	117581035	117596035	Region29
6	117596035	117611035	Region30
6	117611035	117626035	Region31
6	117626035	117641035	Region32
6	117641035	117656035	Region33
6	117656035	117671035	Region34
6	117671035	117686035	Region35
6	117701035	117716035	Region36
6	117761035	117776035	Region37
6	117776035	117791035	Region38
6	117791035	117806035	Region39
6	117806035	117821035	Region40
