4	127046039	127054039	Region1
4	127054039	127062039	Region2
4	127062039	127070039	Region3
4	127070039	127078039	Region4
4	127078039	127086039	Region5
4	127086039	127094039	Region6
4	127094039	127102039	Region7
4	127102039	127110039	Region8
4	127110039	127118039	Region9
4	127118039	127126039	Region10
4	127126039	127134039	Region11
4	127134039	127142039	Region12
4	127142039	127150039	Region13
4	127150039	127158039	Region14
4	127158039	127166039	Region15
4	127166039	127174039	Region16
4	127174039	127182039	Region17
4	127182039	127190039	Region18
4	127190039	127198039	Region19
4	127198039	127206039	Region20
4	127206039	127214039	Region21
4	127214039	127222039	Region22
4	127222039	127230039	Region23
4	127230039	127238039	Region24
4	127238039	127246039	Region25
4	127246039	127254039	Region26
4	127254039	127262039	Region27
4	127262039	127270039	Region28
4	127270039	127278039	Region29
4	127278039	127286039	Region30
4	127286039	127294039	Region31
4	127294039	127302039	Region32
4	127302039	127310039	Region33
4	127310039	127318039	Region34
4	127318039	127326039	Region35
4	127326039	127334039	Region36
4	127334039	127342039	Region37
4	127342039	127350039	Region38
4	127350039	127358039	Region39
4	127358039	127366039	Region40
