15	96958456	96963456	Region1
15	96963456	96968456	Region2
15	96968456	96973456	Region3
15	96973456	96978456	Region4
15	96983456	96988456	Region5
15	96988456	96993456	Region6
15	96993456	96998456	Region7
15	96998456	97003456	Region8
15	97003456	97008456	Region9
15	97008456	97013456	Region10
15	97013456	97018456	Region11
15	97018456	97023456	Region12
15	97023456	97028456	Region13
15	97028456	97033456	Region14
15	97033456	97038456	Region15
15	97038456	97043456	Region16
15	97043456	97048456	Region17
15	97048456	97053456	Region18
15	97053456	97058456	Region19
15	97058456	97063456	Region20
15	97063456	97068456	Region21
15	97068456	97073456	Region22
15	97073456	97078456	Region23
15	97078456	97083456	Region24
15	97083456	97088456	Region25
15	97088456	97093456	Region26
15	97093456	97098456	Region27
15	97098456	97103456	Region28
15	97103456	97108456	Region29
15	97108456	97113456	Region30
15	97113456	97118456	Region31
15	97118456	97123456	Region32
15	97123456	97128456	Region33
15	97128456	97133456	Region34
15	97133456	97138456	Region35
15	97138456	97143456	Region36
15	97143456	97148456	Region37
15	97148456	97153456	Region38
15	97153456	97158456	Region39
