9	123500234	123510234	Region1
9	123510234	123520234	Region2
9	123520234	123530234	Region3
9	123530234	123540234	Region4
9	123540234	123550234	Region5
9	123550234	123560234	Region6
9	123560234	123570234	Region7
9	123570234	123580234	Region8
9	123580234	123590234	Region9
9	123590234	123600234	Region10
9	123600234	123610234	Region11
9	123610234	123620234	Region12
9	123620234	123630234	Region13
9	123630234	123640234	Region14
9	123640234	123650234	Region15
9	123650234	123660234	Region16
9	123660234	123670234	Region17
9	123670234	123680234	Region18
9	123680234	123690234	Region19
9	123690234	123700234	Region20
9	123700234	123710234	Region21
9	123710234	123720234	Region22
9	123720234	123730234	Region23
9	123730234	123740234	Region24
9	123740234	123750234	Region25
9	123750234	123760234	Region26
9	123760234	123770234	Region27
9	123770234	123780234	Region28
9	123780234	123790234	Region29
9	123790234	123800234	Region30
9	123800234	123810234	Region31
9	123810234	123820234	Region32
9	123820234	123830234	Region33
9	123830234	123840234	Region34
9	123840234	123850234	Region35
9	123850234	123860234	Region36
9	123860234	123870234	Region37
9	123920234	123930234	Region38
9	123930234	123940234	Region39
9	123940234	123950234	Region40
