12	35807907	35817907	Region1
12	35817907	35827907	Region2
12	35827907	35837907	Region3
12	35837907	35847907	Region4
12	35847907	35857907	Region5
12	35857907	35867907	Region6
12	35867907	35877907	Region7
12	35877907	35887907	Region8
12	35887907	35897907	Region9
12	35897907	35907907	Region10
12	35907907	35917907	Region11
12	35917907	35927907	Region12
12	35927907	35937907	Region13
12	35937907	35947907	Region14
12	35947907	35957907	Region15
12	35957907	35967907	Region16
12	35967907	35977907	Region17
12	35977907	35987907	Region18
12	35987907	35997907	Region19
12	35997907	36007907	Region20
12	36007907	36017907	Region21
12	36017907	36027907	Region22
12	36027907	36037907	Region23
12	36037907	36047907	Region24
12	36047907	36057907	Region25
12	36057907	36067907	Region26
12	36067907	36077907	Region27
12	36077907	36087907	Region28
12	36087907	36097907	Region29
12	36097907	36107907	Region30
12	36107907	36117907	Region31
12	36117907	36127907	Region32
12	36127907	36137907	Region33
12	36137907	36147907	Region34
12	36147907	36157907	Region35
12	36157907	36167907	Region36
12	36167907	36177907	Region37
12	36177907	36187907	Region38
12	36187907	36197907	Region39
12	36197907	36207907	Region40
