17	29050667	29055667	Region1
17	29055667	29060667	Region2
17	29060667	29065667	Region3
17	29065667	29070667	Region4
17	29070667	29075667	Region5
17	29075667	29080667	Region6
17	29080667	29085667	Region7
17	29085667	29090667	Region8
17	29090667	29095667	Region9
17	29095667	29100667	Region10
17	29100667	29105667	Region11
17	29105667	29110667	Region12
17	29110667	29115667	Region13
17	29115667	29120667	Region14
17	29120667	29125667	Region15
17	29125667	29130667	Region16
17	29130667	29135667	Region17
17	29135667	29140667	Region18
17	29140667	29145667	Region19
17	29145667	29150667	Region20
17	29150667	29155667	Region21
17	29155667	29160667	Region22
17	29160667	29165667	Region23
17	29165667	29170667	Region24
17	29170667	29175667	Region25
17	29175667	29180667	Region26
17	29180667	29185667	Region27
17	29185667	29190667	Region28
17	29190667	29195667	Region29
17	29195667	29200667	Region30
17	29200667	29205667	Region31
17	29205667	29210667	Region32
17	29210667	29215667	Region33
17	29215667	29220667	Region34
17	29220667	29225667	Region35
17	29225667	29230667	Region36
17	29230667	29235667	Region37
17	29235667	29240667	Region38
17	29240667	29245667	Region39
17	29245667	29250667	Region40
